Land;Von;Richtung;Nach;Neuer Text;Art;sichtbar;entfernt;bisher (nur wenn keine Schablone)
Finnland;Lokomotion Technology…;←;Tampere University;Begleitete Lokomotion-Reuse-Pilot wissenschaftlich.;Forschungsbegleitung;ja;;Tampere University begleitet den Lokomotion-Reuse-Piloten.
Finnland;Melkinlaituri Primary…;←;City of Helsinki;Verantwortete Melkinlaituri-Schule als Bauherrschaft.;Bauherrschaft;ja;;Die Stadt Helsinki verantwortet das Schulprojekt Melkinlaituri.
Finnland;Melkinlaituri Primary…;←;YIT;Führte die Bauarbeiten an Melkinlaituri-Schule aus.;Bauausführung;ja;;
Finnland;City of Helsinki;—;Kiilto Family;Erprobten wiederlösbare Fliesen in Helsinki.;Gemeinsames Bauvorhaben;ja;;
Finnland;Tampere University;—;SÄILÖ: Purusta säilöön ja kiertoon;Arbeiteten im SÄILÖ-Verbund zusammen.;Konsortialpartner;ja;;Tampere University und SÄILÖ: Purusta säilöön ja kiertoon sind Partner im Projekt SÄILÖ.
Finnland;Tampere University;—;Tampereen kaupunki (City of Tampere);Stärken Tampere als Bildungs- und Wissenschaftsstandort.;Kooperationsvereinbarung;ja;;Universität und Stadt schlossen eine strategische Partnerschaft.
Finnland;Aalto University (Department of Architecture);—;VTT (Technical Research Centre of Finland);Forschen zur grünen und digitalen Transformation.;Kooperationsvereinbarung;ja;;Aalto University und VTT haben eine strategische Partnerschaft.
Finnland;Ekokumppanit (Kiertotalous Pirkanmaa);→;SÄILÖ: Purusta säilöön ja kiertoon;Trägt das SÄILÖ-Projekt federführend.;Trägerschaft;ja;;
Finnland;Kaakkois-Suomen Ammattikorkeakoulu Oy (Xamk);—;Mikkelin Kehitysyhtiö Miksei Oy;Tragen das KIELO-Projekt gemeinsam.;Konsortialpartner;ja;;
Finnland;Mikkelin Kehitysyhtiö Miksei Oy;←;Purkupiha;Führte den Rückbau im KIELO-Piloten aus.;Dienstleistungsbeziehung;ja;;
Finnland;Purkutori.fi;←;Purkupiha;Betreibt den Marktplatz Purkutori.fi.;Betreiberschaft;ja;;
Finnland;Härmälänranta;←;LIIKE Oy Arkkitehtistudio;Entwarf Härmälänranta.;Entwurf;;;
Finnland;Härmälänranta;—;Tampere University;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Finnland;Skanska Finland;—;Umacon;Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;;;
Finnland;Consolis Parma;—;Umacon;Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;;;
Finnland;Umacon;—;Ramboll Finland;Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;;;
Finnland;Umacon;→;Lokomotion Technology…;Führte den Rückbau von Lokomotion-Reuse-Pilot aus.;Rückbau;;;
Finnland;Umacon;—;Tampereen kaupunki (City of Tampere);Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;;;
Finnland;Ramboll Finland;→;City of Espoo;Pilotiert mit Espoo eine Reuse-Lösung.;Dienstleistungsbeziehung;;;Ramboll realisiert mit Espoo eine ausgewählte Wiederverwendungslösung.
Finnland;Lokomotion Technology…;←;Metso Oyj;Verantwortete Lokomotion-Reuse-Pilot als Bauherrschaft.;Bauherrschaft;;;
Finnland;City of Espoo;←;Purkupiha;Führte den Schulrückbau in Pohjois-Tapiola aus.;Dienstleistungsbeziehung;;;
Finnland;City of Nokia (Nokian kaupunki);—;SÄILÖ: Purusta säilöön ja kiertoon;Arbeiteten im SÄILÖ-Verbund zusammen.;Konsortialpartner;;;
Finnland;City of Orivesi (Oriveden kaupunki);—;SÄILÖ: Purusta säilöön ja kiertoon;Arbeiteten im SÄILÖ-Verbund zusammen.;Konsortialpartner;;;
Finnland;Joensuun Rakennuspurku ja Timanttiurakointi Oy;—;Sitowise;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Frankreich;Cycle Up;—;ORAK;Entwickelten eine Reuse-Lösung für Teppichfliesen.;Kooperationsvereinbarung;ja;;
Frankreich;Cycle Up;—;TEXTIFLOOR;Verbessern gemeinsam den Bodenbelag-Reuse.;Kooperationsvereinbarung;ja;;
Frankreich;Réempro;→;CD2E;Nimmt als Mitglied am CD2E-Netzwerk teil.;Mitgliedschaft;ja;;
Frankreich;Circular Pavilion Paris;←;Encore Heureux;Entwarf Circular Pavilion Paris.;Entwurf;ja;;
Frankreich;Ferme du Rail Paris;←;Travail & Vie;Führte die Bauarbeiten an Ferme du Rail Paris aus.;Bauausführung;ja;;
Frankreich;Ferme du Rail Paris;←;Réhabail;Verantwortete Ferme du Rail Paris als Bauherrschaft.;Bauherrschaft;ja;;
Frankreich;Ferme du Rail Paris;←;Pouget Consultants;Übernahm die Fachplanung für Ferme du Rail Paris.;Fachplanung;ja;;
Frankreich;Ferme du Rail Paris;←;Albert & Co;Übernahm die Fachplanung für Ferme du Rail Paris.;Fachplanung;ja;;
Frankreich;Grande Halle de Colombel…;←;Le WIP;Betreibt Grande Halle de Colombelles.;Betrieb;ja;;
Frankreich;Maison des Canaux, Paris;←;Les Canaux;Betreibt Maison des Canaux, Paris.;Betrieb;ja;;
Frankreich;Maison des Canaux, Paris;←;Ville de Paris;Verantwortete Maison des Canaux, Paris als Bauherrschaft.;Bauherrschaft;ja;;
Frankreich;Ville de Paris;→;Plateforme de réemploi des matériaux de voirie de la Ville de Paris;Betreibt das Pariser Straßenbau-Depot.;Betreiberschaft;ja;;
Frankreich;Résilience;←;Novaedia / Novædia;Betreibt Résilience.;Betrieb;ja;;
Frankreich;Résilience;←;SOCOTEC;Prüfte Reuse-Bauteile für Résilience.;Prüfung und Nachweis;ja;;
Frankreich;Résilience;←;Depuis 1920;Führte die Bauarbeiten an Résilience aus.;Bauausführung;ja;;
Frankreich;Résilience;←;Association Réavie;Lieferte Reuse-Bauteile für Résilience.;Bauteillieferung;ja;;
Frankreich;Résilience;←;Archipel zéro;Entwarf Résilience.;Entwurf;ja;;
Frankreich;La Fab Bordeaux;←;Collectif CANCAN;Arbeitete im Auftrag von La Fab Bordeaux.;Dienstleistungsbeziehung;ja;;Collectif CANCAN arbeitete im Auftrag von La Fab Bordeaux.
Frankreich;Encore Heureux;→;REMIX / matériaux réemploi;Gründete das Reuse-Büro REMIX mit.;Gründung;ja;;
Frankreich;Mobius Réemploi;—;CSTB;Arbeiteten im SPIROU-Verbund zusammen.;Konsortialpartner;ja;;Mobius Réemploi und CSTB sind Partner im SPIROU-Projekt (ADEME-kofinanziert).
Frankreich;CANCAN Architecture;←;REFAIR Bordeaux;Begleitete CANCAN beim Reuse-Vorhaben.;Dienstleistungsbeziehung;ja;;REFAIR Bordeaux begleitete CANCAN beim Wiederverwendungsvorhaben.
Frankreich;CSTB;—;Bellastock;Arbeiteten im FCRBE-Verbund zusammen.;Konsortialpartner;ja;;CSTB und Bellastock gehörten zum FCRBE-Konsortium.
Frankreich;CSTB;—;Institut National de l'Économie Circulaire (INEC);Arbeiteten im LIFE-Waste2Build-Verbund zusammen.;Konsortialpartner;ja;;CSTB und INEC gehörten zum LIFE-Waste2Build-Konsortium.
Frankreich;CSTB;—;Booster du Réemploi (A4MT);Arbeiteten im SPIROU-Verbund zusammen.;Konsortialpartner;ja;;CSTB und Booster du Réemploi (A4MT) sind Partner im SPIROU-Projekt (ADEME-kofinanziert).
Frankreich;Lascombes Matériaux Anciens;→;Lascombes Matériaux Anciens Sud-Ouest;Führt Lascombes Sud-Ouest als Regionaldepot.;Konzernbindung;ja;;Lascombes Sud-Ouest ist ein regionales Nebendepot des Unternehmens.
Frankreich;Booster du Réemploi (A4MT);—;CD2E;Organisieren den lokalen Reuse-Booster gemeinsam.;Kooperationsvereinbarung;ja;;
Frankreich;Bâticycle;—;Skop Marketplace;Sind nur gemeinsam im Skop Marketplace-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Frankreich;Cycle Up;—;Institut National de l'Économie Circulaire (INEC);Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Frankreich;Cycle Up;—;MAISON CARRELLE;Sind nur gemeinsam im Cycle Up-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Frankreich;Cycle Up;—;METAMO;Sind nur gemeinsam im Cycle Up-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Frankreich;Cycle Up;—;MOBIOUS;Sind nur gemeinsam im Cycle Up-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Frankreich;Cycle Up;—;PROCLUS;Sind nur gemeinsam im Cycle Up-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Frankreich;RAEDIFICARE;—;CSTB;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Frankreich;Circular Pavilion Paris;←;TRIBU;Plante das Tragwerk für Circular Pavilion Paris.;Fachplanung;;;
Frankreich;Circular Pavilion Paris;←;Camping Design;Entwarf Circular Pavilion Paris.;Entwurf;;;
Frankreich;Circular Pavilion Paris;←;Ville de Paris – Pavillon de l Arsenal;Verantwortete Circular Pavilion Paris als Bauherrschaft.;Bauherrschaft;;;
Frankreich;Circular Pavilion Paris;←;Technische Dienste der Stadt Paris;Führte die Bauarbeiten an Circular Pavilion Paris aus.;Bauausführung;;;
Frankreich;Ferme du Rail Paris;←;Scoping;Übernahm die Fachplanung für Ferme du Rail Paris.;Fachplanung;;;
Frankreich;Résilience;←;Métabolisme Urbain;Erfasste Reuse-Bauteile für Résilience.;Bauteilinventarisierung;;;
Frankreich;CSTB;—;FCRBE (Facilitating the Circulation of Reclaimed Building Elements);Arbeiteten im FCRBE-Verbund zusammen.;Konsortialpartner;;;
Frankreich;CSTB;—;Fédération Française du Bâtiment et des Travaux publics de Haute-Garonne (FFB 31);Arbeiteten im LIFE-Waste2Build-Verbund zusammen.;Konsortialpartner;;;
Frankreich;Bellastock;—;FCRBE (Facilitating the Circulation of Reclaimed Building Elements);Arbeiteten im FCRBE-Verbund zusammen.;Konsortialpartner;;;
Frankreich;Vilogia;→;Booster du Réemploi (A4MT);Fördert die Arbeitsgruppen des Booster du Réemploi.;Trägerschaft;;;
Frankreich;Vilogia;—;CD2E;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Niederlande;Lagemaat Heerde;→;lcp-circulair;Gründete lcp-circulair mit.;Gründung;ja;;
Niederlande;cepezed;→;The Green House Utrecht;Entwarf The Green House Utrecht.;Entwurf;ja;;
Niederlande;cepezed;→;lcp-circulair;Gründete lcp-circulair mit.;Gründung;ja;;cepezedprojects gründete lcp-circulair gemeinsam mit Lagemaat.
Niederlande;IMd Raadgevende Ingenieurs;→;BioPartner 5;Entwarf BioPartner 5.;Entwurf;ja;;
Niederlande;IMd Raadgevende Ingenieurs;→;Montessori Maassluis;Plante das Tragwerk für Montessori Maassluis.;Fachplanung;ja;;IMd gehörte zum Planungsteam von Montessori Maassluis.
Niederlande;BioPartner 5;←;Popma ter Steege Architecten / PTSA;Entwarf BioPartner 5.;Entwurf;ja;;
Niederlande;BioPartner 5;←;Vic Obdam Staalbouw;Führte die Bauarbeiten an BioPartner 5 aus.;Bauausführung;ja;;
Niederlande;BioPartner 5;←;Leiden University / Gorlaeus donor source;Lieferte Reuse-Stahl für BioPartner 5.;Bauteillieferung;ja;;
Niederlande;Jeugdkliniek Ithaka;←;Rothuizen Architecten / Taco Tuinhof;Entwarf Jeugdkliniek Ithaka.;Entwurf;ja;;
Niederlande;Jeugdkliniek Ithaka;←;ABT;Übernahm die Fachplanung für Jeugdkliniek Ithaka.;Fachplanung;ja;;
Niederlande;Jeugdkliniek Ithaka;←;Rijkswaterstaat;Lieferte Reuse-Bauteile für Jeugdkliniek Ithaka.;Bauteillieferung;ja;;
Niederlande;Jeugdkliniek Ithaka;←;DWT Groep;Führte die Bauarbeiten an Jeugdkliniek Ithaka aus.;Bauausführung;ja;;
Niederlande;Liander;←;Alliander / Liander;Verantwortete Liander als Bauherrschaft.;Bauherrschaft;ja;;
Niederlande;Liander;←;Madaster / Materialpass-Kontext;Erfasste Reuse-Bauteile für Liander.;Bauteilinventarisierung;ja;;
Niederlande;Liander;←;RAU;Verantwortete Liander als Bauherrschaft.;Bauherrschaft;ja;;
Niederlande;Montessori Maassluis;←;Kraaijvanger Architects;Entwarf Montessori Maassluis.;Entwurf;ja;;
Niederlande;SUPERLOCAL Expogebouw;←;HEEMwonen;Verantwortete SUPERLOCAL Expogebouw als Bauherrschaft.;Bauherrschaft;ja;;
Niederlande;SUPERLOCAL Expogebouw;←;IBA Parkstad;Erarbeitete das Reuse-Konzept für SUPERLOCAL Expogebouw.;Reuse-Konzept;ja;;
Niederlande;SUPERLOCAL Expogebouw;←;Maurer United;Entwarf SUPERLOCAL Expogebouw.;Entwurf;ja;;
Niederlande;SUPERLOCAL Expogebouw;←;Dusseldorp;Lieferte Reuse-Bauteile für SUPERLOCAL Expogebouw.;Bauteillieferung;ja;;
Niederlande;SUPERLOCAL Expogebouw;←;Bouwbedrijven Jongen;Führte die Bauarbeiten an SUPERLOCAL Expogebouw aus.;Bauausführung;ja;;
Niederlande;SUPERLOCAL Expogebouw;←;Zuyd Hogeschool;Begleitete SUPERLOCAL Expogebouw wissenschaftlich.;Forschungsbegleitung;ja;;
Niederlande;The Green House Utrecht;←;Pieters Bouwtechniek;Plante das Tragwerk für The Green House Utrecht.;Fachplanung;ja;;
Niederlande;The Green House Utrecht;←;Ballast Nedam;Führte die Bauarbeiten an The Green House Utrecht aus.;Bauausführung;ja;;
Niederlande;The Green House Utrecht;←;De Groot & Visser;Führte die Bauarbeiten an The Green House Utrecht aus.;Bauausführung;ja;;
Niederlande;ABN AMRO;→;Circl;Betreibt Circl.;Betrieb;ja;;
Niederlande;ABN AMRO;—;Victory Group;Vereinbarten Verkauf und Rückmiete des Hauptsitzes.;Zusammenarbeit, Art unklar;ja;;
Niederlande;Villa Welpeloo Enschede;←;Superuse Studios / 2012Architecten;Entwarf Villa Welpeloo Enschede.;Entwurf;ja;;
Niederlande;Superuse Studios / 2012Architecten;—;New Horizon UM;Führen Oogstkaart.nl nach der Übernahme fort.;Kooperationsvereinbarung;ja;;
Niederlande;Woongroep Boschgaard…;←;Bewohnerinitiative Boschgaard;Verantwortete Boschgaard als Bauherrschaft.;Bauherrschaft;ja;;
Niederlande;Woongroep Boschgaard…;←;Zayaz;Verantwortete Boschgaard als Bauherrschaft.;Bauherrschaft;ja;;
Niederlande;Circular Centre Netherla…;←;Lagemaat Heerde;Baute das Circular Centre Heerde aus Reuse-Material.;Bauausführung;;;
Niederlande;Circular Centre Netherla…;←;cepezed;Entwarf Circular Centre Heerde.;Entwurf;;;cepezed entwarf das Circular Centre in Heerde.
Niederlande;Circular Centre Netherla…;←;Provincie Gelderland;Verantwortete Circular Centre Heerde als Bauherrschaft.;Bauherrschaft;;;
Niederlande;Circular Centre Netherla…;←;ReCreate Dutch cluster;Führte die Bauarbeiten an Circular Centre Heerde aus.;Bauausführung;;;
Niederlande;Circular Centre Netherla…;←;IMd Raadgevende Ingenieurs;Übernahm die Fachplanung für Circular Centre Heerde.;Fachplanung;;;IMd verantwortet Tragwerksentwurf und Bauteilnachweise für das Zentrum.
Niederlande;Circular Centre Netherla…;←;Dycore;Prüfte Reuse-Bauteile für Circular Centre Heerde.;Prüfung und Nachweis;;;
Niederlande;Lagemaat Heerde;—;Ter Velde & Den Besten;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Niederlande;BioPartner 5;←;BioPartner Center Leiden;Verantwortete BioPartner 5 als Bauherrschaft.;Bauherrschaft;;;
Niederlande;BioPartner 5;←;De Vries en Verburg;Führte die Bauarbeiten an BioPartner 5 aus.;Bauausführung;;;
Niederlande;BioPartner 5;←;Deerns;Führte die Bauarbeiten an BioPartner 5 aus.;Bauausführung;;;
Niederlande;BioPartner 5;←;STONE22;Steuerte das Projekt BioPartner 5.;Fachplanung;;;
Niederlande;BlueCity Offices…;←;BlueCity / Blue City 010 BV;Verantwortete BlueCity Offices als Bauherrschaft.;Bauherrschaft;;;
Niederlande;BlueCity Offices…;←;COUP;Führte die Bauarbeiten an BlueCity Offices aus.;Bauausführung;;;
Niederlande;BlueCity Offices…;←;Workspot;Führte die Bauarbeiten an BlueCity Offices aus.;Bauausführung;;;
Niederlande;BlueCity Offices…;←;Bik Bouw;Führte die Bauarbeiten an BlueCity Offices aus.;Bauausführung;;;
Niederlande;Jeugdkliniek Ithaka;←;Emergis;Verantwortete Jeugdkliniek Ithaka als Bauherrschaft.;Bauherrschaft;;;
Niederlande;Jeugdkliniek Ithaka;←;Burobas;Entwarf Jeugdkliniek Ithaka.;Entwurf;;;
Niederlande;Jeugdkliniek Ithaka;←;Adviesbureau Lüning;Übernahm die Fachplanung für Jeugdkliniek Ithaka.;Fachplanung;;;
Niederlande;Jeugdkliniek Ithaka;←;Paree;Führte die Bauarbeiten an Jeugdkliniek Ithaka aus.;Bauausführung;;;
Niederlande;Liander;←;Turntoo / Circularity-Kontext;Erarbeitete das Reuse-Konzept für Liander.;Reuse-Konzept;;;
Niederlande;Montessori Maassluis;←;Stichting Montessorischolen Monton;Verantwortete Montessori Maassluis als Bauherrschaft.;Bauherrschaft;;;
Niederlande;Montessori Maassluis;←;Anculus B.V.;Übernahm die Fachplanung für Montessori Maassluis.;Fachplanung;;;
Niederlande;Montessori Maassluis;←;Vintis installatieadviseurs;Führte die Bauarbeiten an Montessori Maassluis aus.;Bauausführung;;;
Niederlande;Montessori Maassluis;←;VIA Landscape;Entwarf Montessori Maassluis.;Entwurf;;;
Niederlande;Montessori Maassluis;←;Van Dijk Maasland B.V.;Führte die Bauarbeiten an Montessori Maassluis aus.;Bauausführung;;;
Niederlande;Montessori Maassluis;←;A. de Jong Groep;Führte die Bauarbeiten an Montessori Maassluis aus.;Bauausführung;;;
Niederlande;People’s Pavilion…;←;Dutch Design Foundation;Verantwortete People’s Pavilion als Bauherrschaft.;Bauherrschaft;;;
Niederlande;People’s Pavilion…;←;Ham & Sybesma;Führte die Bauarbeiten an People’s Pavilion aus.;Bauausführung;;;
Niederlande;People’s Pavilion…;←;IJB groep;Lieferte Reuse-Bauteile für People’s Pavilion.;Bauteillieferung;;;
Niederlande;People’s Pavilion…;←;Stiho group;Lieferte Reuse-Bauteile für People’s Pavilion.;Bauteillieferung;;;
Niederlande;People’s Pavilion…;←;Overtreders W;Entwarf People’s Pavilion.;Entwurf;;;
Niederlande;People’s Pavilion…;←;bureau SLA;Entwarf People’s Pavilion.;Entwurf;;;
Niederlande;People’s Pavilion…;←;New Horizon;Lieferte Reuse-Bauteile für People’s Pavilion.;Bauteillieferung;;;
Niederlande;Stiho group;—;Urban Mining Collective;Arbeiten im Urban Mining Collective zusammen.;Konsortialpartner;;;
Niederlande;SUPERLOCAL Expogebouw;←;Gemeente Kerkrade;Erarbeitete das Reuse-Konzept für SUPERLOCAL Expogebouw.;Reuse-Konzept;;;
Niederlande;SUPERLOCAL Expogebouw;←;Volantis;Prüfte Reuse-Bauteile für SUPERLOCAL Expogebouw.;Prüfung und Nachweis;;;
Niederlande;The Green House Utrecht;←;Rijksvastgoedbedrijf / Central Government Real Estate Agency;Verantwortete The Green House Utrecht als Bauherrschaft.;Bauherrschaft;;;
Niederlande;The Green House Utrecht;←;R Creators;Verantwortete The Green House Utrecht als Bauherrschaft.;Bauherrschaft;;;
Niederlande;The Green House Utrecht;←;Strukton Worksphere;Übernahm die Fachplanung für The Green House Utrecht.;Fachplanung;;;
Niederlande;The Green House Utrecht;←;Kampstaal;Führte die Bauarbeiten an The Green House Utrecht aus.;Bauausführung;;;
Niederlande;Woongroep Boschgaard…;←;Bouwbedrijf Versteegden;Führte die Bauarbeiten an Boschgaard aus.;Bauausführung;;;
Niederlande;Woongroep Boschgaard…;←;Transfarmers;"War an Boschgaard beteiligt; Aufgabe offen.";Projektbeteiligung, Aufgabe unklar;;;
Niederlande;Woongroep Boschgaard…;←;VanNimwegen;Übernahm die Fachplanung für Boschgaard.;Fachplanung;;;
Niederlande;lcp-circulair;→;Icon Real Estate;Demontiert den Circl-Pavillon im Auftrag.;Dienstleistungsbeziehung;;;
Niederlande;Icon Real Estate;←;Victory Group;Führt Icon Real Estate als Geschäftsbereich.;Konzernbindung;;;Icon Real Estate ist ein Geschäftsbereich der Victory Group.
Niederlande;New Horizon;→;Urban Mining Collective;Betreibt das Urban Mining Collective mit.;Betreiberschaft;;;
Niederlande;Baars & Bloemhoff;—;Urban Mining Collective;Arbeiten im Urban Mining Collective zusammen.;Konsortialpartner;;;
Norwegen;Loopfront;→;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Gründete das Reuse-Netz Oslo–Trondheim mit.;Gründung;ja;;
Norwegen;KA13;←;Entra AS;Verantwortete KA13 als Bauherrschaft.;Bauherrschaft;ja;;
Norwegen;KA13;←;MAD arkitekter / Mad as;Entwarf KA13.;Entwurf;ja;;
Norwegen;KA13;←;FutureBuilt;Führte die Bauarbeiten an KA13 aus.;Bauausführung;ja;;
Norwegen;KA13;←;Asplan Viak;Entwarf KA13.;Entwurf;ja;;
Norwegen;KA13;←;Insenti;Erarbeitete das Reuse-Konzept für KA13.;Reuse-Konzept;ja;;
Norwegen;KA13;←;Scenario Interiørarkitekter;Entwarf KA13.;Entwurf;ja;;
Norwegen;Asker kommune;→;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Nimmt am Reuse-Netz Oslo–Trondheim teil.;Mitgliedschaft;ja;;
Norwegen;Asker kommune;←;Sirken;Erprobte Sirkens Reuse-Container in Asker.;Dienstleistungsbeziehung;ja;;
Norwegen;Bodø Kommune;—;Nordlandsforskning AS;Erforschen Bürgerbeteiligung in Bodø gemeinsam.;Kooperationsvereinbarung;ja;;
Norwegen;Multiconsult;→;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Gründete das Reuse-Netz Oslo–Trondheim mit.;Gründung;ja;;
Norwegen;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);←;TOBB;Nimmt am Reuse-Netz Oslo–Trondheim teil.;Mitgliedschaft;ja;;
Norwegen;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);←;Trondheim kommune;Nimmt am Reuse-Netz Oslo–Trondheim teil.;Mitgliedschaft;ja;;
Norwegen;TOBB;—;Rehub;Arbeiteten im Vendom-Verbund zusammen.;Konsortialpartner;ja;;TOBB und Rehub sind Partner im Forschungsprojekt Vendom.
Norwegen;OMBYGG;→;Sirkulær Ressurssentral;Betreibt den Reuse-Handel der Ressourcenzentrale.;Betreiberschaft;ja;;
Norwegen;KA13;←;IWG Group / Spaces;Betreibt KA13.;Betrieb;;;
Norwegen;Asplan Viak;—;Ombruk i nord (Remiks);Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Norwegen;Asker kommune;→;CCRI Pilot Asker;Trägt den CCRI-Piloten Asker.;Trägerschaft;;;
Norwegen;Bodø Kommune;—;Iris Ombrukssentral / Saltnes ombruk;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Norwegen;NTNU;→;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Nimmt am Reuse-Netz Oslo–Trondheim teil.;Mitgliedschaft;;;
Norwegen;NTNU;—;Bevar / Urban Reuse (NG Group);Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Norwegen;Resirkula;←;Sirkula IKS;Betreibt das Reuse-Kaufhaus Resirkula.;Betreiberschaft;;;
Norwegen;Donorbygg;—;Sirken;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Norwegen;byggogbevar directory;—;Ombruk i nord (Remiks);Sind nur gemeinsam im byggogbevar-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Norwegen;byggogbevar directory;—;OMBYGG;Sind nur gemeinsam im byggogbevar-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Norwegen;byggogbevar directory;—;Sirkulær Ressurssentral;Sind nur gemeinsam im byggogbevar-Verzeichnis gelistet.;Verzeichniseintrag;;ja;
Norwegen;JCS AS;—;Materialbanken for bygningsvern;Keine Quelle belegt eine direkte Verbindung.;Kein Beleg für eine Beziehung;;ja;
Schweden;Åhlin & Ekeroth;→;Bygghubben;Gründete Bygghubben mit.;Gründung;ja;;
Schweden;Akademiska Hus;—;Bjerking;Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;Akademiska Hus und Bjerking gehörten zum 14-köpfigen Konsortium Återhus 3.0.
Schweden;Akademiska Hus;→;Handslag för cirkulärt byggande;Nimmt am Handslag teil.;Mitgliedschaft;ja;;Akademiska Hus ist Teil der Initiative Handslaget för cirkulärt byggande.
Schweden;Akademiska Hus;—;Wiklunds Åkeri;Arbeiteten im KRETS-Verbund zusammen.;Konsortialpartner;ja;;Akademiska Hus und Wiklunds Åkeri sind Partner im Återbruksmarknad-Projekt KRETS.
Schweden;Akademiska Hus;—;Palats;Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;Akademiska Hus und Palats gehörten zum 14-köpfigen Konsortium Återhus 3.0.
Schweden;Anthesis;—;NCC;Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;Anthesis und NCC gehörten zum Konsortium des Projekts Återhus.
Schweden;Byggåterbruket (Umeå);←;Umeå kommun;Trägt das Reuse-Zentrum Byggåterbruket.;Trägerschaft;ja;;Byggåterbruket ist ein Projekt innerhalb der Stadt Umeå.
Schweden;Bygghubben;←;Teknikbyggarna;Beteiligte sich als Miteigentümer an Bygghubben.;Gründung;ja;;
Schweden;Bygghubben;←;Wilzéns;Gründete Bygghubben mit.;Gründung;ja;;
Schweden;Codesign Sweden AB;—;RISE (Research Institutes of Sweden);Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;Codesign und RISE gehörten zum Konsortium des Projekts Återhus.
Schweden;Contiga;—;Fabege;Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;Contiga und Fabege gehörten zum Konsortium des Projekts Återhus.
Schweden;Contiga;—;Zengun;Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;Contiga und Zengun waren Partner im Forschungsprojekt Återhus.
Schweden;Fabege;→;Reboost;Trat Reboost bei und übergab den eigenen Reuse-Hub.;Mitgliedschaft;ja;;Fabege wurde Mitglied der Återbrukshubb Reboost von Ragn-Sells.
Schweden;Handslag för cirkulärt byggande;←;Vasakronan;Nimmt am Handslag teil.;Mitgliedschaft;ja;;Handslag för cirkulärt byggande ist Teil der Initiative Handslaget för cirkulärt byggande.
Schweden;Helsingborgshem;—;KTH Royal Institute of Technology;Arbeiteten im schwedischen ReCreate-Piloten zusammen.;Konsortialpartner;ja;;Helsingborgshem und KTH arbeiteten im ReCreate-Pilotprojekt zusammen.
Schweden;Helsingborgshem;—;Strängbetong;Arbeiteten im ReCreate-Verbund zusammen.;Konsortialpartner;ja;;Helsingborgshem und Strängbetong gehörten zum ReCreate-Konsortium.
Schweden;KTH Royal Institute of Technology;—;NCC;Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;KTH Royal Institute of Technology und NCC gehörten zum Konsortium des Projekts Återhus.
Schweden;Ragn-Sells;→;Reboost;Betreibt den Reuse-Dienst Reboost.;Betreiberschaft;ja;;
Schweden;Stockholms stad;—;Vasakronan;Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;Stockholms stad und Vasakronan gehörten zum Konsortium des Projekts Återhus.
Schweden;Svensk Betong;—;NCC;Arbeiteten im Återhus-Verbund zusammen.;Konsortialpartner;ja;;Svensk Betong und NCC gehörten zum Konsortium des Projekts Återhus.
