Land;Von;Richtung;Nach;Text;sichtbar;vorher
Niederlande;BioPartner 5;←;Leiden University / Gorlaeus donor source;Lieferte Reuse-Stahl.;ja;Lieferte Reuse-Stahl für BioPartner 5.
Niederlande;Jeugdkliniek Ithaka;←;Rothuizen Architecten / Taco Tuinhof;Entwurf.;ja;Entwarf Jeugdkliniek Ithaka.
Niederlande;Jeugdkliniek Ithaka;←;ABT;Fachplanung.;ja;Übernahm die Fachplanung für Jeugdkliniek Ithaka.
Niederlande;Jeugdkliniek Ithaka;←;Rijkswaterstaat;Lieferte Reuse-Bauteile.;ja;Lieferte Reuse-Bauteile für Jeugdkliniek Ithaka.
Niederlande;Jeugdkliniek Ithaka;←;DWT Groep;Bauausführung.;ja;Führte die Bauarbeiten an Jeugdkliniek Ithaka aus.
Niederlande;Liander;←;Alliander / Liander;Bauherrschaft.;ja;Verantwortete Liander als Bauherrschaft.
Niederlande;Liander;←;Madaster / Materialpass-Kontext;Bauteilinventarisierung.;ja;Erfasste Reuse-Bauteile für Liander.
Niederlande;Liander;←;RAU;Bauherrschaft.;ja;Verantwortete Liander als Bauherrschaft.
Niederlande;Montessori Maassluis;←;Kraaijvanger Architects;Entwurf.;ja;Entwarf Montessori Maassluis.
Niederlande;SUPERLOCAL Expogebouw;←;HEEMwonen;Bauherrschaft.;ja;Verantwortete SUPERLOCAL Expogebouw als Bauherrschaft.
Niederlande;SUPERLOCAL Expogebouw;←;IBA Parkstad;Reuse-Konzept.;ja;Erarbeitete das Reuse-Konzept für SUPERLOCAL Expogebouw.
Niederlande;SUPERLOCAL Expogebouw;←;Maurer United;Entwurf.;ja;Entwarf SUPERLOCAL Expogebouw.
Niederlande;SUPERLOCAL Expogebouw;←;Dusseldorp;Lieferte Reuse-Bauteile.;ja;Lieferte Reuse-Bauteile für SUPERLOCAL Expogebouw.
Niederlande;SUPERLOCAL Expogebouw;←;Bouwbedrijven Jongen;Bauausführung.;ja;Führte die Bauarbeiten an SUPERLOCAL Expogebouw aus.
Niederlande;SUPERLOCAL Expogebouw;←;Zuyd Hogeschool;Forschungsbegleitung.;ja;Begleitete SUPERLOCAL Expogebouw wissenschaftlich.
Niederlande;The Green House Utrecht;←;Pieters Bouwtechniek;Tragwerksplanung.;ja;Plante das Tragwerk für The Green House Utrecht.
Niederlande;The Green House Utrecht;←;Ballast Nedam;Bauausführung.;ja;Führte die Bauarbeiten an The Green House Utrecht aus.
Niederlande;The Green House Utrecht;←;De Groot & Visser;Bauausführung.;ja;Führte die Bauarbeiten an The Green House Utrecht aus.
Niederlande;ABN AMRO;→;Circl;Betrieb.;ja;Betreibt Circl.
Niederlande;ABN AMRO;—;Victory Group;Vereinbarten Verkauf und Rückmiete Hauptsitzes.;ja;Vereinbarten Verkauf und Rückmiete des Hauptsitzes.
Niederlande;Villa Welpeloo Enschede;←;Superuse Studios / 2012Architecten;Entwurf.;ja;Entwarf Villa Welpeloo Enschede.
Niederlande;Superuse Studios / 2012Architecten;—;New Horizon UM;Führen Oogstkaart.nl nach Übernahme fort.;ja;Führen Oogstkaart.nl nach der Übernahme fort.
Niederlande;Woongroep Boschgaard…;←;Bewohnerinitiative Boschgaard;Bauherrschaft.;ja;Verantwortete Boschgaard als Bauherrschaft.
Niederlande;Woongroep Boschgaard…;←;Zayaz;Bauherrschaft.;ja;Verantwortete Boschgaard als Bauherrschaft.
Niederlande;Circular Centre Netherla…;←;Lagemaat Heerde;Baute das aus Reuse-Material.;;Baute das Circular Centre Heerde aus Reuse-Material.
Niederlande;Circular Centre Netherla…;←;cepezed;Entwarf Heerde.;;Entwarf Circular Centre Heerde.
Niederlande;Circular Centre Netherla…;←;Provincie Gelderland;Verantwortete Heerde als Bauherrschaft.;;Verantwortete Circular Centre Heerde als Bauherrschaft.
Niederlande;Circular Centre Netherla…;←;ReCreate Dutch cluster;Führte die Bauarbeiten an Heerde aus.;;Führte die Bauarbeiten an Circular Centre Heerde aus.
Niederlande;Circular Centre Netherla…;←;IMd Raadgevende Ingenieurs;Fachplanung.;;Übernahm die Fachplanung für Circular Centre Heerde.
Niederlande;Circular Centre Netherla…;←;Dycore;Prüfte Reuse-Bauteile für Heerde.;;Prüfte Reuse-Bauteile für Circular Centre Heerde.
Niederlande;BioPartner 5;←;BioPartner Center Leiden;Bauherrschaft.;;Verantwortete BioPartner 5 als Bauherrschaft.
Niederlande;BioPartner 5;←;De Vries en Verburg;Bauausführung.;;Führte die Bauarbeiten an BioPartner 5 aus.
Niederlande;BioPartner 5;←;Deerns;Bauausführung.;;Führte die Bauarbeiten an BioPartner 5 aus.
Niederlande;BioPartner 5;←;STONE22;Steuerte das Projekt.;;Steuerte das Projekt BioPartner 5.
Niederlande;BlueCity Offices…;←;BlueCity / Blue City 010 BV;Bauherrschaft.;;Verantwortete BlueCity Offices als Bauherrschaft.
Niederlande;BlueCity Offices…;←;COUP;Bauausführung.;;Führte die Bauarbeiten an BlueCity Offices aus.
Niederlande;BlueCity Offices…;←;Workspot;Bauausführung.;;Führte die Bauarbeiten an BlueCity Offices aus.
Niederlande;BlueCity Offices…;←;Bik Bouw;Bauausführung.;;Führte die Bauarbeiten an BlueCity Offices aus.
Niederlande;Jeugdkliniek Ithaka;←;Emergis;Bauherrschaft.;;Verantwortete Jeugdkliniek Ithaka als Bauherrschaft.
Niederlande;Jeugdkliniek Ithaka;←;Burobas;Entwurf.;;Entwarf Jeugdkliniek Ithaka.
Niederlande;Jeugdkliniek Ithaka;←;Adviesbureau Lüning;Fachplanung.;;Übernahm die Fachplanung für Jeugdkliniek Ithaka.
Niederlande;Jeugdkliniek Ithaka;←;Paree;Bauausführung.;;Führte die Bauarbeiten an Jeugdkliniek Ithaka aus.
Niederlande;Liander;←;Turntoo / Circularity-Kontext;Reuse-Konzept.;;Erarbeitete das Reuse-Konzept für Liander.
Niederlande;Montessori Maassluis;←;Stichting Montessorischolen Monton;Bauherrschaft.;;Verantwortete Montessori Maassluis als Bauherrschaft.
Niederlande;Montessori Maassluis;←;Anculus B.V.;Fachplanung.;;Übernahm die Fachplanung für Montessori Maassluis.
Niederlande;Montessori Maassluis;←;Vintis installatieadviseurs;Bauausführung.;;Führte die Bauarbeiten an Montessori Maassluis aus.
Niederlande;Montessori Maassluis;←;VIA Landscape;Entwurf.;;Entwarf Montessori Maassluis.
Niederlande;Montessori Maassluis;←;Van Dijk Maasland B.V.;Bauausführung.;;Führte die Bauarbeiten an Montessori Maassluis aus.
Niederlande;Montessori Maassluis;←;A. de Jong Groep;Bauausführung.;;Führte die Bauarbeiten an Montessori Maassluis aus.
Niederlande;People’s Pavilion…;←;Dutch Design Foundation;Bauherrschaft.;;Verantwortete People’s Pavilion als Bauherrschaft.
Niederlande;People’s Pavilion…;←;Ham & Sybesma;Bauausführung.;;Führte die Bauarbeiten an People’s Pavilion aus.
Niederlande;People’s Pavilion…;←;IJB groep;Lieferte Reuse-Bauteile.;;Lieferte Reuse-Bauteile für People’s Pavilion.
Niederlande;People’s Pavilion…;←;Stiho group;Lieferte Reuse-Bauteile.;;Lieferte Reuse-Bauteile für People’s Pavilion.
Niederlande;People’s Pavilion…;←;Overtreders W;Entwurf.;;Entwarf People’s Pavilion.
Niederlande;People’s Pavilion…;←;bureau SLA;Entwurf.;;Entwarf People’s Pavilion.
Niederlande;People’s Pavilion…;←;New Horizon;Lieferte Reuse-Bauteile.;;Lieferte Reuse-Bauteile für People’s Pavilion.
Niederlande;Stiho group;—;Urban Mining Collective;Zusammenarbeit.;;Arbeiten im Urban Mining Collective zusammen.
Niederlande;SUPERLOCAL Expogebouw;←;Gemeente Kerkrade;Reuse-Konzept.;;Erarbeitete das Reuse-Konzept für SUPERLOCAL Expogebouw.
Niederlande;SUPERLOCAL Expogebouw;←;Volantis;Prüfung der Reuse-Bauteile.;;Prüfte Reuse-Bauteile für SUPERLOCAL Expogebouw.
Niederlande;The Green House Utrecht;←;Rijksvastgoedbedrijf / Central Government Real Estate Agency;Bauherrschaft.;;Verantwortete The Green House Utrecht als Bauherrschaft.
Niederlande;The Green House Utrecht;←;R Creators;Bauherrschaft.;;Verantwortete The Green House Utrecht als Bauherrschaft.
Niederlande;The Green House Utrecht;←;Strukton Worksphere;Fachplanung.;;Übernahm die Fachplanung für The Green House Utrecht.
Niederlande;The Green House Utrecht;←;Kampstaal;Bauausführung.;;Führte die Bauarbeiten an The Green House Utrecht aus.
Niederlande;Woongroep Boschgaard…;←;Bouwbedrijf Versteegden;Bauausführung.;;Führte die Bauarbeiten an Boschgaard aus.
Niederlande;Woongroep Boschgaard…;←;Transfarmers;"Beteiligung; genaue Rolle noch offen.";;"War an Boschgaard beteiligt; Aufgabe offen."
Niederlande;Woongroep Boschgaard…;←;VanNimwegen;Fachplanung.;;Übernahm die Fachplanung für Boschgaard.
Niederlande;lcp-circulair;→;Icon Real Estate;Demontiert Circl-Pavillon im Auftrag.;;Demontiert den Circl-Pavillon im Auftrag.
Niederlande;Icon Real Estate;←;Victory Group;Führt als Geschäftsbereich.;;Führt Icon Real Estate als Geschäftsbereich.
Niederlande;New Horizon;→;Urban Mining Collective;Mitbetrieb.;;Betreibt das Urban Mining Collective mit.
Niederlande;Baars & Bloemhoff;—;Urban Mining Collective;Zusammenarbeit.;;Arbeiten im Urban Mining Collective zusammen.
Norwegen;Loopfront;→;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Gründung des Reuse-Netzes.;ja;Gründete das Reuse-Netz Oslo–Trondheim mit.
Norwegen;KA13;←;Entra AS;Bauherrschaft.;ja;Verantwortete KA13 als Bauherrschaft.
Norwegen;KA13;←;MAD arkitekter / Mad as;Entwurf.;ja;Entwarf KA13.
Norwegen;KA13;←;FutureBuilt;Bauausführung.;ja;Führte die Bauarbeiten an KA13 aus.
Norwegen;KA13;←;Asplan Viak;Entwurf.;ja;Entwarf KA13.
Norwegen;KA13;←;Insenti;Reuse-Konzept.;ja;Erarbeitete das Reuse-Konzept für KA13.
Norwegen;KA13;←;Scenario Interiørarkitekter;Entwurf.;ja;Entwarf KA13.
Norwegen;Asker kommune;→;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Mitgliedschaft im Reuse-Netz.;ja;Nimmt am Reuse-Netz Oslo–Trondheim teil.
Norwegen;Asker kommune;←;Sirken;Erprobte Reuse-Container.;ja;Erprobte Sirkens Reuse-Container in Asker.
Norwegen;Bodø Kommune;—;Nordlandsforskning AS;Erforschen Bürgerbeteiligung in gemeinsam.;ja;Erforschen Bürgerbeteiligung in Bodø gemeinsam.
Norwegen;Multiconsult;→;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Gründung des Reuse-Netzes.;ja;Gründete das Reuse-Netz Oslo–Trondheim mit.
Norwegen;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);←;TOBB;Mitgliedschaft im Reuse-Netz.;ja;Nimmt am Reuse-Netz Oslo–Trondheim teil.
Norwegen;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);←;Trondheim kommune;Mitgliedschaft im Reuse-Netz.;ja;Nimmt am Reuse-Netz Oslo–Trondheim teil.
Norwegen;TOBB;—;Rehub;Arbeiteten im Vendom-Verbund zusammen.;ja;Arbeiteten im Vendom-Verbund zusammen.
Norwegen;OMBYGG;→;Sirkulær Ressurssentral;Betreibt Reuse-Handel Ressourcenzentrale.;ja;Betreibt den Reuse-Handel der Ressourcenzentrale.
Norwegen;KA13;←;IWG Group / Spaces;Betrieb.;;Betreibt KA13.
Norwegen;Asker kommune;→;CCRI Pilot Asker;Trägt.;;Trägt den CCRI-Piloten Asker.
Norwegen;NTNU;→;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Mitgliedschaft im Reuse-Netz.;;Nimmt am Reuse-Netz Oslo–Trondheim teil.
Norwegen;Resirkula;←;Sirkula IKS;Betreibt das Reuse-Kaufhaus.;;Betreibt das Reuse-Kaufhaus Resirkula.
Schweden;Åhlin & Ekeroth;→;Bygghubben;Gründung als Mitgründerin.;ja;Gründete Bygghubben mit.
Schweden;Akademiska Hus;—;Bjerking;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Akademiska Hus;→;Handslag för cirkulärt byggande;Mitgliedschaft.;ja;Nimmt am Handslag teil.
Schweden;Akademiska Hus;—;Wiklunds Åkeri;Arbeiteten im KRETS-Verbund zusammen.;ja;Arbeiteten im KRETS-Verbund zusammen.
Schweden;Akademiska Hus;—;Palats;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Anthesis;—;NCC;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Byggåterbruket (Umeå);←;Umeå kommun;Trägt das Reuse-Zentrum.;ja;Trägt das Reuse-Zentrum Byggåterbruket.
Schweden;Bygghubben;←;Teknikbyggarna;Beteiligte sich als Miteigentümer.;ja;Beteiligte sich als Miteigentümer an Bygghubben.
Schweden;Bygghubben;←;Wilzéns;Gründung als Mitgründerin.;ja;Gründete Bygghubben mit.
Schweden;Codesign Sweden AB;—;RISE (Research Institutes of Sweden);Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Contiga;—;Fabege;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Contiga;—;Zengun;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Fabege;→;Reboost;Trat bei und übergab eigenen Reuse-Hub.;ja;Trat Reboost bei und übergab den eigenen Reuse-Hub.
Schweden;Handslag för cirkulärt byggande;←;Vasakronan;Mitgliedschaft.;ja;Nimmt am Handslag teil.
Schweden;Helsingborgshem;—;KTH Royal Institute of Technology;Arbeiteten im schwedischen ReCreate-Piloten zusammen.;ja;Arbeiteten im schwedischen ReCreate-Piloten zusammen.
Schweden;Helsingborgshem;—;Strängbetong;Arbeiteten im ReCreate-Verbund zusammen.;ja;Arbeiteten im ReCreate-Verbund zusammen.
Schweden;KTH Royal Institute of Technology;—;NCC;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Ragn-Sells;→;Reboost;Betreibt Reuse-Dienst.;ja;Betreibt den Reuse-Dienst Reboost.
Schweden;Stockholms stad;—;Vasakronan;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Svensk Betong;—;NCC;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Vasakronan;—;Wiklunds Åkeri;Arbeiteten im KRETS-Verbund zusammen.;ja;Arbeiteten im KRETS-Verbund zusammen.
Schweden;Zengun;—;NCC;Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Kv Återbruket, Litteraturgatan/Selma stad, Göteborg;←;Liljewall Arkitekter;Entwarf Kv.;ja;Entwarf Kv Återbruket.
Schweden;Kv Återbruket, Litteraturgatan/Selma stad, Göteborg;←;NCC;Führte die Bauarbeiten an Kv aus.;ja;Führte die Bauarbeiten an Kv Återbruket aus.
Schweden;NCC;—;RISE (Research Institutes of Sweden);Arbeiteten im Återhus-Verbund zusammen.;ja;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Akademiska Hus;—;Tyresö kommun;Arbeiteten im Återhus-Verbund zusammen.;;Arbeiteten im Återhus-Verbund zusammen.
Schweden;Atrium Ljungberg;—;Vasakronan;Arbeiteten im Återhus-Verbund zusammen.;;Arbeiteten im Återhus-Verbund zusammen.
Schweden;BC-bygg;→;Bygghubben;Gründung als Mitgründerin.;;Gründete Bygghubben mit.
Schweden;Bygghubben;←;Haga Rot;Gründung als Mitgründerin.;;Gründete Bygghubben mit.
Schweden;Bygghubben;←;RP (Bygghubben member);Gründung als Mitgründerin.;;Gründete Bygghubben mit.
Schweden;Handslag för cirkulärt byggande;←;HSB Göteborg;Mitgliedschaft.;;Nimmt am Handslag teil.
Schweden;Handslag för cirkulärt byggande;←;Serneke Sverige AB;Mitgliedschaft.;;Nimmt am Handslag teil.
Schweiz;Ressourcerie Lausanne / Matériuum / R-UUL;←;Matériuum;Führung als Zweigbetrieb.;ja;Führt die Ressourcerie Lausanne als Zweigbetrieb.
Schweiz;Bauteilbörse Basel;—;Gruner ReUse;Inventarisierung und Vermarktung.;ja;Inventarisierten und vermarkteten Reuse-Bauteile.
Schweiz;Bauteilbörse Basel;←;useagain / Bauteilclick;Stellt Marktplatz für ihren Bauteilverkauf.;ja;Stellt den Marktplatz für ihren Bauteilverkauf.
Schweiz;Bauteilvermittlung Zürichsee-Oberland;←;Stiftung Chance BauTeile Zürich / Glattbrugg;Prüft, demontiert und transportiert BTVZ.;ja;Prüft, demontiert und transportiert BTVZ-Bauteile.
Schweiz;useagain / Bauteilclick;→;Bauteilladen Winterthur;Bauteilvermittlung.;ja;Vermittelt Bauteile an den Bauteilladen Winterthur.
Schweiz;ELYS Kultur- und…;←;Zirkular;"Beteiligung; genaue Rolle noch offen.";ja;"War am ELYS-Zentrum beteiligt; Aufgabe offen."
Schweiz;baubüro in situ;→;Grubenstrasse 29;Entwurf.;ja;Entwarf Grubenstrasse 29.
Schweiz;baubüro in situ;→;K.118 Winterthur;Entwurf.;ja;Entwarf K.118 Winterthur.
Schweiz;baubüro in situ;—;RE-WIN;Unterstützten gemeinsam das Netzwerk.;ja;Unterstützten gemeinsam das RE-WIN-Netzwerk.
Schweiz;baubüro in situ;—;Pascal Flammer Architekten;Wählten Reuse-Bauteile für Hobelwerk Haus D aus.;ja;Wählten Reuse-Bauteile für Hobelwerk Haus D aus.
Schweiz;Grubenstrasse 29;←;Modissa Immobilien AG;Bauherrschaft.;ja;Verantwortete Grubenstrasse 29 als Bauherrschaft.
Schweiz;Grubenstrasse 29;←;Tschudin Rückbau und Demontagen GmbH;Rückbau.;ja;Führte den Rückbau von Grubenstrasse 29 aus.
Schweiz;Grubenstrasse 29;←;Zirkular;Bauteilinventarisierung.;ja;Erfasste Reuse-Bauteile für Grubenstrasse 29.
Schweiz;Juch-Areal Recyclingzent…;←;Entsorgung + Recycling Zürich (ERZ);Betrieb.;ja;Betreibt Recyclingzentrum Juch-Areal.
Schweiz;Juch-Areal Recyclingzent…;←;Weber + Brönnimann AG;Tragwerksplanung.;ja;Plante das Tragwerk für Recyclingzentrum Juch-Areal.
Schweiz;Juch-Areal Recyclingzent…;←;manoa Landschaftsarchitekten;Entwurf.;ja;Entwarf Recyclingzentrum Juch-Areal.
Schweiz;Juch-Areal Recyclingzent…;←;Graber Pulver;Entwurf.;ja;Entwarf Recyclingzentrum Juch-Areal.
Schweiz;K.118 Winterthur;←;Stiftung Abendrot / Vorsorgestiftung Abendrot;Bauherrschaft.;ja;Verantwortete K.118 Winterthur als Bauherrschaft.
Schweiz;K.118 Winterthur;←;ZHAW IKE;Forschungsbegleitung.;ja;Begleitete K.118 Winterthur wissenschaftlich.
Schweiz;K.118 Winterthur;←;Oberli Ingenieurbau AG;Tragwerksplanung.;ja;Plante das Tragwerk für K.118 Winterthur.
Schweiz;K.118 Winterthur;←;Josef Kolb AG;Tragwerksplanung.;ja;Plante das Tragwerk für K.118 Winterthur.
Schweiz;K.118 Winterthur;←;Wetter AG;Bauausführung.;ja;Führte die Bauarbeiten an K.118 Winterthur aus.
Schweiz;K.118 Winterthur;←;Zirkular;"Beteiligung; genaue Rolle noch offen.";ja;"War an K.118 Winterthur beteiligt; Aufgabe offen."
Schweiz;Kindergarten Mööslistras…;←;Stadt Zürich / Amt für Hochbauten / Immobilien Stadt Zürich;Bauherrschaft.;ja;Verantwortete Kindergarten Mööslistrasse als Bauherrschaft.
Schweiz;Kindergarten Mööslistras…;←;Ingenieurbureau Heierli AG;Tragwerksplanung.;ja;Plante das Tragwerk für Kindergarten Mööslistrasse.
Schweiz;Kindergarten Mööslistras…;←;Schmidiger + Rosasco AG;Fachplanung.;ja;Übernahm die Fachplanung für Kindergarten Mööslistrasse.
Schweiz;Kindergarten Mööslistras…;←;aik Architektur + Ingenieur Kollektiv;Tragwerksplanung.;ja;Plante das Tragwerk für Kindergarten Mööslistrasse.
Schweiz;Kindergarten Mööslistras…;←;Zirkular;Entwurf.;ja;Entwarf Kindergarten Mööslistrasse.
Schweiz;Re:Crete footbridge;←;Structural Xploration Lab / EPFL;Bauausführung.;ja;Führte die Bauarbeiten an Re:Crete footbridge aus.
Schweiz;Empa;→;UMAR Unit;Forschungsbegleitung.;ja;Begleitete UMAR Unit wissenschaftlich.
Schweiz;Stiftung Habitat;→;LYSP8 Basel;Betrieb.;ja;Betreibt LYSP8 Basel.
Schweiz;LYSP8 Basel;←;PIRMIN JUNG Schweiz AG;Fachplanung.;ja;Übernahm die Fachplanung für LYSP8 Basel.
Schweiz;Zirkular;—;Studio Trachsler Hoffmann;Arbeiteten an Schärenmoosstrasse zusammen.;ja;Arbeiteten an der Schärenmoosstrasse zusammen.
Schweiz;Zirkular;→;RE-WIN;Initiierten die erste Fenstersammlung.;ja;Initiierten die erste RE-WIN-Fenstersammlung.
Schweiz;Zirkular;→;Bauteilkatalog Immobilien Basel-Stadt;Katalogisierte Bauteile für Basler Wettbewerbe.;ja;Katalogisierte Bauteile für Basler Wettbewerbe.
Schweiz;UMAR Unit;←;Lindner SE;Lieferte Reuse-Bauteile.;ja;Lieferte Reuse-Bauteile für UMAR Unit.
Schweiz;ZHAW;—;INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton);Arbeiteten im Reuse- /Beton-Verbund zusammen.;ja;Arbeiteten im Reuse-Leitfaden Stahl/Beton-Verbund zusammen.
Schweiz;ELEMENTA Walkeweg;←;Monotti Ingegneri;Tragwerksplanung.;ja;Plante das Tragwerk für ELEMENTA Walkeweg.
Schweiz;Digvis GmbH;→;Bauteilkatalog Immobilien Basel-Stadt;Programmierte Basler.;ja;Programmierte den Basler Bauteilkatalog.
Schweiz;Gruner ReUse;←;Gruner AG;Führung als eigene Abteilung.;;Führt Gruner ReUse als eigene Abteilung.
Schweiz;Kindergarten Mööslistras…;←;Meili Partner Baumanagement;Fachplanung.;;Übernahm die Fachplanung für Kindergarten Mööslistrasse.
Schweiz;Kindergarten Mööslistras…;←;Haerter + Partner AG;Fachplanung.;;Übernahm die Fachplanung für Kindergarten Mööslistrasse.
Schweiz;Re:Crete footbridge;←;Re:Crete Forschungsteam;Forschungsbegleitung.;;Begleitete Re:Crete footbridge wissenschaftlich.
Schweiz;Kanton Basel-Stadt;—;INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton);Arbeiteten im Reuse- /Beton-Verbund zusammen.;;Arbeiteten im Reuse-Leitfaden Stahl/Beton-Verbund zusammen.
Vereinigtes Königreich;Gardiner & Theobald;→;BedZED;Tragwerksplanung.;ja;Plante das Tragwerk für BedZED.
Vereinigtes Königreich;Gardiner & Theobald;→;55 Great Suffolk Street;Fachplanung.;ja;Übernahm die Fachplanung für 55 Great Suffolk Street.
Vereinigtes Königreich;CascadeUp;←;UCL Circular Economy Lab;Forschungsbegleitung.;ja;Begleitete CascadeUp wissenschaftlich.
Vereinigtes Königreich;CascadeUp;←;UK CLT;Lieferte Reuse-Holz.;ja;Lieferte Reuse-Holz für CascadeUp.
Vereinigtes Königreich;Whitby Wood;→;The Engineers Reuse Collective (TERC);Gründung als Mitgründerin.;ja;Gründete TERC mit.
Vereinigtes Königreich;Brighton Waste House;←;Cat Fletcher / Freegle;"Beteiligung; genaue Rolle noch offen.";ja;"War an Brighton Waste House beteiligt; Aufgabe offen."
Vereinigtes Königreich;Brighton Waste House;←;Studierende, Schulkinder und Freiwillige;Bauausführung.;ja;Führte die Bauarbeiten an Brighton Waste House aus.
Vereinigtes Königreich;Hastings Pier Visitor…;←;National Lottery Heritage Fund;Förderte Centre.;ja;Förderte Hastings Pier Visitor Centre.
Vereinigtes Königreich;Holbein Gardens, London;←;Heyne Tillett Steel / HTS;Tragwerksplanung.;ja;Plante das Tragwerk für Holbein Gardens, London.
Vereinigtes Königreich;Holbein Gardens, London;←;Cleveland Steel & Tubes;Lieferte Reuse-Stahl.;ja;Lieferte Reuse-Stahl für Holbein Gardens, London.
Vereinigtes Königreich;Holbein Gardens, London;←;TFT Consultants;Reuse-Konzept.;ja;Erarbeitete das Reuse-Konzept für Holbein Gardens, London.
Vereinigtes Königreich;Heyne Tillett Steel / HTS;←;Cleveland Steel & Tubes;Liefert Reuse-Stahl für HTS-Projekte.;ja;Liefert Reuse-Stahl für HTS-Projekte.
Vereinigtes Königreich;Heyne Tillett Steel / HTS;→;The Engineers Reuse Collective (TERC);Gründung als Mitgründerin.;ja;Gründete TERC mit.
Vereinigtes Königreich;Cleveland Steel & Tubes;→;Timber Square London;Lieferte Reuse-Stahl.;ja;Lieferte Reuse-Stahl für Timber Square London.
Vereinigtes Königreich;Cleveland Steel & Tubes;→;55 Great Suffolk Street;Lieferte Reuse-Stahl.;ja;Lieferte Reuse-Stahl für 55 Great Suffolk Street.
Vereinigtes Königreich;Cleveland Steel & Tubes;→;Elliott Wood;Liefert Reuse-Stahl.;ja;Liefert Reuse-Stahl für Elliott-Wood-Projekte.
Vereinigtes Königreich;House of Fraser;←;FORE Partnership;Bauherrschaft.;ja;Verantwortete House of Fraser als Bauherrschaft.
Vereinigtes Königreich;House of Fraser;←;Willmott Dixon;Bauausführung.;ja;Führte die Bauarbeiten an House of Fraser aus.
Vereinigtes Königreich;House of Fraser;←;Webb Yates Engineers;Tragwerksplanung.;ja;Plante das Tragwerk für House of Fraser.
Vereinigtes Königreich;House of Fraser;←;Four Bay Structures;Übernahm die Reuse-Logistik.;ja;Übernahm die Reuse-Logistik für House of Fraser.
Vereinigtes Königreich;House of Fraser;←;Civic Engineers;Tragwerksplanung.;ja;Plante das Tragwerk für House of Fraser.
Vereinigtes Königreich;House of Fraser;←;Studio PDP;Entwurf.;ja;Entwarf House of Fraser.
Vereinigtes Königreich;Webb Yates Engineers;→;The Engineers Reuse Collective (TERC);Gründung als Mitgründerin.;ja;Gründete TERC mit.
Vereinigtes Königreich;Civic Engineers;—;Studio PDP;Planten 318 Oxford Street gemeinsam.;ja;Planten 318 Oxford Street gemeinsam.
Vereinigtes Königreich;Civic Engineers;→;The Engineers Reuse Collective (TERC);Gründung als Mitgründerin.;ja;Gründete TERC mit.
Vereinigtes Königreich;PLP London HQ circular…;←;Method;Führte Ausbauarbeiten am PLP HQ aus.;ja;Führte Ausbauarbeiten am PLP London HQ aus.
Vereinigtes Königreich;PLP London HQ circular…;←;Grants of Shoreditch;Lieferte Reuse-Marmor für PLP HQ.;ja;Lieferte Reuse-Marmor für PLP London HQ.
Vereinigtes Königreich;Method;—;PLP Architecture;Bauten das PLP-Projekt gemeinsam.;ja;Bauten das PLP-Projekt gemeinsam.
Vereinigtes Königreich;Grants of Shoreditch;→;PLP Architecture;Lieferte Reuse-Marmor für das PLP-Projekt.;ja;Lieferte Reuse-Marmor für das PLP-Projekt.
Vereinigtes Königreich;Roots in the Sky;←;AKT II;Tragwerksplanung.;ja;Plante das Tragwerk für Roots in the Sky.
Vereinigtes Königreich;AKT II;→;55 Great Suffolk Street;Prüfung der Reuse-Bauteile.;ja;Prüfte Reuse-Bauteile für 55 Great Suffolk Street.
Vereinigtes Königreich;Timber Square London;←;Opera;Fachplanung.;ja;Übernahm die Fachplanung für Timber Square London.
Vereinigtes Königreich;Opera;→;55 Great Suffolk Street;Fachplanung.;ja;Übernahm die Fachplanung für 55 Great Suffolk Street.
Vereinigtes Königreich;Hawkins\Brown;→;55 Great Suffolk Street;Entwurf.;ja;Entwarf 55 Great Suffolk Street.
