rank,project_id,project_name,project_full_name,status,year_completed,degree,country_count,countries,city_count,cities,actor_count,actors,program_count,programs,building_count,buildings,component_group_count,component_groups,component_type_count,component_types,material_count,materials,method_count,methods,process_phase_count,process_phases,use_count,uses,procurement_path_count,procurement_paths,barrier_count,barriers,software_count,software,primary_source_url,source_urls
25,p_biopartner_5_leiden_oegstgeest,BioPartner 5,"BioPartner 5, Leiden / Oegstgeest",Realisiert,2021,47,1,Niederlande,2,Leiden; Oegstgeest,8,BioPartner Center Leiden; De Vries en Verburg; Deerns; IMd Raadgevende Ingenieurs; Leiden University / Gorlaeus donor source; Popma ter Steege Architecten / PTSA; STONE22; Vic Obdam Staalbouw,0,,3,BioPartner 5; Gorlaeus (Biopartner); Gorlaeus Hochhaus,6,Abbruchschutt; bg_reuse_mehrere_ausbau_biopartner5_furniture_doors_candidate; Innenwände und Trennwände; Pflaster-; Sanitärobje… (Biopartner); Stahlträger (Biopartner),0,,0,,0,,0,,3,Buero; Gewerbe; Mischnutzung,1,Rueckbauprojekt,1,Terminunsicherheit,0,,,https://leidenbioscienceparkprojects.nl/en/sustainability/circulariteit; https://www.nationalestaalprijs.nl/project/biopartner-5; https://www.staalmakers.nl/projecten/biopartner-5; https://www.universiteitleiden.nl/en/news/2020/11/gorlaeus-highrise-lives-on-in-two-new-buildings-in-leiden; https://www.btbnet.nl/projecten/bouwbegeleiding-biopartner-center-5-leiden; https://stone22.com/en/portfolio/biopartner5; https://www.biopartnerleiden.nl/media_blog/opening_biopartner5; https://www.dutchdesignawards.nl/en/gallery/biopartner-5; https://www.bouwwereld.nl/bouwdelen/constructie/dubbel-circulaire-staalconstructie-voor-biopartner-5; https://vicobdam.nl/circulair-bouwen; https://dutchdesigndaily.com/stories/biopartner-5; https://ptsa.nl
26,p_circular_pavilion_paris,Circular Pavilion Paris,,Realisiert; Temporaer,2015,47,1,Frankreich,1,Paris,6,Bonnefrite; Camping Design; Encore Heureux; Technische Dienste der Stadt Paris; TRIBU; Ville de Paris – Pavillon de l Arsenal,0,,1,Circular Pavilion at…,6,180 Holztueren als…; Ehemalige Ausstellungspa…; Holzstruktur aus…; Mineral-/Steinwolle als…; Terrassen-Caillebotis…; Vier grosse Leuchten…,0,,0,,0,,3,Identifikation; Planung; Wiedereinbau,2,Kultur; Schule_Bildung,2,Eigenbestand; Informelles_Netzwerk,3,Heterogenitaet_Chargen; Unkonventionelles_Material; Witterung_Feuchte,0,,,https://www.batiactu.com/edito/un-pavillon-circulaire-illustrer-reemploi-materiaux-42547.php
27,p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,SUPERLOCAL Expogebouw / Superlocal Pavilion,Prototyp; Realisiert,,47,1,Niederlande,1,Bleijerheide / Kerkrade,8,Bouwbedrijven Jongen; Dusseldorp; Gemeente Kerkrade; HEEMwonen; IBA Parkstad; Maurer United; Volantis; Zuyd Hogeschool,1,"Urban Innovative Actions (UIA, EU)",2,Expogebouw; Hochhausflat Ursulastraat,4,Drei Beton-Wohnungsteile; Fensterrahm… (Superlocal); Feste Küche und Installa…; Heizkörper und Aluminium…,0,,0,,3,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Urban_Mining_und_Scouting,0,,2,Kultur; Mischnutzung,0,,0,,0,,,https://www.kerkrade.nl/superlocal-bleijerheide
28,p_brent_cross_town_primary_substation_london,Brent Cross Town…,Brent Cross Town Primary Substation,Realisiert,,46,1,Vereinigtes Königreich,1,London,10,Arup; Bourne Special Projects / Bourne Group; Brent Cross South Limited Partnership; Cleveland Steel & Tubes; Galldris Group; IF_DO; Lakwena; London Borough of Barnet; Related Argent; Whitby Wood,0,,2,Substation screen; Surplus,2,bg_reuse_stahl_tragwerk_brent_cross_oil_pipeline_tubulars; Façade support members,4,Fassade; Stuetze; Technik; Traeger,1,Stahl,4,Bestands_und_ReUse_Assessment; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design; Zirkulaere_Beschaffung,0,,1,Infrastruktur,1,Direktvermittlung,2,Entwurfsbindung; Verfuegbarkeitsproblem,0,,,https://www.arup.com/projects/brent-cross-town
29,p_recypark_demets_anderlecht,Recypark Demets,Recypark Demets / Recypark Anderlecht,Realisiert,,46,1,Belgien,1,Brüssel / Anderlecht,7,51N4E; Bruxelles-Propreté / Net Brussel; Bureau Greisch; Détang; Les Marneurs / Janne Saario; Rotor; Witteveen+Bos,0,,1,Recypark Demets Hallenst…,1,Brettschichtholzbögen…,0,,0,,0,,6,Aufbereitung; Identifikation; Lagerung; Pruefung; Rueckbau; Wiedereinbau,2,Infrastruktur; Kultur,1,Rueckbauprojekt,3,Ausschreibungsproblem; Fehlende_Lagerflaeche; Verfuegbarkeitsproblem,0,,,https://rotordb.org/en/projects/recypark-anderlecht; https://51n4e.com/projects/recypark; https://brusselsarchitectureprize.be/en/project/recypark-demets; https://www.bruxelles-proprete.be/en/recypark; https://www.simonprize.org/work2024/recypark; https://www.greisch.com/en/recypark-demets-in-anderlecht-awarded-at-the-belgian-timber-construction-awards-2024; https://rotordb.org/en/news/recypark-under-construction; https://www.greisch.com/en/projet/anderlecht-recypark-wood-expertise
30,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,Jeugdkliniek Ithaka / Emergis Kloetinge,Realisiert,2019,45,1,Niederlande,1,Kloetinge,8,ABT; Adviesbureau Lüning; Burobas; DWT Groep; Emergis; Paree; Rijkswaterstaat; Rothuizen Architecten / Taco Tuinhof,0,,3,Ehemaliges Rijkswatersta…; Erhaltener Emergis-Besta…; Kinder- en jeugdkliniek…,6,Außenkozijnen; Azobé-Hartholz-Shingles…; Holzfußböden und…; Holzträger; Innentüren mit Hang-…; Technische Bauteile,0,,0,,0,,0,,1,Sozialbau,0,,2,Entwurfsbindung; Witterung_Feuchte,0,,,https://www.burobas.nl/nieuws/kinder-en-jeugdkliniek-van-emergis-volgens-jury-mooiste-gebouw-van-zeeland; https://www.innax.nl/kennisbank/toekomstvast-bouwen/emergis; https://www.skipr.nl/nieuws/circulair-herbouwde-kliniek-emergis-geopend; https://galleo.co/project/zorgkliniek-emergis-te-kloetinge; https://www.duurzaamdoor.nl/circulair-gebouw-voor-kinder-en-jeugdkliniek-emergis; https://emergiskindenjeugd.nl/wie-zijn-we/nieuws/2019-08/nieuwe-kliniek-kind-jeugd-gebruik; https://www.bouwtotaal.nl/2019/07/circulair-project-kinder-en-jeugdkliniek-in-kloetinge; https://www.burobas.nl/project/emergis-ithaka-circulariteit-duurzaamheid-healing-environment-ontwerp; https://www.bouwwereld.nl/bouwdelen/gevels/hergebruikte-kozijnen; https://www.pl-pr-architects.nl/nl/construction-and-material-specification-details; https://www.architectuur.nl/nieuws/evenementen/symposium-in-circulaire-kinder-en-jeugdkliniek-emergis; https://www.paree.nl/project/ithaka-emergis-kloetinge; https://www.skipr.nl/nieuws/emergis-bouwt-kliniek-met-hergebruikt-materiaal; https://www.scribd.com/document/960365903/Circular-Buildings-Strategies-and-Case-Studies-2021; https://dwtgroep.nl/projecten/kinder-en-jeugdkliniek-emergis-kloetinge; https://www.emergis.nl/
31,p_the_green_house_utrecht,The Green House Utrecht,,Realisiert; Temporaer,,45,1,Niederlande,1,Utrecht,8,Ballast Nedam; cepezed; De Groot & Visser; Kampstaal; Pieters Bouwtechniek; R Creators; Rijksvastgoedbedrijf / Central Government Real Estate Agency; Strukton Worksphere,0,,3,Alte Kade in Tiel; Ehemalige Knoopkazerne; The Green House Utrecht,4,Neues demontierbares…; Pflasterklinker Erdgesch…; Pre-used wood Geschossde…; Rauchglas-Fassadenpaneele,0,,0,,0,,0,,3,Gewerbe; Kultur; Mischnutzung,0,,1,Entwurfsbindung,0,,,https://www.thegreenhouserestaurant.nl/
32,p_umar_unit,UMAR Unit,"UMAR Unit — Urban Mining and Recycling, NEST Empa Dübendorf",active research demonstrator in NEST since 2018,,45,1,Schweiz,1,Dübendorf,11,Amstein+Walthert AG; Balzer Ingenieure AG; Desso / Tarkett; Ecovative; Empa; kaufmann zimmerei; Lindner SE; Magna Glaskeramik; Nimbus; RotorDC; Weber Energie+Bauphysik,1,NEST Empa Dübendorf,2,Gén. de Banque BXL; UMAR Unit Dübendorf,5,bg_reuse_daemmstoff_daemmung_umar_repurposed_insulation; UMAR Lindner-Decke; UMAR Pilzmyzel-Dämm.; UMAR Recyclingziegel; UMAR Wabbes Türgriffe,6,Boden; Daemmung; Decke; Fassade; Tuer; Wand,6,Aluminium; Daemmstoff; Glas; Holz; Kunststoff; Ziegel,0,,0,,1,Wohnen,0,,0,,1,BIM / digitaler Bauteilkatalog,,
33,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,ELYS Kultur- und Gewerbehaus Basel,Realisiert,,43,1,Schweiz,1,Basel,9,Haustec Engineering; Hochbauamt Basel-Stadt; HUSNER AG Holzbau; Immobilien Basel-Stadt; Jauslin Stebler; Pro Engineering; Rapp AG; S+B; Zirkular,0,,2,Ehemaliges Coop-Verteilz…; Regionale Rueckbau- und…,6,200 Fenster aus Lagerres…; Altholz aus Rückbauten; Aluminium-Trapezblech…; Gitterroste; Reuse-Fassade als…; Steinwolledämmung aus…,0,,0,,0,,4,Aufbereitung; Dokumentation; Identifikation; Wiedereinbau,3,Gewerbe; Kultur; Mischnutzung,3,Eigenbestand; Informelles_Netzwerk; Rueckbauprojekt,2,Heterogenitaet_Chargen; Verfuegbarkeitsproblem,0,,,
34,p_europa_building_brussels,Europa Building Brussels,Europa Building Brussels / Résidence Palace – Europa,Realisiert,2016,43,1,Belgien,1,Brüssel,6,Belgian Buildings Agency / Regie der Gebouwen; Bopro; Buro Happold; Jan De Nul; Philippe Samyn and Partners; Studio Valle Progettazioni,0,,3,EU-weite Renovierungs-…; Europa Building Brussels; Residence Palace Block A,1,3.750 restaurierte…,0,,0,,0,,3,Aufbereitung; Identifikation; Wiedereinbau,2,Buero; Gewerbe,2,Informelles_Netzwerk; Rueckbauprojekt,2,Heterogenitaet_Chargen; Witterung_Feuchte,0,,,
35,p_maison_des_canaux_paris,"Maison des Canaux, Paris",,Realisiert,,43,1,Frankreich,1,Paris,2,Les Canaux; Ville de Paris,0,,1,Maison des Canaux…,10,bg_reuse_holz_ausbau_canaux_archive_furniture_acoustic_desks; bg_reuse_holz_aussenraum_canaux_landing_doors_decking_lattice; bg_reuse_holz_boden_canaux_refurbished_wooden_floor; bg_reuse_keramik_fliese_canaux_terracotta_wall_covering; bg_reuse_leuchten_canaux_lighting_fixtures_parchment; bg_reuse_moebel_canaux_reclaimed_furniture; Boden- und Wandbeläge; Feste Einbauten; Sanitärteile; Türen / Raumabschlüsse,0,,0,,5,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Reversibles_Design; Urban_Mining_und_Scouting; Zirkulaere_Beschaffung,0,,2,Buero; Kultur,0,,0,,0,,,https://www.lescanaux.com/
36,p_ka13_kristian_augusts_gate_13_oslo,KA13,"KA13 / Kristian Augusts gate 13, Oslo",Realisiert,2021,42,1,Norwegen,1,Oslo,7,Asplan Viak; Entra AS; FutureBuilt; Insenti; IWG Group / Spaces; MAD arkitekter / Mad as; Scenario Interiørarkitekter,1,Pilotprojekt,3,KA13 Bestandsgebäude…; Kristian Augusts gate 13; Regjeringsbygg R4,4,Bürofronten; Hohlkörperdecken aus…; Radiatoren (Ka13); Stahl in Bestand und…,0,,0,,0,,0,,1,Buero,0,,1,Verfuegbarkeitsproblem,0,,,
37,p_maison_vignette_auderghem,Maison Vignette,"Maison Vignette, Auderghem",Realisiert,2020,42,1,Belgien,1,Auderghem / Brüssel,6,2emain.be; BESP Stoffel & Partners / Pierre Stoffel; Franck Bricks; Karbon’ architecture & urbanisme; Private Bauherrschaft Maison Vignette; RotorDC,1,Foerderprogramm,3,Diverse Reuse-Quellen…; Maison Vignette Einfamil…; Solvay-Gebäude als…,4,"13,5 m² wiederverwendete…; 3.000 wiederverwendete…; bg_reuse_mehrere_maison_vignette_reclaimed_recycled_package; bg_reuse_ziegel_fassade_maison_vignette_reused_facing_bricks",5,Ausbau; Boden; Fassade; Technik; Wand,4,Keramik; Naturstein; Stahl; Ziegel,2,Reversibles_Design; Urban_Mining_und_Scouting,0,,1,Wohnen,0,,0,,0,,,https://opalis.eu/fr/projets/maison-vignette; https://gidsduurzamegebouwen.brussels/sites/default/files/documents/2024-06/dt4_2_2_project-sheets_041023_lr.pdf; https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme; https://www.architectura.be/fr/actualite/voici-les-laureats-de-l-appel-a-projets-beexemplary-3; https://guidebatimentdurable.brussels/construction-dune-maison-unifamiliale-paille-projet-vignette
38,p_verbiest_karreveld_brussels,Verbiest + Karreveld,,Realisiert,2020,42,1,Belgien,1,Brüssel,8,AgwA; Daidalos Peutz; Denis Dujardin; Evelia Macal; JZH & Partners; Kahle Acoustics; Pouvoir Organisateur Pluriel / POP; Sixco,0,,3,Altes Projekt in…; Karreveld Bürogebäude…; Palais des Expositions…,7,Fliesen aus Charleroi; Geländer aus Charleroi; Karreveld abgehängte…; Karreveld modulares…; Steine aus Charleroi; Verbiest Dach- und…; Verbiest dekorative…,0,,0,,0,,0,,3,Kultur; Schule_Bildung; Wohnen,0,,0,,0,,,https://www.agwa.be/en/projects/1718_verbiest/201; https://www.agwa.be/en/projects/1619_TAKEDA/185; https://www.agwa.be/en/projects/1811_KARREVELD/212; https://opalis.eu/fr/projets/reconversion-dun-immeuble-de-bureau-en-une-ecole; https://www.vai.be/gebouwen/sportinfrastructuur/karreveld; https://wbarchitectures.be/en/architects/agwa/karreveld; https://bma.brussels/nl/oproep-pop-karreveld; https://www.polipapers.upv.es/index.php/enblanco/user/setLocale/en_US?source=%2Findex.php%2Fenblanco%2Farticle%2Fview%2F21454; https://www.agwa.be/en/books; https://opalis.eu/fr/projets/verbiest-karreveld
39,p_upcycle_studios_copenhagen,Upcycle Studios Copenhag…,Upcycle Studios Copenhagen,Realisiert,,41,1,Dänemark,1,Kopenhagen,6,a:gain; AG Gruppen; Artelia; BOGL; MOE; NREP,0,,3,Copenhagen Metro…; Upcycle Studios Reihenha…; Öffentliche Wohnbauten…,6,bg_reuse_beton_tragwerk_upcycle_studios_recycled_concrete; bg_reuse_glas_fenster_upcycle_studios_repurposed_double_glazing; bg_reuse_holz_ausbau_upcycle_studios_discarded_flooring_boards; Dinesen-Offcuts als…; Doppelverglaste Fenster; Recyclingbeton aus…,0,,0,,3,Dokumentation_und_Monitoring; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design,0,,2,Mischnutzung; Wohnen,0,,0,,0,,,https://nrep.com/project/upcycle-studios; https://lendager.com/project/upcycle-studios; https://www.again.dk/project-references/upcycle-studios; https://www.ellenmacarthurfoundation.org/circular-examples/reusing-construction-materials-to-limit-biodiversity-impacts-upcycles; https://www.mynewsdesk.com/dk/ag-gruppen/pressreleases/20-raekkehuse-bygget-af-upcyclede-materialer-paa-vej-i-oerestad-syd-2380409; https://www.circulary.eu/project/lendager; https://www.lendager.com/projects/upcycle-studios
40,p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,Woongroep Boschgaard Den Bosch,Realisiert,,41,1,Niederlande,1,s-Hertogenbosch,5,Bewohnerinitiative Boschgaard; Bouwbedrijf Versteegden; Transfarmers; VanNimwegen; Zayaz,0,,4,Bibliothek De Brenthof…; Boschgaard Wohnprojekt…; Stadskantoor Roosendaal; Weitere regionale…,4,Aluminium-Fassadensystem; Holz-Dachspanten; HSB-Holz Balken und…; Türen und Innenausbau,0,,0,,4,Dokumentation_und_Monitoring; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design; Zirkulaere_Beschaffung,0,,2,Sozialbau; Wohnen,0,,0,,0,,,https://www.superuse-studios.com/projectplus/woongroep-boschgaard; https://boschgaard.nl/duurzaam-bouwen; https://boschgaard.nl/circulariteit; https://boschgaard.nl/het-verhaal-van-onze-dakspanten; https://boschgaard.nl/slim-ontwerp-is-sleutel-voor-succesvol-hergebruik-aluminium-gevel; https://houtbouwlente.nl/project/boschgaard; https://www.zayaz.nl/boschgaard; https://circulairebouweconomie.nl/nieuws/duurzaam-woonproject-boschgaard-zoekt-bouwmaterialen; https://www.ed.nl/boxtel/spanten-brenthof-gestel-krijgen-tweede-leven-in-den-bosch~ad6e7896; https://duurzamemetaalbouw.nl/nieuws/van-stadskantoor-naar-sociale-woningbouw-tweede-leven-voor-jaren-70-gevel; https://www.boschgaard.nl/
41,p_elementa_walkeweg,ELEMENTA Walkeweg,ELEMENTA Walkeweg Basel — Wohnbau mit Wiederverwendung von Bestandskomponenten (Kanton Basel-Stadt Wettbewerb),Planung 2023–2025; Realisierung geplant 2027–2029,,40,1,Schweiz,1,Basel,15,AFC Basel; Ana Olalquiaga; Anima Engineering AG; Bauteilbörse Basel; Bauteilkatalog Immobilien Basel-Stadt; Caretta+Weidmann; Digvis GmbH; GTI Engineering; Kanton Basel-Stadt; Mario Monotti; Monotti Ingegneri; Roger Keller; Senn Technology AG; USUS Landschaftsarch.; Zirkular,0,,2,ELEMENTA Walkeweg; Lysbüchel Parkgarage,2,ELEMENTA Baufeld C; ELEMENTA Baufeld D,3,Decke; Stuetze; Wand,1,Holz,0,,0,,1,Wohnen,0,,4,Entwurfsbindung; Heterogenitaet_Chargen; Terminunsicherheit; Verfuegbarkeitsproblem,2,Bauteilkatalog / Bauteilpass; EcoTool,,
42,p_hastings_pier_visitor_centre,Hastings Pier Visitor…,Hastings Pier Visitor Centre / reclaimed timber cladding,Realisiert,2016,40,1,Vereinigtes Königreich,1,Hastings,7,dRMM Architects; Hastings & Bexhill Wood Recycling; Hastings Pier Charity; KLH; National Lottery Heritage Fund; PT Projects; Ramboll,0,,3,Brandschaden; Erhaltene/restaurierte…; Hastings Pier Visitor…,4,bg_reuse_holz_fassade_hastings_pier_rescued_tropical_hardwood; bg_reuse_holz_moebel_hastings_pier_deck_furniture; Gespaltene längere…; Tropische Hartholz-Deckb…,0,,0,,2,Bestands_und_ReUse_Assessment; Verfuegbarkeitsbasiertes_Design,3,Aufbereitung; Identifikation; Wiedereinbau,3,Gewerbe; Infrastruktur; Kultur,1,Eigenbestand,2,Mengenunsicherheit; Witterung_Feuchte,0,,,https://www.drmm.co.uk/project/hastings-pier/
43,p_zinneke_feder_masui4ever_brussels,Zinneke,Zinneke / FEDER Masui4ever Brussels,Realisiert,,40,1,Belgien,1,Brüssel,6,Brudex; De Coninck; ERDF / FEDER Brüssel-Hauptstadt; Matriciel; Rotor; Zinneke asbl,1,Foerderprogramm,3,Bürohochhaus im Zentrum…; Ehemaliger Sitz der…; Zinneke Masui4ever…,6,Eichenparkett und…; Fensterrahmen (Zinneke); Kompletter Lüftungsverbu…; Stahl-Treppen; Stahlträger als Stürze; Steinwolle-Dämmplatten,0,,0,,0,,0,,2,Gewerbe; Kultur,0,,0,,0,,,https://rotordb.org/en/projects/zinneke-feder-masui4ever; https://feder.brussels/2022/03/02/masui4ever-2; https://biblio.ugent.be/publication/01K7S2ZVKT545EJ2SR62RCCHF9; https://www.construction21.org/belgique/case-studies/h/zinneke.html; https://opalis.eu/fr/projets/zinneke-feder-masui4ever
44,p_resource_rows_copenhagen,Resource Rows,Resource Rows Copenhagen,Realisiert,,38,1,Dänemark,1,Kopenhagen,1,Lendager Group / Lendager Architects,0,,1,Resource Rows Wohngebäude,2,bg_reuse_holz_mehrere_resource_rows_metro_wastewood_candidate; Ziegelfassadenmodule,0,,0,,0,,5,Aufbereitung; Identifikation; Rueckbau; Transport; Wiedereinbau,1,Wohnen,1,Rueckbauprojekt,1,Witterung_Feuchte,0,,,https://dac.dk/en/magazine/resource-rows
45,p_thoravej_29_copenhagen,Thoravej 29 Copenhagen,,Realisiert,,38,1,Dänemark,1,Kopenhagen,5,ABC Rådgivende Ingeniører / ABC Consulting Engineers; Bikubenfonden / The Bikuben Foundation; DTU; Hoffmann A/S; Sara Martinsen,0,,1,Thoravej 29 Bestandsgebä…,4,Fassaden-/Ziegelüberschu…; Kunststofffenster im…; TT-/Betondecken zu…; Türen zu Tischplatten,0,,0,,0,,0,,3,Buero; Kultur; Mischnutzung,0,,1,Entwurfsbindung,0,,,
46,p_lo_reninge_town_hall_facade,Lo-Reninge Town Hall…,Lo-Reninge Town Hall façade / Stadhuis Lo,Realisiert,2011,37,1,Belgien,1,Lo-Reninge,3,Dexia; Lo-Reninge town council; noAarchitecten,0,,2,Ehemaliges Kloster…; Rathaus Lo-Reninge,3,bg_reuse_papier_daemmung_lo_reninge_recycled_paper_insulation; bg_reuse_ziegel_fassade_lo_reninge_reclaimed_yellow_brick; Fassadenziegel (Lo-R.),0,,0,,1,Verfuegbarkeitsbasiertes_Design,0,,1,Buero,0,,2,Heterogenitaet_Chargen; Witterung_Feuchte,0,,,https://noaarchitecten.net/projects/1/046-lo-reninge-town-hall; https://www.vai.be/en/buildings/publieke-gebouwen/stadhuis-lo-lo-reninge; https://adokin.eu/fr/category/comment/projets; https://afasiaarchzine.com/2017/12/noa
47,p_trae_high_rise_aarhus,TRÆ High-Rise,,Realisiert,2025,37,1,Dänemark,1,Aarhus,6,a:gain; Artelia Group; DOVISTA / KRONE; Kilden & Hindby; Lendager; PFA Ejendomme,0,,4,Ausgemusterte Windkrafta…; Gellerupparken Rückbau-W…; Herlev Dach; TRÆ High-Rise Holzhochha…,5,Aluminium-Fassadenplatten; Holzböden aus alten…; Troldtekt-Akustikplatten; Upcycled window elements; Windturbinenflügel als…,0,,0,,0,,0,,3,Buero; Gewerbe; Mischnutzung,0,,0,,0,,,https://lendager.com/project/trae; https://eumiesawards.com/heritageobject/tr; https://dac.dk/en/magazine/places/trae-materials-before-form-458; https://www.archdaily.com/1036295/trae-high-rise-building-lendager-arkitekter; https://www.arteliagroup.com/project/trae-a-wooden-tower-at-the-highest-level; https://english.pfa.dk/news-archive/2025/05/06/11/26/see-denmark-tallest-wooden-building; https://www.arkitekturbilleder.dk/bygning/trae; https://dovista.com/krone-brandcase; https://www.troldtekt.com/news-press/news/2024/the-trae-highrise-collects-circular-experiences; https://www.again.dk/project-references/trae; https://floorcoat.eu/en/trae-in-aarhus-sustainability-and-design; https://architectures.jidipi.com/j00109247/en/trae-highrise-building; https://www.lendager.com/projects/trae
48,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,Kindergarten Mööslistrasse / Manegg Zürich,Realisiert,2023,36,1,Schweiz,1,Zürich,7,aik Architektur + Ingenieur Kollektiv; Haerter + Partner AG; Ingenieurbureau Heierli AG; Meili Partner Baumanagement; Schmidiger + Rosasco AG; Stadt Zürich / Amt für Hochbauten / Immobilien Stadt Zürich; Zirkular,0,,4,Ehemaliges Einkaufswagen…; Schulhaus Lavater; Städtische Occasionslage…; Werkhof Mööslistrasse,7,Akustikelemente; Außentreppe (Möösli.); Brandschutztüren aus…; Sanitärapparate und…; Stahlpergola; Stahlträger (Möösli.); Werkhofstruktur und…,0,,0,,0,,0,,1,Schule_Bildung,0,,2,Aufbereitungsaufwand; Entwurfsbindung,1,Bauteilkatalog / Bauteilpass,,https://www.stadt-zuerich.ch/
49,p_peoples_pavilion_eindhoven,People’s Pavilion…,People’s Pavilion Eindhoven,Realisiert; Rueckgebaut; Temporaer,2017,36,1,Niederlande,1,Eindhoven,8,Arup; bureau SLA; Dutch Design Foundation; Ham & Sybesma; IJB groep; New Horizon; Overtreders W; Stiho group,0,,1,People’s Pavilion…,5,Geliehene Betonpfähle; Geliehene Fassadenelemen…; Geliehene Holzträger; Geliehenes Glasdach; Pretty Plastic Schindeln…,0,,0,,0,,0,,1,Kultur,1,Informelles_Netzwerk,0,,0,,,https://overtredersw.nl/projects/peoples-pavilion
50,p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house,Prototyp; Realisiert,2005,35,1,Deutschland,1,Schildow,5,Architekturbüro Conclus; Claus Asam; Detlev Lange / Familie Lange; Hervé / Joel Biele; IEMB / TU Berlin,1,Pilotprojekt,2,Berliner/Marzahner…; Schildow Pilotwohnhaus,1,Zugeschnittene WBS70-Sta…,0,,0,,0,,0,,0,,1,Rueckbauprojekt,0,,0,,,https://doi.org/10.1016/j.jclepro.2022.135235; https://www.researchgate.net/publication/365763750_Reuse_of_concrete_components_in_new_construction_projectscritical_review_of_77_circular_precedents; https://baustatik-wiki.fiw.hs-wismar.de/mediawiki/index.php/Wiederverwendung_von_Stahlbetonbauteilen; https://innowest-brandenburg.de/beitraege/Bachelorarbeit-plattenbautyp-wbs-70; https://www.welt.de/print-wams/article134693/Waende-mit-Vorleben.html; https://taz.de/Die-Wiedergeburt-der-Platte/!493469; https://www.kuladig.de/Objektansicht/BKM-31000252
51,p_roots_in_the_sky_blackfriars_crown_court,Roots in the Sky,Roots in the Sky / Blackfriars Crown Court,Geplant; Verworfen,,35,1,Vereinigtes Königreich,1,London,10,AKT II; Erith; Fabrix London; Howells; iQ Student Accommodation; Mace; Sheppard Robson; Southwark Council; Studio RHE; Symmetrys,0,,1,Blackfriars Crown Court,2,Bestandsfundamente und…; Stahlträger (Geplante),0,,0,,0,,5,Identifikation; Lagerung; Planung; Pruefung; Transport,2,Buero; Mischnutzung,1,Direktvermittlung,2,Terminunsicherheit; Verfuegbarkeitsproblem,0,,,https://ukgbc.org/resources/roots-in-the-sky; https://www.macegroup.com/en-us/news/fabrix-appoints-mace-as-main-contractor-for-transformational-roots-in-the-sky-development; https://symmetrys.com/project/roots-in-the-sky; https://betterbankside.co.uk/bankside/future-bankside/blackfriars-crown-court; https://southwarknews.co.uk/area/southwark/approved-71-new-social-rent-homes-will-replace-blackfriars-crown-court-alongside-student-accommodation; https://moderngov.southwark.gov.uk/mgAi.aspx?ID=75726; https://www.turley.co.uk/project/former-blackfriars-crown-court-loman-street-southwark; https://www.architectsjournal.co.uk/news/developer-urban-mines-broadgate-steel-frame-for-southwark-retrofits; https://www.architectsjournal.co.uk/news/studio-rhe-redesigns-blackfriars-court-building-with-urban-forest; https://www.theconstructionindex.co.uk/news/view/second-hand-steel-to-hold-up-forest-in-the-sky; https://bimtechnologies.co.uk/projects/roots-in-the-sky-london; https://en.wikipedia.org/wiki/Blackfriars_Crown_Court
52,p_musee_de_folklore_mouscron,Musée de Folklore Vie…,Musée de Folklore Vie Frontalière / MUSEF Mouscron,Realisiert,,34,1,Belgien,1,Mouscron,8,Bureau Bouwtechniek; Daidalos Peutz; Greisch; Simon Boudvin; Taktyk; V+ / Projectiles; Ville de Mouscron; Westvlaamse Steencentrale / Interconstruct,0,,2,Acht Abbruchquellen in…; Musée de Folklore Vie…,1,Fassadenziegel aus acht…,0,,0,,0,,0,,1,Kultur,0,,0,,0,,,https://simonboudvin.fr/UN-NOUVEAU-MUSEE-Mouscron-2012-2019; https://www.vplus.org/folklore-museum; https://cellule.archi/fr/integration-oeuvres-art/musee-du-folklore-de-mouscron; https://www.musee-mouscron.be; https://www.architectura.be/fr/actualite/un-nouvel-ecrin-pour-le-musee-de-folklore-de-mouscron; https://adokin.eu/fr/2022/05/un-nouveau-musee
53,p_plp_london_hq_circular_studio_fitout,PLP London HQ circular…,PLP London HQ circular studio fit-out,Realisiert,,34,1,Vereinigtes Königreich,1,London,6,Contrax Furniture; Grants of Shoreditch; Maconda; Method; PLP Architecture; Solus,0,,3,PLP Studio im White…; The White Chapel Building; vorheriges PLP Studio,4,Feste Fit-out-Komponente…; Marble; Materialbibliothek-Oberf…; Terrazzo-/Spolia-Arbeits…,0,,0,,0,,4,Aufbereitung; Dokumentation; Identifikation; Wiedereinbau,1,Buero,2,Direktvermittlung; Eigenbestand,0,,1,Material passports / Maconda data workflow,,
