canonical_name,node_id,n_files,n_variants,rollen,variants,files
Karbon’ architecture & urbanisme,Karbon_Architecture_Urbanisme,1,1,,Karbon’ architecture & urbanisme,Maison_Vignette_Auderghem.md
Pierre Stoffel,Pierre_Stoffel,1,1,,Pierre Stoffel,Maison_Vignette_Auderghem.md
BESP Stoffel & Partners,Besp_Stoffel_Partners,1,1,,BESP Stoffel & Partners,Maison_Vignette_Auderghem.md
Sofiane Boudahri,Sofiane_Boudahri,1,1,,Sofiane Boudahri,Maison_Vignette_Auderghem.md
Private owner,Private_Owner,1,1,Bauherr,Private owner,Maison_Vignette_Auderghem.md
City of Helsinki,City_Of_Helsinki,1,1,Bauherr,City of Helsinki,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
YIT,Yit,1,1,,YIT,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
ReCreate Finnish cluster,Recreate_Finnish_Cluster,1,1,,ReCreate Finnish cluster,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Kraaijvanger Architects,Kraaijvanger_Architects,1,1,,Kraaijvanger Architects,Montessori_Maassluis.md
Vintis installatieadviseurs,Vintis_Installatieadviseurs,1,1,,Vintis installatieadviseurs,Montessori_Maassluis.md
VIA Landscape,Via_Landscape,1,1,,VIA Landscape,Montessori_Maassluis.md
Van Dijk Maasland B.V.,Van_Dijk_Maasland_B_V,1,1,,Van Dijk Maasland B.V.,Montessori_Maassluis.md
A. de Jong Groep,A_De_Jong_Groep,1,1,,A. de Jong Groep,Montessori_Maassluis.md
Whitewood,Whitewood,1,1,,Whitewood,Multi_Brussels_Reuse_in_MULTI.md
Immobel,Immobel,1,1,,Immobel,Multi_Brussels_Reuse_in_MULTI.md
CONIX RDBM,Conix_Rdbm,1,1,,CONIX RDBM,Multi_Brussels_Reuse_in_MULTI.md
Cordeel,Cordeel,1,1,,Cordeel,Multi_Brussels_Reuse_in_MULTI.md
RotorDC,Rotordc,1,1,,RotorDC,Multi_Brussels_Reuse_in_MULTI.md
Madaster/EPEA,Madaster_Epea,1,1,,Madaster/EPEA,Multi_Brussels_Reuse_in_MULTI.md
V+,V,1,1,,V+,Musee_de_Folklore_Mouscron.md
Projectiles,Projectiles,1,1,,Projectiles,Musee_de_Folklore_Mouscron.md
Simon Boudvin,Simon_Boudvin,1,1,,Simon Boudvin,Musee_de_Folklore_Mouscron.md
Bureau Bouwtechniek,Bureau_Bouwtechniek,1,1,,Bureau Bouwtechniek,Musee_de_Folklore_Mouscron.md
Taktyk,Taktyk,1,1,,Taktyk,Musee_de_Folklore_Mouscron.md
Ville de Mouscron,Ville_De_Mouscron,1,1,Bauherr,Ville de Mouscron,Musee_de_Folklore_Mouscron.md
bureau SLA,Bureau_Sla,1,1,,bureau SLA,Peoples_Pavilion_Eindhoven.md
Overtreders W,Overtreders_W,1,1,,Overtreders W,Peoples_Pavilion_Eindhoven.md
Dutch Design Foundation,Dutch_Design_Foundation,1,1,,Dutch Design Foundation,Peoples_Pavilion_Eindhoven.md
Ham & Sybesma,Ham_Sybesma,1,1,,Ham & Sybesma,Peoples_Pavilion_Eindhoven.md
New Horizon,New_Horizon,1,1,,New Horizon,Peoples_Pavilion_Eindhoven.md
"Anna Hopp, Carsten Wiewiorra",Anna_Hopp_Carsten_Wiewiorra,1,1,,"Anna Hopp, Carsten Wiewiorra",Plattenpalast_Berlin.md
Wiewiorra Hopp Architekten,Wiewiorra_Hopp_Architekten,1,1,,Wiewiorra Hopp Architekten,Plattenpalast_Berlin.md
PLP Architecture,Plp_Architecture,1,1,,PLP Architecture,PLP_London_HQ_Circular_Studio_Fitout.md
Method,Method,1,1,,Method,PLP_London_HQ_Circular_Studio_Fitout.md
Maconda,Maconda,1,1,,Maconda,PLP_London_HQ_Circular_Studio_Fitout.md
Contrax Furniture,Contrax_Furniture,1,1,,Contrax Furniture,PLP_London_HQ_Circular_Studio_Fitout.md
Solus,Solus,1,1,,Solus,PLP_London_HQ_Circular_Studio_Fitout.md
Grants of Shoreditch,Grants_Of_Shoreditch,1,1,,Grants of Shoreditch,PLP_London_HQ_Circular_Studio_Fitout.md
Julie Devènes,Julie_Dev_Nes,1,1,,Julie Devènes,ReCrete_footbridge_reused_concrete_blocks.md
Jan Brütting,Jan_Bruetting,1,1,,Jan Brütting,ReCrete_footbridge_reused_concrete_blocks.md
Célia Küpfer,C_Lia_Kuepfer,1,1,,Célia Küpfer,ReCrete_footbridge_reused_concrete_blocks.md
Maléna Bastien-Masse,Mal_Na_Bastien_Masse,1,1,,Maléna Bastien-Masse,ReCrete_footbridge_reused_concrete_blocks.md
Corentin Fivet,Corentin_Fivet,1,1,,Corentin Fivet,ReCrete_footbridge_reused_concrete_blocks.md
Nils Nolting,Nils_Nolting,1,1,,Nils Nolting,Recyclinghaus_Hannover.md
CITYFÖRSTER architecture + urbanism,Cityfoerster_Architecture_Urbanism,1,2,Architekt,CITYFÖRSTER; CITYFÖRSTER architecture + urbanism,Recyclinghaus_Hannover.md
DREWES + SPETH Beratende Ingenieure,Drewes_Speth_Beratende_Ingenieure,1,1,Tragwerksplaner,DREWES + SPETH Beratende Ingenieure,Recyclinghaus_Hannover.md
Bruxelles-Propreté,Bruxelles_Propret,1,1,,Bruxelles-Propreté,Recypark_Demets_Anderlecht.md
Net Brussel,Net_Brussel,1,1,,Net Brussel,Recypark_Demets_Anderlecht.md
51N4E,51n4e,1,1,,51N4E,Recypark_Demets_Anderlecht.md
Witteveen+Bos,Witteveen_Bos,1,1,,Witteveen+Bos,Recypark_Demets_Anderlecht.md
Détang,D_Tang,1,1,,Détang,Recypark_Demets_Anderlecht.md
SecuriSan,Securisan,1,1,,SecuriSan,Recypark_Demets_Anderlecht.md
Les Marneurs,Les_Marneurs,1,1,,Les Marneurs,Recypark_Demets_Anderlecht.md
Janne Saario,Janne_Saario,1,1,,Janne Saario,Recypark_Demets_Anderlecht.md
Art Valens,Art_Valens,1,1,,Art Valens,Recypark_Demets_Anderlecht.md
Novaedia,Novaedia,1,1,,Novaedia,Resilience_La_Ferme_des_Possibles_Stains.md
Novædia,Nov_Dia,1,1,,Novædia,Resilience_La_Ferme_des_Possibles_Stains.md
Frédéric Denise,Fr_D_Ric_Denise,1,1,,Frédéric Denise,Resilience_La_Ferme_des_Possibles_Stains.md
Archipel Zéro,Archipel_Z_Ro,1,1,,Archipel Zéro,Resilience_La_Ferme_des_Possibles_Stains.md
SOCOTEC,Socotec,1,1,,SOCOTEC,Resilience_La_Ferme_des_Possibles_Stains.md
Depuis 1920,Depuis_1920,1,1,,Depuis 1920,Resilience_La_Ferme_des_Possibles_Stains.md
Terraterre,Terraterre,1,1,,Terraterre,Resilience_La_Ferme_des_Possibles_Stains.md
Saxum Vineyards,Saxum_Vineyards,1,1,,Saxum Vineyards,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Clayton & Little,Clayton_Little,1,1,,Clayton & Little,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Clayton Korte,Clayton_Korte,1,1,,Clayton Korte,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
SSG Structural Engineers,Ssg_Structural_Engineers,1,1,,SSG Structural Engineers,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Rarig Construction,Rarig_Construction,1,1,,Rarig Construction,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Maurer United,Maurer_United,1,1,,Maurer United,Superlocal_Expogebouw_Bleijerheide.md
HEEMwonen,Heemwonen,1,1,,HEEMwonen,Superlocal_Expogebouw_Bleijerheide.md
"Gemeinde Kerkrade, IBA Parkstad",Gemeinde_Kerkrade_Iba_Parkstad,1,1,,"Gemeinde Kerkrade, IBA Parkstad",Superlocal_Expogebouw_Bleijerheide.md
Volantis,Volantis,1,1,,Volantis,Superlocal_Expogebouw_Bleijerheide.md
Dusseldorp,Dusseldorp,1,1,,Dusseldorp,Superlocal_Expogebouw_Bleijerheide.md
Bouwbedrijven Jongen,Bouwbedrijven_Jongen,1,1,,Bouwbedrijven Jongen,Superlocal_Expogebouw_Bleijerheide.md
Gladsaxe Municipality,Gladsaxe_Municipality,1,1,,Gladsaxe Municipality,Svanen_Kindergarten_Gladsaxe.md
Gladsaxe Kommune,Gladsaxe_Kommune,1,1,,Gladsaxe Kommune,Svanen_Kindergarten_Gladsaxe.md
Sweco Architects,Sweco_Architects,1,2,,Sweco; Sweco Architects,Svanen_Kindergarten_Gladsaxe.md
NIRAS,Niras,1,1,,NIRAS,Svanen_Kindergarten_Gladsaxe.md
"Tscherning, Ason A/S, Aksel V. Jensen",Tscherning_Ason_A_S_Aksel_V_Jensen,1,1,,"Tscherning, Ason A/S, Aksel V. Jensen",Svanen_Kindergarten_Gladsaxe.md
Rijksvastgoedbedrijf,Rijksvastgoedbedrijf,1,1,,Rijksvastgoedbedrijf,The_Green_House_Utrecht.md
Central Government Real Estate Agency,Central_Government_Real_Estate_Agency,1,1,,Central Government Real Estate Agency,The_Green_House_Utrecht.md
R Creators,R_Creators,1,1,,R Creators,The_Green_House_Utrecht.md
Pieters Bouwtechniek,Pieters_Bouwtechniek,1,1,,Pieters Bouwtechniek,The_Green_House_Utrecht.md
Strukton Worksphere,Strukton_Worksphere,1,1,,Strukton Worksphere,The_Green_House_Utrecht.md
Ballast Nedam,Ballast_Nedam,1,1,,Ballast Nedam,The_Green_House_Utrecht.md
Kampstaal,Kampstaal,1,1,,Kampstaal,The_Green_House_Utrecht.md
De Groot & Visser,De_Groot_Visser,1,1,,De Groot & Visser,The_Green_House_Utrecht.md
Bikubenfonden,Bikubenfonden,1,1,,Bikubenfonden,Thoravej_29_Copenhagen.md
Pihlmann Architects,Pihlmann_Architects,1,1,,Pihlmann Architects,Thoravej_29_Copenhagen.md
Hoffmann A/S,Hoffmann_A_S,1,1,,Hoffmann A/S,Thoravej_29_Copenhagen.md
ABC Rådgivende Ingeniører,Abc_R_Dgivende_Ingeni_Rer,1,1,,ABC Rådgivende Ingeniører,Thoravej_29_Copenhagen.md
Sara Martinsen,Sara_Martinsen,1,1,,Sara Martinsen,Thoravej_29_Copenhagen.md
DTU Kristoffer Negendahl/Negeldahl,Dtu_Kristoffer_Negendahl_Negeldahl,1,1,,DTU Kristoffer Negendahl/Negeldahl,Thoravej_29_Copenhagen.md
Landsec,Landsec,1,1,Bauherr,Landsec,Timber_Square_London.md
Bennetts Associates,Bennetts_Associates,1,1,Architekt,Bennetts Associates,Timber_Square_London.md
Kilden & Hindby,Kilden_Hindby,1,1,Bauherr,Kilden & Hindby,TRAE_High_Rise_Aarhus.md
PFA Ejendomme,Pfa_Ejendomme,1,1,Bauherr,PFA Ejendomme,TRAE_High_Rise_Aarhus.md
NREP,Nrep,1,1,Bauherr,NREP,Upcycle_Studios_Copenhagen.md
AG Gruppen,Ag_Gruppen,1,1,Bauherr,AG Gruppen,Upcycle_Studios_Copenhagen.md
MOE,Moe,1,1,Tragwerksplaner,MOE,Upcycle_Studios_Copenhagen.md
BOGL,Bogl,1,1,,BOGL,Upcycle_Studios_Copenhagen.md
AgwA,Agwa,1,1,,AgwA,Verbiest_Karreveld_Brussels.md
Evelia Macal,Evelia_Macal,1,1,,Evelia Macal,Verbiest_Karreveld_Brussels.md
JZH & Partners,Jzh_Partners,1,1,,JZH & Partners,Verbiest_Karreveld_Brussels.md
"Kahle Acoustics, Denis Dujardin",Kahle_Acoustics_Denis_Dujardin,1,1,,"Kahle Acoustics, Denis Dujardin",Verbiest_Karreveld_Brussels.md
Pouvoir Organisateur Pluriel,Pouvoir_Organisateur_Pluriel,1,1,,Pouvoir Organisateur Pluriel,Verbiest_Karreveld_Brussels.md
POP,Pop,1,1,,POP,Verbiest_Karreveld_Brussels.md
"Jan Jongert, Jeroen Bergsma, Team Superuse/2012Architecten",Jan_Jongert_Jeroen_Bergsma_Team_Superuse_2012architecten,1,2,Architekt,"Jan Jongert, Jeroen Bergsma, Team Superuse/2012Architecten; 2012Architecten",Villa_Welpeloo_Enschede.md
Nico Plukkel,Nico_Plukkel,1,1,Tragwerksplaner,Nico Plukkel,Villa_Welpeloo_Enschede.md
Tjibbe Knol,Tjibbe_Knol,1,1,Bauherr,Tjibbe Knol,Villa_Welpeloo_Enschede.md
Ingrid Blans in Architectuurgids genannt,Ingrid_Blans_In_Architectuurgids_Genannt,1,1,Bauherr,Ingrid Blans in Architectuurgids genannt,Villa_Welpeloo_Enschede.md
Bewohnerinitiative,Bewohnerinitiative,1,1,,Bewohnerinitiative,Woongroep_Boschgaard_Den_Bosch.md
Zayaz,Zayaz,1,1,,Zayaz,Woongroep_Boschgaard_Den_Bosch.md
Bouwbedrijf Versteegden,Bouwbedrijf_Versteegden,1,1,,Bouwbedrijf Versteegden,Woongroep_Boschgaard_Den_Bosch.md
Transfarmers,Transfarmers,1,1,,Transfarmers,Woongroep_Boschgaard_Den_Bosch.md
VanNimwegen,Vannimwegen,1,1,,VanNimwegen,Woongroep_Boschgaard_Den_Bosch.md
Zinneke asbl,Zinneke_Asbl,1,1,,Zinneke asbl,Zinneke_Feder_Masui4ever_Brussels.md
Ouest Architecture,Ouest_Architecture,1,1,,Ouest Architecture,Zinneke_Feder_Masui4ever_Brussels.md
Matriciel,Matriciel,1,1,,Matriciel,Zinneke_Feder_Masui4ever_Brussels.md
asp_Architekten,Asp_Architekten,1,1,,asp_Architekten,BOELL_LAB_Berlin.md
Heinrich_Boell_Stiftung,Heinrich_Boell_Stiftung,1,1,,Heinrich_Boell_Stiftung,BOELL_LAB_Berlin.md
WBM,Wbm,1,1,,WBM,BOELL_LAB_Berlin.md
Stadt_Heilbronn,Stadt_Heilbronn,1,1,,Stadt_Heilbronn,ReUseBox_Heilbronn.md
