eid,report_id,country_code,type_id,report_entity_type,actor_name,primary_role,roles,relevance,actor_degree,primary_evidence_url,fallback,evidence_count,evidence_urls,evidence_quotes,evidence_supports_roles,evidence_accessed_at,reuse_objects,strict_review
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6250,DE:U14,DE,U14,,CITYFÖRSTER,Architektur / Reuse-Beratung,Architektur | Reuse-Beratung,Plant Reuse-Projekte und berät Bauherren zur Wiederverwendbarkeit von Bauteilen.,kern,https://www.cityfoerster.net/expertise/re_use-622-2.html,False,1,https://www.cityfoerster.net/expertise/re_use-622-2.html,"We advise our builders on components and offer conception, planning and implementation services.",Architektur | Reuse-Beratung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5247,GB:U16,GB,U16,,Civic Engineers,Reuse-Strategie,Reuse-Strategie,Direkt belegt im baulichen Reuse-Kontext: Reuse-Strategie.,kern,https://www.team-civic.com/services/structural-engineering,False,1,https://www.team-civic.com/services/structural-engineering,"We actively champion, influence and innovate circular economy principles in our practice, and we are committed to material management and reuse strategies",Reuse-Strategie,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4774,DE:F03,DE,F03,,Claus Asam,Projektentwicklung / Pilotierung,Projektentwicklung | Pilotierung,Leitete Reuse-Piloten und erprobte den Wiedereinsatz rückgebauter Betonplatten.,bezug,https://taz.de/Die-Wiedergeburt-der-Platte/!493469/,False,2,https://www.baulinks.de/webplugin/2005/1177.php4 | https://taz.de/Die-Wiedergeburt-der-Platte/!493469/,"Claus Asam vom IEMB, der das Projekt leitete und maßgeblich mitinitiierte. | Gemeinsam mit Claus Asam vom IEMB ... drei Testbauten errichtet.",Projektentwicklung | Pilotierung,2026-08-13 | 2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5223,GB:U17,GB,U17,,Cleveland Steel & Tubes,Bauteilhandel,Bauteilhandel,Kauft und verkauft überschüssigen Stahl für die erneute Nutzung in Bauprojekten.,kern,https://cleveland-steel.com/,False,1,https://cleveland-steel.com/we-want-buy-steel-reuse,We are steel reuse experts ... Our site is ready to take your surplus steel.,Bauteilhandel,2026-08-13,,True
NEW:H:codesignsweden,SE:U08,SE,U08,,Codesign Sweden AB,Projektsteuerung,Projektsteuerung,Direkt belegt im baulichen Reuse-Kontext: Projektsteuerung.,bezug,https://www.mynewsdesk.com/se/codesign/pressreleases/aaterhus-att-bygga-hus-av-hus-faar-vidare-finansiering-fraan-vinnova-3092349,False,1,https://www.mynewsdesk.com/se/codesign/pressreleases/aaterhus-att-bygga-hus-av-hus-faar-vidare-finansiering-fraan-vinnova-3092349,"Innovationsprojektet Återhus – att bygga hus av hus leds av Codesign i samarbete med NCC, RISE och Stockholms stad",Projektsteuerung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:732,FR:U06,FR,U06,,Collectif CANCAN,Architektur,Architektur,Plant mit gebrauchten Materialien und demontierbaren Bauteilverbindungen.,kern,https://www.collectifcancan.fr/cancan/demarche/,False,1,https://www.collectifcancan.fr/cancan/demarche/,par le recours au réemploi de matières et matériaux,Architektur,2026-08-13,,True
NEW:composil,BE:M08,BE,M08,,Composil,Sortierung,Sortierung,"Sortiert, reinigt und restauriert gebrauchte Teppichfliesen für neue Projekte.",kern,https://blog.composil.eu/en/sustainable-building-materials-reused-carpets,False,1,https://blog.composil.eu/en/sustainable-building-materials-reused-carpets,"At Composil, we offer a more sustainable solution: our reuse and recycling program is not only eco-friendly but also economically advantageous compared to incineration.",Sortierung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6573,DE:S01,DE,S01,,Concular,Bauteilinventarisierung / Reuse-Audit / Vermittlungsplattform,Bauteilinventarisierung | Reuse-Audit | Vermittlungsplattform,"Erfasst, bewertet und vermittelt Bauteile für Rückbau und Wiedereinbau.",kern,https://concular.de/,False,1,https://concular.de/,Urban Mining inkl. Vermarktung und rechtssicherer Wiedereinbau,Bauteilinventarisierung | Reuse-Audit | Vermittlungsplattform,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5080,FI:U05,FI,U05,,Consolis Parma,Technische Prüfung / Aufarbeitung,Technische Prüfung | Aufarbeitung,Prüft und arbeitet Betonfertigteile werksseitig für den Wiedereinsatz auf.,kern,https://parma.fi/tuote/parma-reuse/,False,1,https://parma.fi/tuote/parma-reuse/,PARMA ReUse™ on Parman tehdaskunnostusratkaisu kokonaisina uudelleen käytettävien betonielementtien hyödyntämiseksi uudisrakentamisessa.,Technische Prüfung | Aufarbeitung,2026-08-13,Bauteile und Baumaterialien,True
NEW:H:universityoftwente,BE:F07,BE,F07,,Construction Management and Engineering / University of Twente,Angewandte Forschung,Angewandte Forschung,"Entwickelt Informationsmethoden für Bergung, Reuse-Entscheidungen und reversibles Bauen.",bezug,https://research.utwente.nl/en/publications/managing-circular-building-projects,False,1,https://research.utwente.nl/en/publications/managing-circular-building-projects,"exploring how information can be used to reduce, reuse and/or recycle building materials",Angewandte Forschung,2026-08-13,,True
NEW:H:contiga,SE:U09,SE,U09,,Contiga,Demontage / Anpassung / Wiedereinbau,Demontage | Anpassung | Wiedereinbau,"Demontiert, passt Hohlplatten an und montiert sie in einem neuen Gebäude erneut.",bezug,https://branschaktuellt.se/byggindustrin/62133-stora-aktorer-i-samverkan-om-aterhus/,False,1,https://www.precastcontiga.heidelbergmaterials.se/sv/contiga-deltar-i-innovationsprojekt-for-aterbruk-av-tunga-byggnadsdelar,"Vi har fått i uppdrag att demontera, anpassa och återmontera håldäcken och takplåten.",Demontage | Anpassung | Wiedereinbau,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39523,BE:M09,BE,M09,,Cornermat / Retrival,Bauteilhandel,Bauteilhandel,"Demontiert Bauteile selektiv, birgt sie und verkauft sie für neue Projekte.",kern,https://www.cornermat.be/,False,1,https://www.cornermat.be/,Votre fournisseur de matériaux de réemploi,Bauteilhandel,2026-08-13,,True
NEW:csarchitecturalsalvage,GB:M06,GB,M06,,CS Architectural Salvage,Bauteilhandel,Bauteilhandel,Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.,kern,https://csarchitecturalsalvage.com/,False,1,https://csarchitecturalsalvage.com/,"As a trusted supplier and purchaser of premium reclaimed building materials, CS Architectural Salvage has fostered strong relationships with businesses and building contractors across Ireland and the UK.",Bauteilhandel,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:738,FR:F01,FR,F01,,CSTB,Qualitätssicherung,Qualitätssicherung,Entwickelt anerkannte Verfahren zur sicheren Bewertung gebrauchter Bauprodukte.,kern,https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi,False,1,https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi,une démarche globale de structuration progressive des filières liées au réemploi,Qualitätssicherung,2026-08-13,,True
NEW:H:cubusprojekt,DE:U15,DE,U15,,Cubus Projekt,Fertigung mit Reuse-Material,Fertigung mit Reuse-Material,Verarbeitet im Reallabor geborgenes Material zu Bauteilen für Tragstrukturen.,bezug,https://www.nbl.berlin/projects/reallabor-be-ware/,False,1,https://www.nbl.berlin/projects/reallabor-be-ware/,"4. Verarbeitungsbetriebe: Holzwerke Bullinger, Holzbau Matthé, Max Holzbau, Arche Naturhaus, Cubus Projekt",Fertigung mit Reuse-Material,2026-08-13,Bauteile und Baumaterialien,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39524,FR:M18,FR,M18,,Cycle Up,Reuse-Beratung,Reuse-Beratung,"Berät, bewertet Reuse-Potenziale und vermittelt gebrauchte Bauteile digital.",kern,https://www.cycle-up.fr/,False,1,https://www.cycle-up.fr/,économiser les ressources et réduire les déchets du bâtiment au travers du réemploi des matériaux,Reuse-Beratung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39525,FR:S02,FR,S02,,Cycle Zéro,Vermittlungsplattform,Vermittlungsplattform,Macht Baustoffangebote auffindbar und vermittelt ihre kostenlose Weitergabe.,kern,https://cyclezero.fr/,False,1,https://cyclezero.fr/,"les entreprises du BTP et les architectes transforment leurs gisements en argent, et les particuliers récupèrent gratuitement des matériaux de chantier",Vermittlungsplattform,2026-08-13,,True
NEW:H:dare,DE:U17,DE,U17,,DARE GmbH,Selektiver Rückbau,Selektiver Rückbau,Baut Materialquellen für die spätere Wiederverwendung zerstörungsarm zurück.,bezug,https://www.nbl.berlin/projects/reallabor-be-ware/,False,1,https://www.nbl.berlin/projects/reallabor-be-ware/,"Rückbau- und Logistikbetriebe: HTR – Holz-Transporte, DARE GmbH (Rückbau)",Selektiver Rückbau,2026-08-13,Bauteile und Baumaterialien,True
NEW:degroenepoort,BE:M10,BE,M10,,De Groene Poort,Bauteilhandel,Bauteilhandel,Entwirft und fertigt Möbel aus alten Bauteilen und verkauft historische Elemente.,kern,https://www.degroenepoort.com/en/about-us,False,1,https://www.degroenepoort.com/en/about-us,"You will discover the most original furniture and treasures in De Groene Poort: seventeenth-century prison doors, wood from wreckages to incorporate in your catering business, cupboards made from old doors, shutters, windows",Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5776,NL:U18,NL,U18,,De Groot & Visser,Modulare Systeme,Modulare Systeme,Direkt belegt im baulichen Reuse-Kontext: Modulare Systeme.,bezug,https://degrootenvisser.nl/de-circulaire-gevel-van-de-toekomst-ciskin-circular-skin/,False,1,https://degrootenvisser.nl/de-circulaire-gevel-van-de-toekomst-ciskin-circular-skin/,"Met dit nieuwe gevelsysteem bedienen gevelbouwers Alkondor Hengelo, De Groot & Visser en gevelsysteem ontwikkelaar en leverancier WICONA de steeds meer volwassen wordende circulaire bouwmarkt.",Modulare Systeme,2026-08-13,,True
NEW:H:deoudedakpan,BE:M11,BE,M11,,De Oude Dakpan,Bauteilhandel,Bauteilhandel,Kauft und verkauft alte Dachziegel für den erneuten Einsatz auf Gebäuden.,kern,https://de-oude-dakpan.be/,False,1,https://de-oude-dakpan.be/,"Oude dakpannen zijn niet alleen een esthetische verrijking voor uw dak, maar bieden ook een duurzame en milieuvriendelijke oplossing.",Bauteilhandel,2026-08-13,,True
NEW:H:delanpatrickantiquaires,FR:M19,FR,M19,,DELAN PATRICK - Antiquaires,Bauteilhandel,Bauteilhandel,"Restauriert und verkauft historische Türen, Möbel und weitere Bauteile.",kern,https://www.delanpatrick.com/,False,1,https://www.delanpatrick.com/,"Patrick Delan Antiquaire, boiseries anciennes : restauration de portes, bibliothèques, meubles",Bauteilhandel,2026-08-13,,True
NEW:demfranordlunde,DK:M09,DK,M09,,Dem fra Nordlunde,Bauteilhandel,Bauteilhandel,Lagert und verkauft geborgene Bauteile aus Rückbau und Ankäufen.,kern,https://demfranordlunde.dk/shop/254-brugt-marked,False,1,https://demfranordlunde.dk/shop/254-brugt-marked,"Vi har altid er godt udvalg i brugte byggematerialer fra vores nedrivning, og fra opkøb.",Bauteilhandel,2026-08-13,,True
NEW:H:demolitionwilliamperreault,FR:M21,FR,M21,,Démolition William Perreault,Bauteilhandel,Bauteilhandel,Verkauft geborgene Baustoffe aus dem eigenen Rückbaugeschäft zur erneuten Nutzung.,kern,https://demolition-perreault.fr/,False,1,https://demolition-perreault.fr/,La seconde vie des matériaux ... site de vente de matériaux.,Bauteilhandel,2026-08-13,,True
NEW:dengronnegenbrugshal,DK:M10,DK,M10,,Den Grønne Genbrugshal,Bauteilhandel,Bauteilhandel,"Verkauft gebrauchte Türen, Fenster, Böden und weitere Baustoffe.",kern,https://www.gronnehal.dk/,False,1,https://www.gronnehal.dk/,Stort udvalg af genbrug og bæredygtige varer,Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5655,FR:U07,FR,U07,,Depuis 1920,Demontage,Demontage,"Demontiert, transportiert und passt gebrauchte Fensterrahmen für neue Fassaden an.",bezug,http://materiauxreemploi.com/visite-de-chantier-resilience-la-ferme-des-possibles-a-stains/,False,1,http://materiauxreemploi.com/visite-de-chantier-resilience-la-ferme-des-possibles-a-stains/,"Les châssis ont été déposés, transportés et retravaillés dans les ateliers de l'entreprise de menuiseries Depuis1920",Demontage,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5583,DE:G02,DE,G02,,Deutsche Bundesstiftung Umwelt (DBU),Fördermittelvergabe,Fördermittelvergabe,Fördert ein mobiles Bildungsgebäude aus wiederverwendeten Betonplatten.,bezug,https://www.plattenvereinigung.de/project/,False,1,https://www.plattenvereinigung.de/project/,Plattenvereinigung wird durch die Deutsche Bundesstiftung Umwelt (DBU) als Projekt für „Berufsbildung und öffentlichen Diskurs zum Ressourcenschutz am Beispiel eines modellhaften mobilen Recyclinggebäudes,Fördermittelvergabe,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:607,AT:N01,AT,N01,,Die Kümmerei,Beschäftigungsprogramm,Beschäftigungsprogramm,Beschäftigte beim Rückbauprojekt 25 arbeitsmarktbenachteiligte Personen.,bezug,https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,False,1,https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,Im Dusika-Stadion fanden durch die Zusammenarbeit mit Die KÜMMEREI ... 25 Personen Beschäftigung.,Beschäftigungsprogramm,2026-08-13,Bauteile und Baumaterialien,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6187,DE:U18,DE,U18,,Die Zusammenarbeiter,Architektur,Architektur,Wirkt als planender Architekt an einem konkreten Reuse-Bauprojekt mit.,bezug,https://www.dbz.de/artikel/crclr-house-berlin-3945221.html,False,1,https://www.dbz.de/artikel/crclr-house-berlin-3945221.html,"Christian Schöningh ist Teil der TRNSFRM eG und mit „Die Zusammenarbeiter"" einer der planenden Architekten vor Ort.",Architektur,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:702,CH:S01,CH,S01,,Digvis GmbH,Softwareentwicklung,Softwareentwicklung,Programmiert den digitalen Katalog für wiederverwendbare Bauteile.,bezug,https://bauteile-ibs.ch/contact,False,1,https://bauteile-ibs.ch/contact,Programmierung: digvis GmbH Industriestrasse 59 8152 Glattbrugg,Softwareentwicklung,2026-08-13,,True
NEW:doehetzelf2dehandsbouwmarkt,BE:M12,BE,M12,,Doehetzelf 2dehands bouwmarkt,Bauteilhandel,Bauteilhandel,"Lagert, liefert und verkauft gebrauchte Fenster und Türen für Bauprojekte.",kern,https://www.2dehandsbouwmarkt.be,False,1,https://www.2dehandsbouwmarkt.be,Specialist in nieuwe stock ramen en 2de handse ramen & deuren,Bauteilhandel,2026-08-13,,True
NEW:donorbygg,NO:S01,NO,S01,,Donorbygg,Datenplattform,Datenplattform,Macht wiederverwendbare Baumaterialien digital für die Wertschöpfungskette sichtbar.,kern,https://donorbygg.no,False,1,https://donorbygg.no,synliggjør ombruksmaterialer for verdikjeden,Datenplattform,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5827,DK:U08,DK,U08,,DOVISTA / KRONE,Fertigung mit Reuse-Material,Fertigung mit Reuse-Material,Fertigt Fenster mit wiederverwendetem Ausschussglas für den erneuten Einbau.,bezug,https://dovista.com/krone-brandcase,False,1,https://dovista.com/krone-brandcase,"KRONE supplied all the windows to the building, including the upcycled windows.",Fertigung mit Reuse-Material,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:606,AT:N02,AT,N02,,DRZ,Selektiver Rückbau / Beschäftigungsprogramm,Selektiver Rückbau | Beschäftigungsprogramm,Führt selektiven Rückbau durch und schafft Beschäftigung in Reuse-Projekten.,bezug,https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,False,1,https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,Demontage- und Recycling-Zentrum (DRZ) des sozialoekonomischen Betriebes der Wiener Volkshochschulen,Selektiver Rückbau | Beschäftigungsprogramm,2026-08-12,Bauteile und Baumaterialien,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5792,DK:F01,DK,F01,,DTU Byg – Sektion Materialer og Holdbarhed,Methodenentwicklung,Methodenentwicklung,Entwickelt zerstörungsfreie Prüfmethoden für wiederzuverwendende Bauteile.,kern,https://www.dtu.dk/forskning/omraader/byggeri/cirkulaert-byggeri,False,1,https://www.dtu.dk/forskning/omraader/byggeri/cirkulaert-byggeri,"Ved at genbruge hele bygningsdele bevarer byggeriet de økonomiske værdier og den energi, der er brugt til at bearbejde råmaterialer og fremstille de enkelte bygningsdelene.",Methodenentwicklung,2026-08-13,,True
NEW:H:durat,FI:U06,FI,U06,,Durat,Rücknahmesystem,Rücknahmesystem,Kauft alte Durat-Möbel im Rahmen eines geregelten Rücknahmesystems zurück.,bezug,https://durat.fi/en/pages/circular-service,False,1,https://durat.fi/en/pages/circular-service,We commit to buy back all old Durat furniture at around five per cent of the purchase price.,Rücknahmesystem,2026-08-13,Bauteile und Baumaterialien,True
NEW:H:duspot,NL:M05,NL,M05,,DuSpot,Vermittlungsplattform,Vermittlungsplattform,Erfasst und vermittelt Angebot und Nachfrage nach gebrauchten Baustoffen digital.,kern,https://www.duspot.nl/,False,1,https://www.duspot.nl/,Onafhankelijke matchingstool voor circulaire bouwmaterialen producten grondstoffen,Vermittlungsplattform,2026-08-13,,True
NEW:H:dusselmateriauxanciens,FR:M20,FR,M20,,Dussel Matériaux Anciens,Bauteilhandel,Bauteilhandel,"Lagert, bearbeitet und verkauft geborgene Bauteile aus Abbruchvorhaben.",kern,https://dussel-materiaux-anciens.com/,False,1,https://dussel-materiaux-anciens.com/,Vous trouverez un vaste choix de matériaux anciens qui pourront vous satisfaire pour rénover votre appartement ou maison.,Bauteilhandel,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5736,NL:U22,NL,U22,,Dusseldorp,Bauteilhandel,Bauteilhandel,Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.,kern,https://dusseldorp.nu/circulair-slopen,False,1,https://dusseldorp.nu/circulair-slopen,As sloopbedrijf zijn we ook leverancier van producten en grondstoffen.,Bauteilhandel,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5291,NL:U23,NL,U23,,DWT Groep,Beschaffungsplanung,Beschaffungsplanung,Prüft verfügbare zirkuläre Materialien früh und plant ihren Einsatz im Projekt.,kern,https://dwtgroep.nl/innovatie/circulair,False,1,https://dwtgroep.nl/innovatie/circulair,Bij projecten kijken we in het voorontwerp naar beschikbare materialen en zetten deze in.,Beschaffungsplanung,2026-08-13,,True
NEW:eandareclamation,GB:M08,GB,M08,,E&A Reclamation,Bergung / Fertigung mit Reuse-Material,Bergung | Fertigung mit Reuse-Material,"Direkt belegt im baulichen Reuse-Kontext: Bergung, Fertigung mit Reuse-Material.",kern,https://www.eandareclamation.com/,False,1,https://www.eandareclamation.com/,"E&A Reclamation have been salvaging reclaimed building materials for 30 years, to produce everyday quality products such a using sustainable sources.",Bergung | Fertigung mit Reuse-Material,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
NEW:H:eeuwenhoutantoineverhofstede,BE:M14,BE,M14,,Eeuwenhout Antoine Verhofstede,Bauteilhandel,Bauteilhandel,Bereitet historisches Holz auf und verkauft es für neue Bauteilanwendungen.,kern,https://www.verhofstede.be/,False,1,https://www.verhofstede.be/,"And naturally we present to you 'Eeuwenhout', a collection wood of the best quality from long gone times that we breathe new life into for you.",Bauteilhandel,2026-08-13,,True
NEW:H:ekoreemploi,FR:M22,FR,M22,,EKO reemploi,Bauteilhandel,Bauteilhandel,"Ein direkter Reuse-Bezug ist belegt, die konkrete Funktion bleibt jedoch unklar.",kern,https://www.ekoreemploi.fr/,True,1,https://www.ekoreemploi.fr/,Ressourcerie & Matériaux de Seconde Main,Bauteilhandel,2026-08-13,,True
NEW:H:ekokumppanit,FI:G01,FI,G01,,Ekokumppanit (Kiertotalous Pirkanmaa),Programmmanagement / Methodenentwicklung,Programmmanagement | Methodenentwicklung,Entwickelt und pilotiert ein Modell für Lagerung und Wiederverwendung von Bauteilen.,kern,https://ekokumppanit.fi/projektit/sailo/,False,1,https://ekokumppanit.fi/projektit/sailo/,SÄILÖ pilotoida toimintamalli välivarastointiin ja uudelleenkäyttöön.,Programmmanagement | Methodenentwicklung,2026-08-13,,True
NEW:elliottwood,GB:U21,GB,U21,,Elliott Wood,Tragwerksplanung / Beschaffungsplanung,Tragwerksplanung | Beschaffungsplanung,Plant Tragwerke mit wiedergewonnenem Stahl und organisiert dessen Einsatz.,bezug,https://www.elliottwood.co.uk/latest/180-piccadilly-londons-largest-steel-reuse-project,False,1,https://www.elliottwood.co.uk/latest/180-piccadilly-londons-largest-steel-reuse-project,"Sourced from Cleveland Steel Stock, 4% of the steel is reclaimed and 1% is recovered.",Tragwerksplanung | Beschaffungsplanung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:736,BE:N03,BE,N03,,Embuild,Methodenentwicklung,Methodenentwicklung,Entwickelt Werkzeuge und koordiniert die Bauwirtschaft für mehr Bauteilwiederverwendung.,kern,https://www.embuildvlaanderen.be/focus/circulair-bouwen/,False,1,https://www.embuildvlaanderen.be/focus/circulair-bouwen/,Minder afval dankzij hergebruik en recyclage,Methodenentwicklung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6394,FR:U08,FR,U08,,Encore Heureux,Architektur,Architektur,Plant mit bestehenden Gebäuden und wiederverwendeten Materialien.,kern,https://encoreheureux.org/,False,1,https://encoreheureux.org/,"les projets intègrent une réflexion sur la réutilisation de bâtiments existants, le réemploi de matériaux",Architektur,2026-08-13,,True
NEW:H:enfinreemploi,FR:M23,FR,M23,,Enfin!Réemploi,Reuse-Beratung,Reuse-Beratung,"Berät, sammelt und vermittelt gebrauchte Baustoffe für eine weitere Nutzung.",bezug,https://auvergne-rhone-alpes.ambition-ess.org/structures/association-enfin-reemploi/,False,1,https://auvergne-rhone-alpes.ambition-ess.org/structures/association-enfin-reemploi/,"fournissant des solutions concrètes et abordables (conseil, étude, collectes, matériaux de seconde-main)",Reuse-Beratung,2026-08-13,,True
NEW:englishsalvage,GB:M09,GB,M09,,English Salvage,Bauteilhandel,Bauteilhandel,Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.,kern,https://www.englishsalvage.co.uk/,False,1,https://www.englishsalvage.co.uk/,"arguably the most comprehensive design and architectural resource in the UK supplying homeowners, architects, design professionals and the movie industry",Bauteilhandel,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5344,NO:U03,NO,U03,,Entra AS,Bauherrschaft / Projektentwicklung,Bauherrschaft | Projektentwicklung,Entwickelt und beauftragt KA13 mit Bestandserhalt und hohem Reuse-Anteil.,bezug,https://www.futurebuilt.no/forbildeprosjekter/kristian-augusts-gate-13-oslo,False,1,https://www.futurebuilt.no/forbildeprosjekter/kristian-augusts-gate-13-oslo,Developer: Entra,Bauherrschaft | Projektentwicklung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5308,CH:I01,CH,I01,,Entsorgung + Recycling Zürich (ERZ),Gebäudeeigentum / Projektentwicklung,Gebäudeeigentum | Projektentwicklung,Entwickelt als Eigentümervertretung das Reuse-Pilotzentrum gemeinsam mit der Stadt.,bezug,https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html,False,1,https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html,Das Recyclingzentrum Juch-Areal von Entsorgung + Recycling Zürich ist ein Pionierprojekt für die Wiederverwendung von Bauteilen und die Reduktion von Treibhausgasemissionen.,Gebäudeeigentum | Projektentwicklung,2026-08-13,,True
NEW:H:envirobatoccitanie,FR:N05,FR,N05,,Envirobat Occitanie,Reuse-Beratung,Reuse-Beratung,"Berät, qualifiziert und vernetzt Fachleute für operative Reuse-Projekte.",kern,https://www.envirobat-oc.fr/economie-circulaire-et-reemploi,False,1,https://www.envirobat-oc.fr/economie-circulaire-et-reemploi,"Envirobat Occitanie accompagne, depuis plusieurs années, les professionnels et collectivités à déployer des démarches opérationnelles de réemploi",Reuse-Beratung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39526,GB:M10,GB,M10,,Enviromate,Vermittlungsplattform,Vermittlungsplattform,"Vermittelt überschüssige Baustoffe zum Verkauf, Tausch oder zur kostenlosen Weitergabe.",kern,https://www.enviromate.co.uk/,False,1,https://www.enviromate.co.uk/,"The award winning closed loop marketplace where people connect to buy, sell or donate leftover building materials.",Vermittlungsplattform,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5961,BE:G01,BE,G01,,ERDF / FEDER Brüssel-Hauptstadt,Fördermittelvergabe,Fördermittelvergabe,Fördert den Zinneke-Umbau mit Bestandserhalt und zahlreichen gebrauchten Bauteilen.,bezug,https://rotordb.org/en/projects/zinneke-feder-masui4ever,False,1,https://rotordb.org/en/projects/zinneke-feder-masui4ever,This project was made possible thanks to an ERDF subvention from the Brussels-Capital Region.,Fördermittelvergabe,2026-08-13,,True
NEW:H:excessmaterialsexchange,NL:M06,NL,M06,,Excess Materials Exchange (EME),Vermittlungsplattform,Vermittlungsplattform,Direkt belegt im baulichen Reuse-Kontext: Vermittlungsplattform.,kern,https://excess.company/,False,1,https://excess.company/,"We connect your surplus with verified, high-value reuse opportunities.",Vermittlungsplattform,2026-08-13,,True
NEW:H:fabege,SE:M05,SE,M05,,Fabege,Zwischenlagerung,Zwischenlagerung,Direkt belegt im baulichen Reuse-Kontext: Zwischenlagerung.,kern,https://www.fabege.se/kunskap-och-inspiration/nyheter/2025/aterbrukshubben-fyller-tva-ar/,False,1,https://www.fabege.se/kunskap-och-inspiration/nyheter/2025/aterbrukshubben-fyller-tva-ar/,Just nu finns ca 157 ton material i vår återbrukshubb redo att återbrukas i våra projekt.,Zwischenlagerung,2026-08-13,Bauteile oder Baumaterialien laut akteursspezifischer Evidenz,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:713,DE:U22,DE,U22,,Faltlhauser Krapf,Tragwerksplanung,Tragwerksplanung,Plant das Tragwerk eines Reallabors aus wiederverwendeten Betonschalungen.,bezug,https://fk-ing.com/projekt/neubau-jugendtreff-ingersheim/,False,1,https://fk-ing.com/projekt/neubau-jugendtreff-ingersheim/,Betonschalungen der Baustelle des neuen Hauptbahnhofs in Stuttgart einen neuen Zweck zuführen,Tragwerksplanung,2026-08-13,,True
NEW:H:feretpierre,FR:M24,FR,M24,,Fer et Pierre,Bauteilhandel,Bauteilhandel,Aus den Informationen ist kein direkter Beitrag zur Wiederverwendung ableitbar.,kern,https://fer-et-pierre.com/,True,1,https://fer-et-pierre.com/,Spécialiste Ferronnerie d'art et Matériaux Anciens,Bauteilhandel,2026-08-13,,True
