"source","source_entity","source_id","field","raw_label","suggested_entity","reason","legacy_path"
"akteur_beteiligung/Musee_de_Folklore_Mouscron__003__Bureau_Bouwtechniek_Greisch_Daidalos_Peutz_Takty","akteur_beteiligung","Musee_de_Folklore_Mouscron__003__Bureau_Bouwtechniek_Greisch_Daidalos_Peutz_Takty","akteur_candidate","Bureau Bouwtechniek, Greisch, Daidalos Peutz, Taktyk","akteur","multi_actor_or_unmerged_candidate","Gebäude\Musee_de_Folklore_Mouscron.md"
"akteur_beteiligung/Peoples_Pavilion_Eindhoven__001__bureau_SLA","akteur_beteiligung","Peoples_Pavilion_Eindhoven__001__bureau_SLA","akteur_candidate","bureau SLA","akteur","no_existing_actor_match","Gebäude\Peoples_Pavilion_Eindhoven.md"
"akteur_beteiligung/Peoples_Pavilion_Eindhoven__002__Overtreders_W","akteur_beteiligung","Peoples_Pavilion_Eindhoven__002__Overtreders_W","akteur_candidate","Overtreders W","akteur","no_existing_actor_match","Gebäude\Peoples_Pavilion_Eindhoven.md"
"akteur_beteiligung/Peoples_Pavilion_Eindhoven__003__Dutch_Design_Foundation","akteur_beteiligung","Peoples_Pavilion_Eindhoven__003__Dutch_Design_Foundation","akteur_candidate","Dutch Design Foundation","akteur","no_existing_actor_match","Gebäude\Peoples_Pavilion_Eindhoven.md"
"akteur_beteiligung/Peoples_Pavilion_Eindhoven__005__Ham_Sybesma","akteur_beteiligung","Peoples_Pavilion_Eindhoven__005__Ham_Sybesma","akteur_candidate","Ham & Sybesma","akteur","no_existing_actor_match","Gebäude\Peoples_Pavilion_Eindhoven.md"
"akteur_beteiligung/Peoples_Pavilion_Eindhoven__006__New_Horizon","akteur_beteiligung","Peoples_Pavilion_Eindhoven__006__New_Horizon","akteur_candidate","New Horizon","akteur","no_existing_actor_match","Gebäude\Peoples_Pavilion_Eindhoven.md"
"akteur_beteiligung/Plattenpalast_Berlin__001__Anna_Hopp_Carsten_Wiewiorra_Wiewiorra_Hopp_Archi","akteur_beteiligung","Plattenpalast_Berlin__001__Anna_Hopp_Carsten_Wiewiorra_Wiewiorra_Hopp_Archi","akteur_candidate","Anna Hopp, Carsten Wiewiorra / Wiewiorra Hopp Architekten","akteur","multi_actor_or_unmerged_candidate","Gebäude\Plattenpalast_Berlin.md"
"akteur_beteiligung/PLP_London_HQ_Circular_Studio_Fitout__001__PLP_Architecture","akteur_beteiligung","PLP_London_HQ_Circular_Studio_Fitout__001__PLP_Architecture","akteur_candidate","PLP Architecture","akteur","no_existing_actor_match","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"akteur_beteiligung/PLP_London_HQ_Circular_Studio_Fitout__002__Method","akteur_beteiligung","PLP_London_HQ_Circular_Studio_Fitout__002__Method","akteur_candidate","Method","akteur","no_existing_actor_match","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"akteur_beteiligung/PLP_London_HQ_Circular_Studio_Fitout__003__Maconda","akteur_beteiligung","PLP_London_HQ_Circular_Studio_Fitout__003__Maconda","akteur_candidate","Maconda","akteur","no_existing_actor_match","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"akteur_beteiligung/PLP_London_HQ_Circular_Studio_Fitout__004__Contrax_Furniture","akteur_beteiligung","PLP_London_HQ_Circular_Studio_Fitout__004__Contrax_Furniture","akteur_candidate","Contrax Furniture","akteur","no_existing_actor_match","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"akteur_beteiligung/PLP_London_HQ_Circular_Studio_Fitout__005__Solus","akteur_beteiligung","PLP_London_HQ_Circular_Studio_Fitout__005__Solus","akteur_candidate","Solus","akteur","no_existing_actor_match","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"akteur_beteiligung/PLP_London_HQ_Circular_Studio_Fitout__005__Solus","akteur_beteiligung","PLP_London_HQ_Circular_Studio_Fitout__005__Solus","beziehung","Terrazzo Feature","akteurrolle","no_confident_akteurrolle_match","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"akteur_beteiligung/PLP_London_HQ_Circular_Studio_Fitout__006__Grants_of_Shoreditch","akteur_beteiligung","PLP_London_HQ_Circular_Studio_Fitout__006__Grants_of_Shoreditch","akteur_candidate","Grants of Shoreditch","akteur","no_existing_actor_match","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"akteur_beteiligung/PLP_London_HQ_Circular_Studio_Fitout__006__Grants_of_Shoreditch","akteur_beteiligung","PLP_London_HQ_Circular_Studio_Fitout__006__Grants_of_Shoreditch","beziehung","reclaimed marble","akteurrolle","no_confident_akteurrolle_match","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"akteur_beteiligung/ReCrete_footbridge_reused_concrete_blocks__001__Julie_Dev_nes_Jan_Br_tting_C_lia_K_pfer_Mal_na_B","akteur_beteiligung","ReCrete_footbridge_reused_concrete_blocks__001__Julie_Dev_nes_Jan_Br_tting_C_lia_K_pfer_Mal_na_B","akteur_candidate","Julie Devènes, Jan Brütting, Célia Küpfer, Maléna Bastien-Masse, Corentin Fivet","akteur","multi_actor_or_unmerged_candidate","Gebäude\ReCrete_footbridge_reused_concrete_blocks.md"
"akteur_beteiligung/Recyclinghaus_Hannover__001__Nils_Nolting_CITYF_RSTER","akteur_beteiligung","Recyclinghaus_Hannover__001__Nils_Nolting_CITYF_RSTER","akteur_candidate","Nils Nolting / CITYFÖRSTER","akteur","partially_resolved_multi_actor_label","Gebäude\Recyclinghaus_Hannover.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__001__Bruxelles_Propret_Net_Brussel","akteur_beteiligung","Recypark_Demets_Anderlecht__001__Bruxelles_Propret_Net_Brussel","akteur_candidate","Bruxelles-Propreté / Net Brussel","akteur","multi_actor_or_unmerged_candidate","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__002__51N4E","akteur_beteiligung","Recypark_Demets_Anderlecht__002__51N4E","akteur_candidate","51N4E","akteur","no_existing_actor_match","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__003__Witteveen_Bos","akteur_beteiligung","Recypark_Demets_Anderlecht__003__Witteveen_Bos","akteur_candidate","Witteveen+Bos","akteur","no_existing_actor_match","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__004__Rotor_asbl","akteur_beteiligung","Recypark_Demets_Anderlecht__004__Rotor_asbl","akteur_candidate","Rotor asbl","akteur","no_existing_actor_match","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__005__Bureau_Greisch","akteur_beteiligung","Recypark_Demets_Anderlecht__005__Bureau_Greisch","akteur_candidate","Bureau Greisch","akteur","no_existing_actor_match","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__006__D_tang","akteur_beteiligung","Recypark_Demets_Anderlecht__006__D_tang","akteur_candidate","Détang","akteur","no_existing_actor_match","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__007__SecuriSan","akteur_beteiligung","Recypark_Demets_Anderlecht__007__SecuriSan","akteur_candidate","SecuriSan","akteur","no_existing_actor_match","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__008__Les_Marneurs_Janne_Saario","akteur_beteiligung","Recypark_Demets_Anderlecht__008__Les_Marneurs_Janne_Saario","akteur_candidate","Les Marneurs / Janne Saario","akteur","multi_actor_or_unmerged_candidate","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Recypark_Demets_Anderlecht__009__Art_Valens","akteur_beteiligung","Recypark_Demets_Anderlecht__009__Art_Valens","akteur_candidate","Art Valens","akteur","no_existing_actor_match","Gebäude\Recypark_Demets_Anderlecht.md"
"akteur_beteiligung/Resilience_La_Ferme_des_Possibles_Stains__001__Novaedia_Nov_dia","akteur_beteiligung","Resilience_La_Ferme_des_Possibles_Stains__001__Novaedia_Nov_dia","akteur_candidate","Novaedia / Novædia","akteur","multi_actor_or_unmerged_candidate","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"akteur_beteiligung/Resilience_La_Ferme_des_Possibles_Stains__002__Fr_d_ric_Denise_Archipel_Z_ro","akteur_beteiligung","Resilience_La_Ferme_des_Possibles_Stains__002__Fr_d_ric_Denise_Archipel_Z_ro","akteur_candidate","Frédéric Denise / Archipel Zéro","akteur","multi_actor_or_unmerged_candidate","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"akteur_beteiligung/Resilience_La_Ferme_des_Possibles_Stains__004__SOCOTEC","akteur_beteiligung","Resilience_La_Ferme_des_Possibles_Stains__004__SOCOTEC","akteur_candidate","SOCOTEC","akteur","no_existing_actor_match","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"akteur_beteiligung/Resilience_La_Ferme_des_Possibles_Stains__005__Depuis_1920","akteur_beteiligung","Resilience_La_Ferme_des_Possibles_Stains__005__Depuis_1920","akteur_candidate","Depuis 1920","akteur","no_existing_actor_match","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"akteur_beteiligung/Resilience_La_Ferme_des_Possibles_Stains__006__Terraterre","akteur_beteiligung","Resilience_La_Ferme_des_Possibles_Stains__006__Terraterre","akteur_candidate","Terraterre","akteur","no_existing_actor_match","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"akteur_beteiligung/Resilience_La_Ferme_des_Possibles_Stains__006__Terraterre","akteur_beteiligung","Resilience_La_Ferme_des_Possibles_Stains__006__Terraterre","beziehung","BTC","akteurrolle","no_confident_akteurrolle_match","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"akteur_beteiligung/Resource_Rows_Copenhagen__001__Lendager_Group_Lendager_Architects","akteur_beteiligung","Resource_Rows_Copenhagen__001__Lendager_Group_Lendager_Architects","akteur_candidate","Lendager Group / Lendager Architects","akteur","multi_actor_or_unmerged_candidate","Gebäude\Resource_Rows_Copenhagen.md"
"akteur_beteiligung/Saxum_Vineyard_Equipment_Barn_Paso_Robles__001__Saxum_Vineyards","akteur_beteiligung","Saxum_Vineyard_Equipment_Barn_Paso_Robles__001__Saxum_Vineyards","akteur_candidate","Saxum Vineyards","akteur","no_existing_actor_match","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md"
"akteur_beteiligung/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Clayton_Little_Clayton_Korte","akteur_beteiligung","Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Clayton_Little_Clayton_Korte","akteur_candidate","Clayton & Little / Clayton Korte","akteur","multi_actor_or_unmerged_candidate","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md"
"akteur_beteiligung/Saxum_Vineyard_Equipment_Barn_Paso_Robles__003__SSG_Structural_Engineers","akteur_beteiligung","Saxum_Vineyard_Equipment_Barn_Paso_Robles__003__SSG_Structural_Engineers","akteur_candidate","SSG Structural Engineers","akteur","no_existing_actor_match","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md"
"akteur_beteiligung/Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Rarig_Construction","akteur_beteiligung","Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Rarig_Construction","akteur_candidate","Rarig Construction","akteur","no_existing_actor_match","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md"
"akteur_beteiligung/Superlocal_Expogebouw_Bleijerheide__001__Maurer_United","akteur_beteiligung","Superlocal_Expogebouw_Bleijerheide__001__Maurer_United","akteur_candidate","Maurer United","akteur","no_existing_actor_match","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"akteur_beteiligung/Superlocal_Expogebouw_Bleijerheide__002__HEEMwonen","akteur_beteiligung","Superlocal_Expogebouw_Bleijerheide__002__HEEMwonen","akteur_candidate","HEEMwonen","akteur","no_existing_actor_match","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"akteur_beteiligung/Superlocal_Expogebouw_Bleijerheide__003__Gemeinde_Kerkrade_IBA_Parkstad","akteur_beteiligung","Superlocal_Expogebouw_Bleijerheide__003__Gemeinde_Kerkrade_IBA_Parkstad","akteur_candidate","Gemeinde Kerkrade, IBA Parkstad","akteur","multi_actor_or_unmerged_candidate","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"akteur_beteiligung/Superlocal_Expogebouw_Bleijerheide__004__Volantis","akteur_beteiligung","Superlocal_Expogebouw_Bleijerheide__004__Volantis","akteur_candidate","Volantis","akteur","no_existing_actor_match","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"akteur_beteiligung/Superlocal_Expogebouw_Bleijerheide__005__Dusseldorp","akteur_beteiligung","Superlocal_Expogebouw_Bleijerheide__005__Dusseldorp","akteur_candidate","Dusseldorp","akteur","no_existing_actor_match","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"akteur_beteiligung/Superlocal_Expogebouw_Bleijerheide__006__Bouwbedrijven_Jongen","akteur_beteiligung","Superlocal_Expogebouw_Bleijerheide__006__Bouwbedrijven_Jongen","akteur_candidate","Bouwbedrijven Jongen","akteur","no_existing_actor_match","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"akteur_beteiligung/Svanen_Kindergarten_Gladsaxe__001__Gladsaxe_Municipality_Gladsaxe_Kommune","akteur_beteiligung","Svanen_Kindergarten_Gladsaxe__001__Gladsaxe_Municipality_Gladsaxe_Kommune","akteur_candidate","Gladsaxe Municipality / Gladsaxe Kommune","akteur","multi_actor_or_unmerged_candidate","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"akteur_beteiligung/Svanen_Kindergarten_Gladsaxe__003__Sweco_Sweco_Architects","akteur_beteiligung","Svanen_Kindergarten_Gladsaxe__003__Sweco_Sweco_Architects","akteur_candidate","Sweco / Sweco Architects","akteur","multi_actor_or_unmerged_candidate","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"akteur_beteiligung/Svanen_Kindergarten_Gladsaxe__004__NIRAS","akteur_beteiligung","Svanen_Kindergarten_Gladsaxe__004__NIRAS","akteur_candidate","NIRAS","akteur","no_existing_actor_match","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"akteur_beteiligung/Svanen_Kindergarten_Gladsaxe__005__Tscherning_Ason_A_S_Aksel_V_Jensen","akteur_beteiligung","Svanen_Kindergarten_Gladsaxe__005__Tscherning_Ason_A_S_Aksel_V_Jensen","akteur_candidate","Tscherning, Ason A/S, Aksel V. Jensen","akteur","multi_actor_or_unmerged_candidate","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"akteur_beteiligung/The_Green_House_Utrecht__002__Rijksvastgoedbedrijf_Central_Government_Real_Est","akteur_beteiligung","The_Green_House_Utrecht__002__Rijksvastgoedbedrijf_Central_Government_Real_Est","akteur_candidate","Rijksvastgoedbedrijf / Central Government Real Estate Agency","akteur","multi_actor_or_unmerged_candidate","Gebäude\The_Green_House_Utrecht.md"
"akteur_beteiligung/The_Green_House_Utrecht__003__R_Creators","akteur_beteiligung","The_Green_House_Utrecht__003__R_Creators","akteur_candidate","R Creators","akteur","no_existing_actor_match","Gebäude\The_Green_House_Utrecht.md"
"akteur_beteiligung/The_Green_House_Utrecht__004__Pieters_Bouwtechniek","akteur_beteiligung","The_Green_House_Utrecht__004__Pieters_Bouwtechniek","akteur_candidate","Pieters Bouwtechniek","akteur","no_existing_actor_match","Gebäude\The_Green_House_Utrecht.md"
"akteur_beteiligung/The_Green_House_Utrecht__005__Strukton_Worksphere","akteur_beteiligung","The_Green_House_Utrecht__005__Strukton_Worksphere","akteur_candidate","Strukton Worksphere","akteur","no_existing_actor_match","Gebäude\The_Green_House_Utrecht.md"
"akteur_beteiligung/The_Green_House_Utrecht__006__Ballast_Nedam","akteur_beteiligung","The_Green_House_Utrecht__006__Ballast_Nedam","akteur_candidate","Ballast Nedam","akteur","no_existing_actor_match","Gebäude\The_Green_House_Utrecht.md"
"akteur_beteiligung/The_Green_House_Utrecht__007__Kampstaal","akteur_beteiligung","The_Green_House_Utrecht__007__Kampstaal","akteur_candidate","Kampstaal","akteur","no_existing_actor_match","Gebäude\The_Green_House_Utrecht.md"
"akteur_beteiligung/The_Green_House_Utrecht__008__De_Groot_Visser","akteur_beteiligung","The_Green_House_Utrecht__008__De_Groot_Visser","akteur_candidate","De Groot & Visser","akteur","no_existing_actor_match","Gebäude\The_Green_House_Utrecht.md"
"akteur_beteiligung/Thoravej_29_Copenhagen__001__Bikubenfonden_Pihlmann_Architects_Hoffmann_A_S_A","akteur_beteiligung","Thoravej_29_Copenhagen__001__Bikubenfonden_Pihlmann_Architects_Hoffmann_A_S_A","akteur_candidate","Bikubenfonden; Pihlmann Architects; Hoffmann A/S; ABC Rådgivende Ingeniører; Sara Martinsen; DTU Kristoffer Negendahl/Negeldahl","akteur","multi_actor_or_unmerged_candidate","Gebäude\Thoravej_29_Copenhagen.md"
"akteur_beteiligung/Timber_Square_London__001__Landsec_Bennetts_Associates_HTS_Mace_Hoare_Lea_A","akteur_beteiligung","Timber_Square_London__001__Landsec_Bennetts_Associates_HTS_Mace_Hoare_Lea_A","akteur_candidate","Landsec, Bennetts Associates, HTS, Mace, Hoare Lea, Alinea/T+T Alinea, Opera, Stora Enso, Hybrid Structures, Cleveland Steel & Tubes","akteur","multi_actor_or_unmerged_candidate","Gebäude\Timber_Square_London.md"
"akteur_beteiligung/TRAE_High_Rise_Aarhus__002__Artelia_Group","akteur_beteiligung","TRAE_High_Rise_Aarhus__002__Artelia_Group","akteur_candidate","Artelia Group","akteur","no_existing_actor_match","Gebäude\TRAE_High_Rise_Aarhus.md"
"akteur_beteiligung/Upcycle_Studios_Copenhagen__001__NREP_AG_Gruppen_Lendager_MOE_Artelia_BOGL","akteur_beteiligung","Upcycle_Studios_Copenhagen__001__NREP_AG_Gruppen_Lendager_MOE_Artelia_BOGL","akteur_candidate","NREP, AG Gruppen, Lendager, MOE, Artelia, BOGL","akteur","partially_resolved_multi_actor_label","Gebäude\Upcycle_Studios_Copenhagen.md"
"akteur_beteiligung/Verbiest_Karreveld_Brussels__001__AgwA","akteur_beteiligung","Verbiest_Karreveld_Brussels__001__AgwA","akteur_candidate","AgwA","akteur","no_existing_actor_match","Gebäude\Verbiest_Karreveld_Brussels.md"
"akteur_beteiligung/Verbiest_Karreveld_Brussels__002__Evelia_Macal","akteur_beteiligung","Verbiest_Karreveld_Brussels__002__Evelia_Macal","akteur_candidate","Evelia Macal","akteur","no_existing_actor_match","Gebäude\Verbiest_Karreveld_Brussels.md"
"akteur_beteiligung/Verbiest_Karreveld_Brussels__003__JZH_Partners","akteur_beteiligung","Verbiest_Karreveld_Brussels__003__JZH_Partners","akteur_candidate","JZH & Partners","akteur","no_existing_actor_match","Gebäude\Verbiest_Karreveld_Brussels.md"
"akteur_beteiligung/Verbiest_Karreveld_Brussels__004__Daidalos_Peutz_Sixco","akteur_beteiligung","Verbiest_Karreveld_Brussels__004__Daidalos_Peutz_Sixco","akteur_candidate","Daidalos Peutz, Sixco","akteur","multi_actor_or_unmerged_candidate","Gebäude\Verbiest_Karreveld_Brussels.md"
"akteur_beteiligung/Verbiest_Karreveld_Brussels__005__Kahle_Acoustics_Denis_Dujardin","akteur_beteiligung","Verbiest_Karreveld_Brussels__005__Kahle_Acoustics_Denis_Dujardin","akteur_candidate","Kahle Acoustics, Denis Dujardin","akteur","multi_actor_or_unmerged_candidate","Gebäude\Verbiest_Karreveld_Brussels.md"
"akteur_beteiligung/Verbiest_Karreveld_Brussels__006__Pouvoir_Organisateur_Pluriel_POP","akteur_beteiligung","Verbiest_Karreveld_Brussels__006__Pouvoir_Organisateur_Pluriel_POP","akteur_candidate","Pouvoir Organisateur Pluriel / POP","akteur","multi_actor_or_unmerged_candidate","Gebäude\Verbiest_Karreveld_Brussels.md"
"akteur_beteiligung/Villa_Welpeloo_Enschede__001__Jan_Jongert_Jeroen_Bergsma_Team_Superuse_2012Arc","akteur_beteiligung","Villa_Welpeloo_Enschede__001__Jan_Jongert_Jeroen_Bergsma_Team_Superuse_2012Arc","akteur_candidate","Jan Jongert, Jeroen Bergsma, Team Superuse/2012Architecten","akteur","multi_actor_or_unmerged_candidate","Gebäude\Villa_Welpeloo_Enschede.md"
"akteur_beteiligung/Woongroep_Boschgaard_Den_Bosch__001__Bewohnerinitiative_Zayaz_Superuse_Studios_Bouwbe","akteur_beteiligung","Woongroep_Boschgaard_Den_Bosch__001__Bewohnerinitiative_Zayaz_Superuse_Studios_Bouwbe","akteur_candidate","Bewohnerinitiative, Zayaz, Superuse Studios, Bouwbedrijf Versteegden, Transfarmers, VanNimwegen","akteur","partially_resolved_multi_actor_label","Gebäude\Woongroep_Boschgaard_Den_Bosch.md"
"akteur_beteiligung/Zinneke_Feder_Masui4ever_Brussels__001__Zinneke_asbl","akteur_beteiligung","Zinneke_Feder_Masui4ever_Brussels__001__Zinneke_asbl","akteur_candidate","Zinneke asbl","akteur","no_existing_actor_match","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"akteur_beteiligung/Zinneke_Feder_Masui4ever_Brussels__003__Ouest_Architecture","akteur_beteiligung","Zinneke_Feder_Masui4ever_Brussels__003__Ouest_Architecture","akteur_candidate","Ouest Architecture","akteur","no_existing_actor_match","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"akteur_beteiligung/Zinneke_Feder_Masui4ever_Brussels__004__Matriciel","akteur_beteiligung","Zinneke_Feder_Masui4ever_Brussels__004__Matriciel","akteur_candidate","Matriciel","akteur","no_existing_actor_match","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"datenpunkt/55_Great_Suffolk_Street_London__009__Fr_here_RIBA_Stage_2_Sch_tzung","datenpunkt","55_Great_Suffolk_Street_London__009__Fr_here_RIBA_Stage_2_Sch_tzung","kennwert_label","Frühere RIBA Stage 2 Schätzung","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\55_Great_Suffolk_Street_London.md"
"datenpunkt/55_Great_Suffolk_Street_London__010__Reduktion_gg_LETI_2020_target","datenpunkt","55_Great_Suffolk_Street_London__010__Reduktion_gg_LETI_2020_target","kennwert_label","Reduktion ggü. LETI 2020 target","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\55_Great_Suffolk_Street_London.md"
"datenpunkt/Association_house_Groeditz__001__Fertigteile_aus_Dresden_Typ_Schule","datenpunkt","Association_house_Groeditz__001__Fertigteile_aus_Dresden_Typ_Schule","kennwert_label","Fertigteile aus Dresden-Typ-Schule","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Association_house_Groeditz.md"
"datenpunkt/Association_house_Groeditz__003__dokumentierte_Fertigteile_gesamt","datenpunkt","Association_house_Groeditz__003__dokumentierte_Fertigteile_gesamt","kennwert_label","dokumentierte Fertigteile gesamt","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Association_house_Groeditz.md"
"datenpunkt/Association_house_Plauen__003__Au_enw_nde","datenpunkt","Association_house_Plauen__003__Au_enw_nde","kennwert_label","Außenwände","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Association_house_Plauen.md"
"datenpunkt/Association_house_Plauen__004__Innenw_nde","datenpunkt","Association_house_Plauen__004__Innenw_nde","kennwert_label","Innenwände","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Association_house_Plauen.md"
"datenpunkt/Association_house_Plauen__005__Kellerw_nde","datenpunkt","Association_house_Plauen__005__Kellerw_nde","kennwert_label","Kellerwände","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Association_house_Plauen.md"
"datenpunkt/AWM_Muenster_Circular_Office__011__alte_Holzst_hle_f_r_Wandverkleidung","datenpunkt","AWM_Muenster_Circular_Office__011__alte_Holzst_hle_f_r_Wandverkleidung","kennwert_label","alte Holzstühle für Wandverkleidung","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\AWM_Muenster_Circular_Office.md"
"datenpunkt/BedZED_London_Hackbridge__002__Anteil_reclaimed_steel_am_tragenden_Stahl","datenpunkt","BedZED_London_Hackbridge__002__Anteil_reclaimed_steel_am_tragenden_Stahl","kennwert_label","Anteil reclaimed steel am tragenden Stahl","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\BedZED_London_Hackbridge.md"
"datenpunkt/BedZED_London_Hackbridge__003__Kosten_reclaimed_steel","datenpunkt","BedZED_London_Hackbridge__003__Kosten_reclaimed_steel","kennwert_label","Kosten reclaimed steel","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\BedZED_London_Hackbridge.md"
"datenpunkt/BedZED_London_Hackbridge__008__Baustoffe_aus_35_mile_Zielradius","datenpunkt","BedZED_London_Hackbridge__008__Baustoffe_aus_35_mile_Zielradius","kennwert_label","Baustoffe aus 35-mile-Zielradius","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\BedZED_London_Hackbridge.md"
"datenpunkt/BedZED_London_Hackbridge__009__Durchschnittliche_Bezugsdistanz","datenpunkt","BedZED_London_Hackbridge__009__Durchschnittliche_Bezugsdistanz","kennwert_label","Durchschnittliche Bezugsdistanz","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\BedZED_London_Hackbridge.md"
"datenpunkt/BioPartner_5_Leiden_Oegstgeest__002__alternative_Stahlangaben","datenpunkt","BioPartner_5_Leiden_Oegstgeest__002__alternative_Stahlangaben","kennwert_label","alternative Stahlangaben","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"datenpunkt/Boulder_Fire_Station_3__003__Gesamtmenge_salvaged_structural_steel_Hospital","datenpunkt","Boulder_Fire_Station_3__003__Gesamtmenge_salvaged_structural_steel_Hospital","kennwert_label","Gesamtmenge salvaged structural steel Hospital","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Boulder_Fire_Station_3.md"
"datenpunkt/Boulder_Fire_Station_3__004__weitere_Projekte_mit_Hospital_Stahl","datenpunkt","Boulder_Fire_Station_3__004__weitere_Projekte_mit_Hospital_Stahl","kennwert_label","weitere Projekte mit Hospital-Stahl","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Boulder_Fire_Station_3.md"
"datenpunkt/Boulder_Fire_Station_3__008__Completion_Date","datenpunkt","Boulder_Fire_Station_3__008__Completion_Date","kennwert_label","Completion Date","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Boulder_Fire_Station_3.md"
"datenpunkt/Boulder_Fire_Station_3__009__Diversion_requirement","datenpunkt","Boulder_Fire_Station_3__009__Diversion_requirement","kennwert_label","Diversion requirement","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Boulder_Fire_Station_3.md"
"datenpunkt/Brent_Cross_Town_Primary_Substation_London__003__Anteil_salvaged_structural_steel","datenpunkt","Brent_Cross_Town_Primary_Substation_London__003__Anteil_salvaged_structural_steel","kennwert_label","Anteil salvaged structural steel","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"datenpunkt/Brent_Cross_Town_Primary_Substation_London__004__weiterer_Anteil_laut_Bourne","datenpunkt","Brent_Cross_Town_Primary_Substation_London__004__weiterer_Anteil_laut_Bourne","kennwert_label","weiterer Anteil laut Bourne","kennwertdefinition","no_confident_kennwertdefinition_match","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
