log_id,action,graph_element_id,claim_id,source_pass,prior_verdict,new_verdict,reason
F09-LOG-00157,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837460,09-beteiligt_an-0411,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00158,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837485,09-beteiligt_an-0391,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00159,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837509,09-beteiligt_an-0704,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00160,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837510,09-beteiligt_an-0717,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00161,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837511,09-beteiligt_an-0705,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00162,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837512,09-beteiligt_an-0715,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00163,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837513,09-beteiligt_an-0716,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00164,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837514,09-beteiligt_an-0708,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00165,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837515,09-beteiligt_an-0713,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00166,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837517,09-beteiligt_an-0701,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00167,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837519,09-beteiligt_an-0703,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00168,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837520,09-beteiligt_an-0707,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00169,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837521,09-beteiligt_an-0702,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00170,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837534,09-beteiligt_an-0414,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00171,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837535,09-beteiligt_an-0410,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00172,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837536,09-beteiligt_an-0412,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00173,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837537,09-beteiligt_an-0415,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00174,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837538,09-beteiligt_an-0417,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00175,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837539,09-beteiligt_an-0418,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00176,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837601,09-beteiligt_an-0393,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00177,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837602,09-beteiligt_an-0394,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00178,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837606,09-beteiligt_an-0395,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00179,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837657,09-beteiligt_an-0718,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00180,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837659,09-beteiligt_an-0706,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00181,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837673,09-beteiligt_an-0712,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00182,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837674,09-beteiligt_an-0711,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00183,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837675,09-beteiligt_an-0714,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00184,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837716,09-beteiligt_an-0396,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00185,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837724,09-beteiligt_an-0398,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00186,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837726,09-beteiligt_an-0397,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00187,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837727,09-beteiligt_an-0399,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00188,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837864,09-beteiligt_an-0709,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00189,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837869,09-beteiligt_an-0710,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00190,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917642277338782321,Q05-EP09-r-0039,P6-02,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00191,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919881982524522854,09-beteiligt_an-0536,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00192,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919881982524522972,09-beteiligt_an-0538,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00193,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919881982524522974,09-beteiligt_an-0537,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00194,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919881982524522975,09-beteiligt_an-0539,F08,PARTIAL,PARTIAL,verdict/fields updated
F09-LOG-00195,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919894077152467569,Q05-EP09-r-0032,P6-02,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00196,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6931153076220860173,Q05-EP09-r-0034,P6-02,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00197,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:88,Q05-EP09-r-0036,P6-02,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00198,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:89,Q05-EP09-r-0035,P6-02,PROVEN,PROVEN,verdict/fields updated
F09-LOG-00199,OVERRIDE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:94,Q05-EP09-r-0041,P6-02,PROVEN,PROVEN,verdict/fields updated
