id,fallstudie,kennwertdefinition,wert,einheit,raw_kontext
Thoravej_29_Copenhagen__Wiederverwendungsquote__95_0,Thoravej_29_Copenhagen,Wiederverwendungsquote,95.0,%,95 % Materialwiederverwendung
Thoravej_29_Copenhagen__CO2_Einsparung__88_0,Thoravej_29_Copenhagen,CO2_Einsparung,88.0,%,bis 88 % CO₂-Reduktion gegenüber Neubau
Thoravej_29_Copenhagen__Datenluecke__90_0,Thoravej_29_Copenhagen,Datenluecke,90.0,%,90 % Abfallreduktion
Timber_Square_London__Wiederverwendungsquote__125_0_t,Timber_Square_London,Wiederverwendungsquote,125.0,t,>500 beams; ca. 115–125 t reused steel
TRAE_High_Rise_Aarhus__Datenluecke__50_0,TRAE_High_Rise_Aarhus,Datenluecke,50.0,%,30–50% embodied-carbon reduction
TRAE_High_Rise_Aarhus__CO2_Einsparung__130096_0_kg,TRAE_High_Rise_Aarhus,CO2_Einsparung,130096.0,kg,130.096 kg CO₂e footprint / 170.534 kg waste saved
TRAE_High_Rise_Aarhus__CO2_Einsparung__170534_0_kg,TRAE_High_Rise_Aarhus,CO2_Einsparung,170534.0,kg,130.096 kg CO₂e footprint / 170.534 kg waste saved
Upcycle_Studios_Copenhagen__CO2_Einsparung__32_0,Upcycle_Studios_Copenhagen,CO2_Einsparung,32.0,%,32 % CO₂-Reduktion bei Materialien
Upcycle_Studios_Copenhagen__CO2_Einsparung__45_0,Upcycle_Studios_Copenhagen,CO2_Einsparung,45.0,%,45 % CO₂-Einsparung über 50 Jahre inkl. Betrieb
Upcycle_Studios_Copenhagen__Datenluecke__50_0_jahre,Upcycle_Studios_Copenhagen,Datenluecke,50.0,jahre,45 % CO₂-Einsparung über 50 Jahre inkl. Betrieb
Upcycle_Studios_Copenhagen__Datenluecke__914000_0_kg,Upcycle_Studios_Copenhagen,Datenluecke,914000.0,kg,914.000 kg waste saved
Verbiest_Karreveld_Brussels__Datenluecke__610_0_m2,Verbiest_Karreveld_Brussels,Datenluecke,610.0,m2,Verbiest 610 m²
Verbiest_Karreveld_Brussels__Materialwert__6000000_0_eur,Verbiest_Karreveld_Brussels,Materialwert,6000000.0,eur,Karreveld 6.000.000 EUR exkl. MwSt.
Villa_Welpeloo_Enschede__Datenluecke__60_0,Villa_Welpeloo_Enschede,Datenluecke,60.0,%,ca. 60 % salvaged materials
Villa_Welpeloo_Enschede__CO2_Einsparung__90_0,Villa_Welpeloo_Enschede,CO2_Einsparung,90.0,%,90 % CO₂-Reduktion für Konstruktion und Fassade
Woongroep_Boschgaard_Den_Bosch__Datenluecke__84_0,Woongroep_Boschgaard_Den_Bosch,Datenluecke,84.0,%,84 % sekundäre Materialien
Woongroep_Boschgaard_Den_Bosch__Wiederverwendungsquote__85_0,Woongroep_Boschgaard_Den_Bosch,Wiederverwendungsquote,85.0,%,85 % bzw. Ziel 90 % wiederverwendete/geerntete Materialien
Woongroep_Boschgaard_Den_Bosch__Wiederverwendungsquote__90_0,Woongroep_Boschgaard_Den_Bosch,Wiederverwendungsquote,90.0,%,85 % bzw. Ziel 90 % wiederverwendete/geerntete Materialien
Woongroep_Boschgaard_Den_Bosch__CO2_Einsparung__70_0,Woongroep_Boschgaard_Den_Bosch,CO2_Einsparung,70.0,%,70 % CO₂-Einsparung gegenüber aktuellem Baustandard
Zinneke_Feder_Masui4ever_Brussels__Datenluecke__12_0,Zinneke_Feder_Masui4ever_Brussels,Datenluecke,12.0,%,12 % neue Materialien second-hand nach Masse
Zinneke_Feder_Masui4ever_Brussels__Datenluecke__94_0,Zinneke_Feder_Masui4ever_Brussels,Datenluecke,94.0,%,94 % Gebäudemasse erhalten
