"legacy_path","fallstudie_id","projekt_id","bauobjekt_id","action","target_primary","target_secondary"
"Gebäude\Roots_in_the_Sky_Blackfriars_Crown_Court.md","Roots_in_the_Sky_Blackfriars_Crown_Court","Roots_in_the_Sky_Blackfriars_Crown_Court","Roots_in_the_Sky_Blackfriars_Crown_Court","split_into_case_graph","fallstudie/Roots_in_the_Sky_Blackfriars_Crown_Court","projekt/Roots_in_the_Sky_Blackfriars_Crown_Court; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md","Saxum_Vineyard_Equipment_Barn_Paso_Robles","Saxum_Vineyard_Equipment_Barn_Paso_Robles","Saxum_Vineyard_Equipment_Barn_Paso_Robles","split_into_case_graph","fallstudie/Saxum_Vineyard_Equipment_Barn_Paso_Robles","projekt/Saxum_Vineyard_Equipment_Barn_Paso_Robles; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Superlocal_Expogebouw_Bleijerheide.md","Superlocal_Expogebouw_Bleijerheide","Superlocal_Expogebouw_Bleijerheide","Superlocal_Expogebouw_Bleijerheide","split_into_case_graph","fallstudie/Superlocal_Expogebouw_Bleijerheide","projekt/Superlocal_Expogebouw_Bleijerheide; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Svanen_Kindergarten_Gladsaxe.md","Svanen_Kindergarten_Gladsaxe","Svanen_Kindergarten_Gladsaxe","Svanen_Kindergarten_Gladsaxe","split_into_case_graph","fallstudie/Svanen_Kindergarten_Gladsaxe","projekt/Svanen_Kindergarten_Gladsaxe; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\The_Green_House_Utrecht.md","The_Green_House_Utrecht","The_Green_House_Utrecht","The_Green_House_Utrecht","split_into_case_graph","fallstudie/The_Green_House_Utrecht","projekt/The_Green_House_Utrecht; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Thoravej_29_Copenhagen.md","Thoravej_29_Copenhagen","Thoravej_29_Copenhagen","Thoravej_29_Copenhagen","split_into_case_graph","fallstudie/Thoravej_29_Copenhagen","projekt/Thoravej_29_Copenhagen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Timber_Square_London.md","Timber_Square_London","Timber_Square_London","Timber_Square_London","split_into_case_graph","fallstudie/Timber_Square_London","projekt/Timber_Square_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\TRAE_High_Rise_Aarhus.md","TRAE_High_Rise_Aarhus","TRAE_High_Rise_Aarhus","TRAE_High_Rise_Aarhus","split_into_case_graph","fallstudie/TRAE_High_Rise_Aarhus","projekt/TRAE_High_Rise_Aarhus; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Upcycle_Studios_Copenhagen.md","Upcycle_Studios_Copenhagen","Upcycle_Studios_Copenhagen","Upcycle_Studios_Copenhagen","split_into_case_graph","fallstudie/Upcycle_Studios_Copenhagen","projekt/Upcycle_Studios_Copenhagen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Verbiest_Karreveld_Brussels.md","Verbiest_Karreveld_Brussels","Verbiest_Karreveld_Brussels","Verbiest_Karreveld_Brussels","split_into_case_graph","fallstudie/Verbiest_Karreveld_Brussels","projekt/Verbiest_Karreveld_Brussels; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Villa_Welpeloo_Enschede.md","Villa_Welpeloo_Enschede","Villa_Welpeloo_Enschede","Villa_Welpeloo_Enschede","split_into_case_graph","fallstudie/Villa_Welpeloo_Enschede","projekt/Villa_Welpeloo_Enschede; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Woongroep_Boschgaard_Den_Bosch.md","Woongroep_Boschgaard_Den_Bosch","Woongroep_Boschgaard_Den_Bosch","Woongroep_Boschgaard_Den_Bosch","split_into_case_graph","fallstudie/Woongroep_Boschgaard_Den_Bosch","projekt/Woongroep_Boschgaard_Den_Bosch; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","Zinneke_Feder_Masui4ever_Brussels","Zinneke_Feder_Masui4ever_Brussels","Zinneke_Feder_Masui4ever_Brussels","split_into_case_graph","fallstudie/Zinneke_Feder_Masui4ever_Brussels","projekt/Zinneke_Feder_Masui4ever_Brussels; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
