"source","relation","target","review_reason","suggested_source","suggested_relation","suggested_target","field","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","has_bauteiltyp","bauteiltyp/Kern","target_manual_review","reuse_einsatz/55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","has_bauteiltyp","","bauteil_label","Fassadenbekleidung externer Kern","rule_medium","bauteil_core","Gebäude\55_Great_Suffolk_Street_London.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_bauteiltyp","bauteiltyp/Kern","target_manual_review","reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_bauteiltyp","","bauteil_label","Hohlkörperdecken / hollow-core slabs","rule_medium","bauteil_core","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Montessori_Maassluis__001__Hohlk_rperdecken_hollow_core_slabs","has_bauteiltyp","bauteiltyp/Kern","target_manual_review","reuse_einsatz/Montessori_Maassluis__001__Hohlk_rperdecken_hollow_core_slabs","has_bauteiltyp","","bauteil_label","Hohlkörperdecken / hollow core slabs","rule_medium","bauteil_core","Gebäude\Montessori_Maassluis.md"
"reuse_einsatz/BedZED_London_Hackbridge__009__Feste_Einbauten_K_chenteile","has_bauteiltyp","bauteiltyp/Kueche","target_manual_review","reuse_einsatz/BedZED_London_Hackbridge__009__Feste_Einbauten_K_chenteile","has_bauteiltyp","","bauteil_label","Feste Einbauten/Küchenteile","rule_high","bauteil_kueche","Gebäude\BedZED_London_Hackbridge.md"
"reuse_einsatz/Brighton_Waste_House_Brighton__010__Kaffeesatz_Arbeitsplatte","has_bauteiltyp","bauteiltyp/Kueche","target_manual_review","reuse_einsatz/Brighton_Waste_House_Brighton__010__Kaffeesatz_Arbeitsplatte","has_bauteiltyp","","bauteil_label","Kaffeesatz-Arbeitsplatte","rule_high","bauteil_kueche","Gebäude\Brighton_Waste_House_Brighton.md"
"reuse_einsatz/Charles_Malis_Molenbeek__005__Schalter_Counter","has_bauteiltyp","bauteiltyp/Kueche","target_manual_review","reuse_einsatz/Charles_Malis_Molenbeek__005__Schalter_Counter","has_bauteiltyp","","bauteil_label","Schalter/Counter","rule_high","bauteil_kueche","Gebäude\Charles_Malis_Molenbeek.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__010__gebrauchte_K_che","has_bauteiltyp","bauteiltyp/Kueche","target_manual_review","reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__010__gebrauchte_K_che","has_bauteiltyp","","bauteil_label","gebrauchte Küche","rule_high","bauteil_kueche","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/PLP_London_HQ_Circular_Studio_Fitout__001__Terrazzo_Arbeitsfl_chen_K_chenfl_chen","has_bauteiltyp","bauteiltyp/Kueche","target_manual_review","reuse_einsatz/PLP_London_HQ_Circular_Studio_Fitout__001__Terrazzo_Arbeitsfl_chen_K_chenfl_chen","has_bauteiltyp","","bauteil_label","Terrazzo-Arbeitsflächen / Küchenflächen","rule_high","bauteil_kueche","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__009__K_che_K_chenunit","has_bauteiltyp","bauteiltyp/Kueche","target_manual_review","reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__009__K_che_K_chenunit","has_bauteiltyp","","bauteil_label","Küche / Küchenunit","rule_high","bauteil_kueche","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/The_Green_House_Utrecht__010__TGA_K_che_Solar","has_bauteiltyp","bauteiltyp/Kueche","target_manual_review","reuse_einsatz/The_Green_House_Utrecht__010__TGA_K_che_Solar","has_bauteiltyp","","bauteil_label","TGA / Küche / Solar","rule_high","bauteil_kueche","Gebäude\The_Green_House_Utrecht.md"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__006__K_chenbl_cke","has_bauteiltyp","bauteiltyp/Kueche","target_manual_review","reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__006__K_chenbl_cke","has_bauteiltyp","","bauteil_label","Küchenblöcke","rule_high","bauteil_kueche","Gebäude\Woongroep_Boschgaard_Den_Bosch.md"
"reuse_einsatz/Big_Dig_Building_Boston__004__Landscape_elevated_landscape_elements","has_bauteiltyp","bauteiltyp/Landschaftselement","target_manual_review","reuse_einsatz/Big_Dig_Building_Boston__004__Landscape_elevated_landscape_elements","has_bauteiltyp","","bauteil_label","Landscape / elevated landscape elements","rule_medium","bauteil_landschaftselement","Gebäude\Big_Dig_Building_Boston.md"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__008__vertikaler_Pflanzenfilter_B_ume","has_bauteiltyp","bauteiltyp/Landschaftselement","target_manual_review","reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__008__vertikaler_Pflanzenfilter_B_ume","has_bauteiltyp","","bauteil_label","vertikaler Pflanzenfilter / Bäume","rule_medium","bauteil_landschaftselement","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__011__Pflanztr_ge","has_bauteiltyp","bauteiltyp/Landschaftselement","target_manual_review","reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__011__Pflanztr_ge","has_bauteiltyp","","bauteil_label","Pflanztröge","rule_medium","bauteil_landschaftselement","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Musee_de_Folklore_Mouscron__004__Park_Au_enraum","has_bauteiltyp","bauteiltyp/Landschaftselement","target_manual_review","reuse_einsatz/Musee_de_Folklore_Mouscron__004__Park_Au_enraum","has_bauteiltyp","","bauteil_label","Park / Außenraum","rule_medium","bauteil_landschaftselement","Gebäude\Musee_de_Folklore_Mouscron.md"
"reuse_einsatz/Recypark_Demets_Anderlecht__005__Skatepark_Fl_chen","has_bauteiltyp","bauteiltyp/Landschaftselement","target_manual_review","reuse_einsatz/Recypark_Demets_Anderlecht__005__Skatepark_Fl_chen","has_bauteiltyp","","bauteil_label","Skatepark-Flächen","rule_medium","bauteil_landschaftselement","Gebäude\Recypark_Demets_Anderlecht.md"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__010__Fahrradst_nder","has_bauteiltyp","bauteiltyp/Landschaftselement","target_manual_review","reuse_einsatz/Svanen_Kindergarten_Gladsaxe__010__Fahrradst_nder","has_bauteiltyp","","bauteil_label","Fahrradständer","rule_medium","bauteil_landschaftselement","Gebäude\Svanen_Kindergarten_Gladsaxe.md"
"reuse_einsatz/TRAE_High_Rise_Aarhus__006__Boden_Decken_aus_Gellerupparken","has_bauteiltyp","bauteiltyp/Landschaftselement","target_manual_review","reuse_einsatz/TRAE_High_Rise_Aarhus__006__Boden_Decken_aus_Gellerupparken","has_bauteiltyp","","bauteil_label","Boden/Decken aus Gellerupparken","rule_medium","bauteil_landschaftselement","Gebäude\TRAE_High_Rise_Aarhus.md"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__006__Eichenparkett","has_bauteiltyp","bauteiltyp/Landschaftselement","target_manual_review","reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__006__Eichenparkett","has_bauteiltyp","","bauteil_label","Eichenparkett","rule_medium","bauteil_landschaftselement","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__005__Dachgarten_Tragunterbau","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__005__Dachgarten_Tragunterbau","has_bauteiltyp","","bauteil_label","Dachgarten-Tragunterbau","rule_medium","bauteil_tragstruktur","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Boulder_Fire_Station_3__004__Concrete_slab_on_metal_deck_composite_framing","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Boulder_Fire_Station_3__004__Concrete_slab_on_metal_deck_composite_framing","has_bauteiltyp","","bauteil_label","Concrete slab on metal deck / composite framing","rule_medium","bauteil_tragstruktur","Gebäude\Boulder_Fire_Station_3.md"
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","has_bauteiltyp","","bauteil_label","Aussteifung / bracing members","rule_medium","bauteil_tragstruktur","Gebäude\Brent_Cross_Town_Primary_Substation_London.md"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","has_bauteiltyp","","bauteil_label","Tragwerksrahmen / Balken / Stützen","rule_medium","bauteil_tragstruktur","Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","has_bauteiltyp","","bauteil_label","Holzrahmen / Dachtragwerk","rule_medium","bauteil_tragstruktur","Gebäude\Chiro_d_Itterbeek_Dilbeek.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_bauteiltyp","","bauteil_label","Dachtragwerk Christusraum","rule_medium","bauteil_tragstruktur","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Circular_Pavilion_Paris__003__Holzstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Circular_Pavilion_Paris__003__Holzstruktur","has_bauteiltyp","","bauteil_label","Holzstruktur","rule_medium","bauteil_tragstruktur","Gebäude\Circular_Pavilion_Paris.md"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__008__Betonhallen_Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__008__Betonhallen_Tragstruktur","has_bauteiltyp","","bauteil_label","Betonhallen / Tragstruktur","rule_medium","bauteil_tragstruktur","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"reuse_einsatz/gjG_House_Gentbrugge__003__Infill_Struktur","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/gjG_House_Gentbrugge__003__Infill_Struktur","has_bauteiltyp","","bauteil_label","Infill-Struktur","rule_medium","bauteil_tragstruktur","Gebäude\gjG_House_Gentbrugge.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__003__Stahlbauteile_Laubeng_nge","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__003__Stahlbauteile_Laubeng_nge","has_bauteiltyp","","bauteil_label","Stahlbauteile Laubengänge","rule_medium","bauteil_tragstruktur","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/Hastings_Pier_Visitor_Centre__004__neues_Tragwerk_Besucherzentrum","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Hastings_Pier_Visitor_Centre__004__neues_Tragwerk_Besucherzentrum","has_bauteiltyp","","bauteil_label","neues Tragwerk Besucherzentrum","rule_medium","bauteil_tragstruktur","Gebäude\Hastings_Pier_Visitor_Centre.md"
"reuse_einsatz/Institut_de_Botanique_ULg_Liege__002__Haupttragwerk_Bestand","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Institut_de_Botanique_ULg_Liege__002__Haupttragwerk_Bestand","has_bauteiltyp","","bauteil_label","Haupttragwerk Bestand","rule_medium","bauteil_tragstruktur","Gebäude\Institut_de_Botanique_ULg_Liege.md"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__001__Stahlstruktur_der_Traghalle_Hagenholz","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__001__Stahlstruktur_der_Traghalle_Hagenholz","has_bauteiltyp","","bauteil_label","Stahlstruktur der Traghalle Hagenholz","rule_medium","bauteil_tragstruktur","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__003__Bestehendes_Tragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__003__Bestehendes_Tragwerk","has_bauteiltyp","","bauteil_label","Bestehendes Tragwerk","rule_medium","bauteil_tragstruktur","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__009__Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__009__Tragstruktur","has_bauteiltyp","","bauteil_label","Tragstruktur","rule_medium","bauteil_tragstruktur","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__004__Stahlkonstruktion_Beschattung","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__004__Stahlkonstruktion_Beschattung","has_bauteiltyp","","bauteil_label","Stahlkonstruktion Beschattung","rule_medium","bauteil_tragstruktur","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__002__Holzstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Lo_Reninge_Town_Hall_Facade__002__Holzstruktur","has_bauteiltyp","","bauteil_label","Holzstruktur","rule_medium","bauteil_tragstruktur","Gebäude\Lo_Reninge_Town_Hall_Facade.md"
"reuse_einsatz/Maison_des_Canaux_Paris__007__Tragwerk_Bestand","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Maison_des_Canaux_Paris__007__Tragwerk_Bestand","has_bauteiltyp","","bauteil_label","Tragwerk Bestand","rule_medium","bauteil_tragstruktur","Gebäude\Maison_des_Canaux_Paris.md"
"reuse_einsatz/Maison_Vignette_Auderghem__007__Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Maison_Vignette_Auderghem__007__Tragstruktur","has_bauteiltyp","","bauteil_label","Tragstruktur","rule_medium","bauteil_tragstruktur","Gebäude\Maison_Vignette_Auderghem.md"
"reuse_einsatz/Plattenvereinigung_Berlin__005__Prim_rtragwerk_Aussteifung","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Plattenvereinigung_Berlin__005__Prim_rtragwerk_Aussteifung","has_bauteiltyp","","bauteil_label","Primärtragwerk / Aussteifung","rule_medium","bauteil_tragstruktur","Gebäude\Plattenvereinigung_Berlin.md"
"reuse_einsatz/Resource_Rows_Copenhagen__004__Tragwerk_Neubau","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Resource_Rows_Copenhagen__004__Tragwerk_Neubau","has_bauteiltyp","","bauteil_label","Tragwerk Neubau","rule_medium","bauteil_tragstruktur","Gebäude\Resource_Rows_Copenhagen.md"
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Dachtragwerk_Rohrtr_ger","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Dachtragwerk_Rohrtr_ger","has_bauteiltyp","","bauteil_label","Dachtragwerk / Rohrträger","rule_medium","bauteil_tragstruktur","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md"
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Aussteifung","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Aussteifung","has_bauteiltyp","","bauteil_label","Aussteifung","rule_medium","bauteil_tragstruktur","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md"
"reuse_einsatz/The_Green_House_Utrecht__007__Stahltragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/The_Green_House_Utrecht__007__Stahltragwerk","has_bauteiltyp","","bauteil_label","Stahltragwerk","rule_medium","bauteil_tragstruktur","Gebäude\The_Green_House_Utrecht.md"
"reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","","bauteil_label","Retained Print Building structure","rule_medium","bauteil_tragstruktur","Gebäude\Timber_Square_London.md"
"reuse_einsatz/Timber_Square_London__005__Neue_recycled_content_Stahlbauteile","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Timber_Square_London__005__Neue_recycled_content_Stahlbauteile","has_bauteiltyp","","bauteil_label","Neue/recycled-content Stahlbauteile","rule_medium","bauteil_tragstruktur","Gebäude\Timber_Square_London.md"
"reuse_einsatz/TRAE_High_Rise_Aarhus__001__Prim_rstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/TRAE_High_Rise_Aarhus__001__Prim_rstruktur","has_bauteiltyp","","bauteil_label","Primärstruktur","rule_medium","bauteil_tragstruktur","Gebäude\TRAE_High_Rise_Aarhus.md"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__010__Bestandstragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","target_manual_review","reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__010__Bestandstragwerk","has_bauteiltyp","","bauteil_label","Bestandstragwerk","rule_medium","bauteil_tragstruktur","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_huerde","","huerde_label","Passung, Transport, Glaszustand","rule_medium","huerde_logistik","Gebäude\AWM_Muenster_Circular_Office.md"
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","has_huerde","","huerde_label","Programm-/Lieferkettenprobleme bei reclaimed doors","rule_medium","huerde_logistik","Gebäude\BedZED_London_Hackbridge.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__001__Stahltr_ger","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__001__Stahltr_ger","has_huerde","","huerde_label","Transport, Gewicht, Einpassung","rule_medium","huerde_logistik","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_huerde","","huerde_label","heavy lifting / transport","rule_medium","huerde_logistik","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","has_huerde","","huerde_label","Transportgewicht","rule_medium","huerde_logistik","Gebäude\Broethen_Twin_House_Hoyerswerda.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_huerde","","huerde_label","Transport/Montage","rule_medium","huerde_logistik","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_huerde","","huerde_label","Fügung/Transport","rule_medium","huerde_logistik","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","has_huerde","","huerde_label","Bruch/Transport","rule_medium","huerde_logistik","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","has_huerde","","huerde_label","Logistik / Gewicht","rule_medium","huerde_logistik","Gebäude\Ferme_du_Rail_Paris.md"
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__004__Gesamtbauteile","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__004__Gesamtbauteile","has_huerde","","huerde_label","Logistik","rule_medium","huerde_logistik","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__002__Betonplatten_aus_Kerenzerbergtunnel","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__002__Betonplatten_aus_Kerenzerbergtunnel","has_huerde","","huerde_label","Gewicht, Transport, Plattenzustand","rule_medium","huerde_logistik","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_huerde","","huerde_label","Demontage, Tests, Transport, Kosten","rule_medium","huerde_logistik","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__011__Pflanztr_ge","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__011__Pflanztr_ge","has_huerde","","huerde_label","Transport/Gewicht","rule_medium","huerde_logistik","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Lokomotion_Technology_Centre_mini_pilot_Tampere__001__Hohlk_rperdecken","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Lokomotion_Technology_Centre_mini_pilot_Tampere__001__Hohlk_rperdecken","has_huerde","","huerde_label","Integration in Montagefolge/Logistik","rule_medium","huerde_logistik","Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md"
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__006__Stra_enpflasterplatten","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__006__Stra_enpflasterplatten","has_huerde","","huerde_label","Logistik","rule_medium","huerde_logistik","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md"
"reuse_einsatz/Mehrow_Pilot_House__002__Deckenplatten","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Mehrow_Pilot_House__002__Deckenplatten","has_huerde","","huerde_label","Transportgewicht, Montage","rule_medium","huerde_logistik","Gebäude\Mehrow_Pilot_House.md"
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__003__Granitboden","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__003__Granitboden","has_huerde","","huerde_label","Logistik","rule_medium","huerde_logistik","Gebäude\Multi_Brussels_Reuse_in_MULTI.md"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__012__Granitpflaster","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__012__Granitpflaster","has_huerde","","huerde_label","Logistik Gewicht","rule_medium","huerde_logistik","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_huerde","","huerde_label","Risse beim Kran-/Trailertransport, Maßhaltigkeit","rule_medium","huerde_logistik","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__010__Pflaster_Bodenplatten_au_en","has_huerde","huerde/Logistikproblem","target_manual_review","reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__010__Pflaster_Bodenplatten_au_en","has_huerde","","huerde_label","Logistik/Lagerung","rule_medium","huerde_logistik","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__006__T_ren","has_huerde","huerde/Performance_Nachweis","target_manual_review","reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__006__T_ren","has_huerde","","huerde_label","Leistungsnachweis","rule_medium","huerde_performance_nachweis","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","has_huerde","huerde/Performance_Nachweis","target_manual_review","reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","has_huerde","","huerde_label","Akzeptanz Installateur, Gewährleistung","rule_medium","huerde_performance_nachweis","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","has_huerde","huerde/Performance_Nachweis","target_manual_review","reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","has_huerde","","huerde_label","Eignung als Baufolie","rule_medium","huerde_performance_nachweis","Gebäude\Brighton_Waste_House_Brighton.md"
"reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","has_huerde","huerde/Performance_Nachweis","target_manual_review","reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","has_huerde","","huerde_label","experimentelle Eignung","rule_medium","huerde_performance_nachweis","Gebäude\Brighton_Waste_House_Brighton.md"
