"legacy_path","legacy_type","title","action","target_primary","target_secondary","content_strategy","risk_flags"
"bauteilboerse\materialrest24.md","Bauteilbörse","Materialrest24","split_platform_profile","software_digitaltool/materialrest24","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\material-reuse-portal.md","Bauteilbörse","Material Reuse Portal","split_platform_profile","software_digitaltool/material_reuse_portal","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\oogstkaart-new-horizon.md","Bauteilbörse","Oogstkaart / New Horizon","split_platform_profile","software_digitaltool/oogstkaart_new_horizon","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\raedificare.md","Bauteilbörse","RAEDIFICARE","split_platform_profile","software_digitaltool/raedificare","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\reempro.md","Bauteilbörse","Réempro","split_platform_profile","software_digitaltool/reempro","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\resource-marktplaats.md","Bauteilbörse","ReSource Marktplaats","split_platform_profile","software_digitaltool/resource_marktplaats","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\restado.md","Bauteilbörse","Restado","split_platform_profile","software_digitaltool/restado","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\re-store-harvestmap-vienna.md","Bauteilbörse","re:store / HarvestMAP Vienna","split_platform_profile","software_digitaltool/re_store_harvestmap_vienna","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\reuse-and-trade.md","Bauteilbörse","ReUse and Trade","split_platform_profile","software_digitaltool/reuse_and_trade","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\rotordc.md","Bauteilbörse","RotorDC","split_platform_profile","software_digitaltool/rotordc","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\r-place.md","Bauteilbörse","R-Place","split_platform_profile","software_digitaltool/r_place","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\salvoweb.md","Bauteilbörse","SalvoWEB","split_platform_profile","software_digitaltool/salvoweb","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\salza.md","Bauteilbörse","Salza","split_platform_profile","software_digitaltool/salza","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\skop-marketplace.md","Bauteilbörse","Skop Marketplace","split_platform_profile","software_digitaltool/skop_marketplace","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\surplus-building-and-plumbing-materials.md","Bauteilbörse","Surplus Building & Plumbing Materials","split_platform_profile","software_digitaltool/surplus_building_and_plumbing_materials","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\sustainability-yard.md","Bauteilbörse","Sustainability Yard","split_platform_profile","software_digitaltool/sustainability_yard","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\useagain-bauteilclick.md","Bauteilbörse","useagain / Bauteilclick","split_platform_profile","software_digitaltool/useagain_bauteilclick","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilboerse\warp-it.md","Bauteilbörse","Warp It","split_platform_profile","software_digitaltool/warp_it","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching","Platform/marketplace profile. Canonicalize with matching akteur/werkzeug duplicates.","duplicate_with_akteur_or_werkzeug"
"bauteilbörse.md","Type","Bauteilbörse","merge_into_index","software_digitaltool/index","tooltyp/Digitale_Bauteilboerse; beschaffungsweg/Digitale_Plattform","Root type stub; merge into target index/type vocabulary, not a content node.","old_type_stub_only"
"beispiel.md","","","archive_as_source","meta_or_90_import_rohdaten/beispiel","","Loose prompt/example note; preserve, do not create content graph node.",""
"bericht.md","Type","Bericht","merge_into_index","quelle/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"bericht\01_BIM_Berlin_detailed.md","Bericht","BIM Berlin — vertieftes Forschungsdossier","archive_or_source","quelle/01_BIM_Berlin_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\02_Concular_detailed.md","Bericht","Concular — vertieftes Forschungsdossier","archive_or_source","quelle/02_Concular_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\03_Madaster_detailed.md","Bericht","Madaster — vertieftes Forschungsdossier","archive_or_source","quelle/03_Madaster_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\04_Be_Ware_NBL_detailed.md","Bericht","B(e) Ware / Natural Building Lab — vertieftes Forschungsdossier","archive_or_source","quelle/04_Be_Ware_NBL_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\05_BIZH_Reallabor_detailed.md","Bericht","BIZH / Reallabor Zirkuläres Bauen — vertieftes Forschungsdossier","archive_or_source","quelle/05_BIZH_Reallabor_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\06_Haus_der_Materialisierung_detailed.md","Bericht","Haus der Materialisierung — vertieftes Forschungsdossier","archive_or_source","quelle/06_Haus_der_Materialisierung_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\07_Kunst_Stoffe_Berlin_detailed.md","Bericht","Kunst-Stoffe Berlin — vertieftes Forschungsdossier","archive_or_source","quelle/07_Kunst_Stoffe_Berlin_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\08_ZRS_Engineering_detailed.md","Bericht","ZRS Engineering / ZRS Ingenieure — vertieftes Forschungsdossier","archive_or_source","quelle/08_ZRS_Engineering_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\09_CRCLR_House_detailed.md","Bericht","CRCLR House — vertieftes Forschungsdossier","archive_or_source","quelle/09_CRCLR_House_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\10_PARABASE_detailed.md","Bericht","PARABASE — vertieftes Forschungsdossier","archive_or_source","quelle/10_PARABASE_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\11_Rotor_Rotor_DC_detailed.md","Bericht","Rotor / Rotor DC — vertieftes Forschungsdossier","archive_or_source","quelle/11_Rotor_Rotor_DC_detailed","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\2021-Schweiz.md","Bericht","","archive_or_source","quelle/2021_Schweiz","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\index.md","Bericht","Index","merge_into_index","quelle/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"bericht\Research_Prompts_Entities_Obsidian.md","Bericht","Research Prompts Entities Obsidian","archive_or_source","quelle/Research_Prompts_Entities_Obsidian","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"bericht\Ueberblick_Entwerfen_mit_Bestand_Kurzfassung.md","Bericht","Ueberblick Entwerfen mit Bestand Kurzfassung","archive_or_source","quelle/Ueberblick_Entwerfen_mit_Bestand_Kurzfassung","","Treat as internal/external source document; extract content into actors/cases/tools as needed.","may_duplicate_existing_actor_or_case_profile"
"datenmodell.md","Type","Datenmodell","merge_into_index","datenmodell/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"datenmodell\Bauteil_ID.md","Datenmodell","Bauteil_ID","move_as_knot","datenmodell/Bauteil_ID","","Data model/classification knot; link software and document types.",""
"datenmodell\IFC.md","Datenmodell","IFC","move_as_knot","datenmodell/IFC","","Data model/classification knot; link software and document types.",""
"datenmodell\index.md","Datenmodell","","merge_into_index","datenmodell/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"datenmodell\Klassifikation.md","Datenmodell","Klassifikation","move_as_knot","datenmodell/Klassifikation","","Data model/classification knot; link software and document types.",""
"datenmodell\Materialpass_Schema.md","Datenmodell","Materialpass_Schema","move_as_knot","datenmodell/Materialpass_Schema","","Data model/classification knot; link software and document types.",""
"datenmodell\Ontologie.md","Datenmodell","Ontologie","move_as_knot","datenmodell/Ontologie","","Data model/classification knot; link software and document types.",""
"datenmodell\Taxonomie.md","Datenmodell","Taxonomie","move_as_knot","datenmodell/Taxonomie","","Data model/classification knot; link software and document types.",""
"dirk-hebel.md","Person","Dirk Hebel","move_as_core","akteur/Dirk_Hebel","akteurtyp/Person","Loose person profile becomes Akteur.",""
"dokument.md","Type","Dokument","merge_into_index","dokumenttyp/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"dokument\Auditbericht.md","Dokument","","move_as_knot","dokumenttyp/Auditbericht","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Ausschreibungstext.md","Dokument","","move_as_knot","dokumenttyp/Ausschreibungstext","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Bauteilkatalog.md","Dokument","","move_as_knot","dokumenttyp/Bauteilkatalog","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Bauwerksdiagnose.md","Dokument","","move_as_knot","dokumenttyp/Bauwerksdiagnose","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Bestandsaufnahme.md","Dokument","","move_as_knot","dokumenttyp/Bestandsaufnahme","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\index.md","Dokument","Dokumente – Index","merge_into_index","dokumenttyp/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"dokument\LCA.md","Dokument","","move_as_knot","dokumenttyp/LCA","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Materialdatenbank.md","Dokument","","move_as_knot","datenmodell/Materialdatenbank","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Materialinventar.md","Dokument","","move_as_knot","dokumenttyp/Materialinventar","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Materialpass.md","Dokument","","move_as_knot","dokumenttyp/Materialpass","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Materialsheet.md","Dokument","","move_as_knot","dokumenttyp/Materialsheet","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Opalis_Datenbank.md","Dokument","","move_as_knot","software_digitaltool/Opalis","datenmodell/Materialdatenbank","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Pre_Demolition_Audit.md","Dokument","","move_as_knot","dokumenttyp/Pre_Demolition_Audit","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Publikation.md","Dokument","","move_as_knot","dokumenttyp/Publikation","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\ReUse_Toolkit.md","Dokument","","move_as_knot","dokumenttyp/ReUse_Toolkit","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Reversibilitaetskonzept.md","Dokument","","move_as_knot","dokumenttyp/Reversibilitaetskonzept","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Rueckbaukataster.md","Dokument","","move_as_knot","dokumenttyp/Rueckbaukataster","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"dokument\Specification_Method.md","Dokument","","move_as_knot","dokumenttyp/Specification_Method","","Generic document type; concrete cited PDF/webpage becomes Quelle.",""
"fallstudie.md","Type","Fallstudie","merge_into_index","fallstudie/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"fallstudie\Be_Ware.md","Fallstudie","B(e) Ware – Gebäudetragwerke aus Sekundärmaterialien Made in Berlin","keep_or_split_case","fallstudie/Be_Ware","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\BIZH_Reallabor.md","Fallstudie","BIZH – Reallabor Zirkuläres Bauen / Drahtglasscheiben Halle 2","keep_or_split_case","fallstudie/BIZH_Reallabor","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\CRCLR_House.md","Fallstudie","","keep_or_split_case","fallstudie/CRCLR_House","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\ELEMENTA.md","Fallstudie","ELEMENTA – ReUse-Wohnungsbau Walkeweg Basel","keep_or_split_case","fallstudie/ELEMENTA","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\Halle_2.md","Fallstudie","","keep_or_split_case","fallstudie/Halle_2","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\Haus_der_Materialisierung.md","Fallstudie","","keep_or_split_case","fallstudie/Haus_der_Materialisierung","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\index.md","Fallstudie","Index","merge_into_index","fallstudie/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"fallstudie\Kunst_Stoffe_Berlin.md","Fallstudie","","keep_or_split_case","fallstudie/Kunst_Stoffe_Berlin","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\Opalis.md","Fallstudie","","keep_or_split_case","software_digitaltool/Opalis","fallstudie/Opalis_Plattformfall","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\Permanently_Temporary_Pavilion.md","Fallstudie","Permanently Temporary Pavilion","keep_or_split_case","fallstudie/Permanently_Temporary_Pavilion","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\PREUSE.md","Fallstudie","PREUSE – Public Responses to Enable the Use of Salvaged Building Elements","keep_or_split_case","foerderprogramm/PREUSE","projekt/PREUSE","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"fallstudie\Rotor_DC_Brussels_Model.md","Fallstudie","Rotor DC Brussels Model","keep_or_split_case","fallstudie/Rotor_DC_Brussels_Model","","Case node; extract project, bauobjekt, reuse_einsatz, datenpunkt, quelle when present.",""
"foerderprogramm\BBSM.md","Förderprogramm","BBSM – Le Bâti Bruxellois, Source de nouveaux Matériaux","move_as_core_or_context","foerderprogramm/BBSM","","Funding/research program node; connect to projects/actors/cases.",""
"foerderprogramm\FCRBE.md","Förderprogramm","FCRBE – Facilitating the Circulation of Reclaimed Building Elements in Northwestern Europe","move_as_core_or_context","foerderprogramm/FCRBE","","Funding/research program node; connect to projects/actors/cases.",""
"foerderprogramm\index.md","Förderprogramm","Index","merge_into_index","foerderprogramm/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"foerderprogramm\PREUSE.md","Förderprogramm","PREUSE – Public Responses to Enable the Use of Salvaged Building Elements","move_as_core_or_context","foerderprogramm/PREUSE","","Funding/research program node; connect to projects/actors/cases.",""
"foerderprogramm\Reallabor_Be_Ware.md","Förderprogramm","Reallabor B(e) Ware – Gebäudetragwerke aus Sekundärmaterialien Made in Berlin","move_as_core_or_context","foerderprogramm/Reallabor_Be_Ware","","Funding/research program node; connect to projects/actors/cases.",""
"foerderprogramm\Zukunftbau.md","Förderprogramm","","move_as_core_or_context","foerderprogramm/Zukunftbau","","Funding/research program node; connect to projects/actors/cases.",""
"förderprogramm.md","Type","Förderprogramm","merge_into_index","foerderprogramm/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"gastprofessur.md","Type","Gastprofessur","merge_into_index","akteurtyp/Gastprofessur","programm_kontext/Lehre_Forschung","Root type stub; preserve as actor/program context vocabulary, not a content node.","old_type_stub_only"
"gebaeude\Altes_Hobelwerk_Winterthur.md","Gebäude","Altes Hobelwerk, Winterthur","split_into_case_graph","fallstudie/Altes_Hobelwerk_Winterthur","projekt/Altes_Hobelwerk_Winterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\Analyse_Entitaeten_Erweiterung_Gebaeude_Fallstudien.md","","Analyse aller Gebäude-`.md`-Fallstudien und Vorschlag für eine angepasste/erweiterte Entitätenstruktur","archive_as_source","90_import_rohdaten/Analyse_Entitaeten_Erweiterung_Gebaeude_Fallstudien","","Use as synthesis/import source; do not create case node directly.","contains_multiple_cases_or_schema_notes"
"gebaeude\Areal_Walkeweg_Nord.md","Gebäude","","split_into_case_graph","fallstudie/Areal_Walkeweg_Nord","projekt/Areal_Walkeweg_Nord; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\Bestandshalle_CRCLR_House.md","Gebäude","","split_into_case_graph","fallstudie/Bestandshalle_CRCLR_House","projekt/Bestandshalle_CRCLR_House; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\BOELL_LAB_Berlin.md","Gebäude","BOELL.LAB, Berlin","split_into_case_graph","fallstudie/BOELL_LAB_Berlin","projekt/BOELL_LAB_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\Da_Vinci_Business_District.md","Gebäude","","split_into_case_graph","fallstudie/Da_Vinci_Business_District","projekt/Da_Vinci_Business_District; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\Elementa.md","Gebäude","","split_into_case_graph","fallstudie/Elementa","projekt/Elementa; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md","Gebäude","ELYS Kultur- und Gewerbehaus, Basel / Lysbüchelareal","split_into_case_graph","fallstudie/ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal","projekt/ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\gebäude_wiederverwendung_direct_reuse_examples.md","Gebäude","Wiederverwendung / Direct Reuse Architecture Examples","archive_as_source","90_import_rohdaten/gebaeude_wiederverwendung_direct_reuse_examples","","Use as synthesis/import source; do not create case node directly.","contains_multiple_cases_or_schema_notes"
"gebaeude\gebäude2_wiederverwendung_direct_reuse_examples.md","Gebäude","Additional Wiederverwendung / Direct Reuse Examples — Batch 2","archive_as_source","90_import_rohdaten/gebaeude2_wiederverwendung_direct_reuse_examples","","Use as synthesis/import source; do not create case node directly.","contains_multiple_cases_or_schema_notes"
"gebaeude\gebäude3_wiederverwendung_direct_reuse_examples.md","Gebäude","Consolidated Wiederverwendung / Direct Reuse Architecture Examples — priority order","archive_as_source","90_import_rohdaten/gebaeude3_wiederverwendung_direct_reuse_examples","","Use as synthesis/import source; do not create case node directly.","contains_multiple_cases_or_schema_notes"
"gebaeude\gebäude4_wiederverwendung_direct_reuse_examples.md","","Corrected Wiederverwendung / Direct Reuse Priority List","archive_as_source","90_import_rohdaten/gebaeude4_wiederverwendung_direct_reuse_examples","","Use as synthesis/import source; do not create case node directly.","contains_multiple_cases_or_schema_notes"
"gebaeude\Hobelwerk_Haus_D_Oberwinterthur.md","Gebäude","Hobelwerk Haus D, Oberwinterthur","split_into_case_graph","fallstudie/Hobelwerk_Haus_D_Oberwinterthur","projekt/Hobelwerk_Haus_D_Oberwinterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\index.md","Gebäude","Index","merge_into_index","bauobjekt_and_fallstudie/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"gebaeude\K118_Kopfbau_Halle_118_Winterthur.md","Gebäude","K.118 – Kopfbau Halle 118, Winterthur","split_into_case_graph","fallstudie/K118_Kopfbau_Halle_118_Winterthur","projekt/K118_Kopfbau_Halle_118_Winterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\Kindl_Areal.md","Gebäude","","split_into_case_graph","fallstudie/Kindl_Areal","projekt/Kindl_Areal; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\Lysbuechel_Parkhaus.md","Gebäude","","split_into_case_graph","fallstudie/Lysbuechel_Parkhaus","projekt/Lysbuechel_Parkhaus; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\LysP8_Basel_Lysbuechelareal.md","Gebäude","LysP8, Basel / Lysbüchelareal","split_into_case_graph","fallstudie/LysP8_Basel_Lysbuechelareal","projekt/LysP8_Basel_Lysbuechelareal; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebaeude\ReUseBox_Heilbronn.md","Gebäude","ReUseBox, Heilbronn","split_into_case_graph","fallstudie/ReUseBox_Heilbronn","projekt/ReUseBox_Heilbronn; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Building/project note: split into Fallstudie, Projekt, Bauobjekt, Reuse_Einsatz, Datenpunkt, Quelle.",""
"gebäude.md","Type","Gebäude","merge_into_index","fallstudie_and_bauobjekt/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"Gebäude\55_Great_Suffolk_Street_London.md","","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split_into_case_graph","fallstudie/55_Great_Suffolk_Street_London","projekt/55_Great_Suffolk_Street_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Rich building example: keep narrative as Fallstudie, extract project/building/reuse cases/data/source edges.","do_not_treat_file_as_single_gebaeude_only"
"Gebäude\Association_house_Groeditz.md","","Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","split_into_case_graph","fallstudie/Association_house_Groeditz","projekt/Association_house_Groeditz; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Rich building example: keep narrative as Fallstudie, extract project/building/reuse cases/data/source edges.","do_not_treat_file_as_single_gebaeude_only"
"Gebäude\Association_house_Plauen.md","","Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","split_into_case_graph","fallstudie/Association_house_Plauen","projekt/Association_house_Plauen; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Rich building example: keep narrative as Fallstudie, extract project/building/reuse cases/data/source edges.","do_not_treat_file_as_single_gebaeude_only"
"Gebäude\AWM_Muenster_Circular_Office.md","","AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","split_into_case_graph","fallstudie/AWM_Muenster_Circular_Office","projekt/AWM_Muenster_Circular_Office; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Rich building example: keep narrative as Fallstudie, extract project/building/reuse cases/data/source edges.","do_not_treat_file_as_single_gebaeude_only"
"Gebäude\BedZED_London_Hackbridge.md","","BedZED, London / Hackbridge — Fallstudie Direct Reuse / Bauteilwiederverwendung","split_into_case_graph","fallstudie/BedZED_London_Hackbridge","projekt/BedZED_London_Hackbridge; bauobjekt/<from_content>; reuse_einsatz/<per_component>","Rich building example: keep narrative as Fallstudie, extract project/building/reuse cases/data/source edges.","do_not_treat_file_as_single_gebaeude_only"
