Akteur;Rolle;Relevanz
The Green House Utrecht;Referenzprojekt;Nutzt Fassadenplatten der früheren Knoopkaserne und weitere gebrauchte Bauteile.
TRAJECT;Reuse-Beratung;Berät zu Rücknahme und langfristiger Aufwertung von Bauprodukten.
Van der Wal Sloopwerken;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Vic Obdam Staalbouw;Fertigung mit Reuse-Material;Direkt belegt im baulichen Reuse-Kontext: Fertigung mit Reuse-Material.
Victory Group;Gebäudeeigentum;Direkt belegt im baulichen Reuse-Kontext: Gebäudeeigentum.
Villa Welpeloo Enschede;Referenzprojekt;Besteht zu 60 Prozent aus geborgenen Materialien, darunter Stahl und Fassadenholz.
Weever Circulair (Kampen);Bergung / Aufarbeitung;Direkt belegt im baulichen Reuse-Kontext: Bergung, Aufarbeitung.
Woongroep Boschgaard;Referenzprojekt;Besteht zu 85 Prozent aus wiederverwendeten Baustoffen.
Zayaz;Gebäudeeigentum;Bleibt Eigentümerin und ermöglicht den gemeinschaftlich organisierten Reuse-Umbau.
aik Architektur + Ingenieur Kollektiv;Bauphysik;Begleitet die Bauphysik eines Umbaus mit wiederverwendeten Bauteilen.
Amstein+Walthert AG;Bestandsentwicklung / Rückbauplanung / Umweltbewertung;Plant Bestandserhalt und Reuse-Rückbau und bewertet deren Umweltwirkungen.
Amt für Hochbauten und Immobilien Stadt Zürich;Gebäudeeigentum / Reuse-Strategie / Potenzialbewertung;Prüft städtische Bauprojekte systematisch auf wiederverwendbare Bauteile.
Archipel Sion Ressourcerie;Selektiver Rückbau / Sortierung / Bauteilhandel;Baut Bauteile schonend aus, sortiert sie und verkauft sie für eine zweite Nutzung.
baubüro in situ;Reuse-Planung;Plant den Wiedereinsatz vorhandener Bauteile in neuen Bauaufgaben.
Baumatpool.ch;Vermittlungsplattform;Ermöglicht das Finden, Kaufen und Verkaufen gebrauchter Baumaterialien.
Bauteilbörse Basel;Aufarbeitung / Bauteilhandel;Prüft, reinigt und bereitet demontierte Bauteile auf und verkauft sie.
Bauteilkatalog Immobilien Basel-Stadt;Vermittlungsplattform / Bauteilkataster;Katalogisiert verfügbare Reuse-Bauteile und stellt sie Bauprojekten bereit.
Bauteilladen Winterthur;Bauteilhandel / Vermittlung;Verkauft Secondhand-Bauteile und vermittelt Such- und Verkaufsanfragen.
Bauteilvermittlung Zürichsee-Oberland;Vermittlung;Vermittelt angebotene gebrauchte Bauteile.
Bauteilverwertung Köppel & Klein;Demontage / Bauteilhandel;Demontiert gebrauchte Bauteile und vermittelt sie für neue Anwendungen.
Bischof Föhn Architektur;Architektur / Bestandsentwicklung / Reuse-Planung;Plant die Umnutzung von Bestandsräumen mit vorhandenen und geborgenen Bauteilen.
Circular Engineering for Architecture / ETH Zürich;Datenanalyse / Methodenentwicklung / Angewandte Forschung;Entwickelt digitale Matching-Methoden für Reuse-Materialien und Bauprojekte.
Cirkla;Wissensvermittlung / Netzwerkkoordination / Veranstaltungsorganisation;Vernetzt Reuse-Akteure und verbreitet Wissen zu gebrauchter Bauteilnutzung.
Digvis GmbH;Softwareentwicklung;Programmiert den digitalen Katalog für wiederverwendbare Bauteile.
ELEMENTA Walkeweg;Referenzprojekt;Nutzt Betonelemente eines Parkhauses als Tragstruktur und Fassadenelemente.
ELYS Kultur- und Gewerbezentrum Basel;Referenzprojekt;Nutzt Dachbleche, Dämmstoffreste und Fenster aus Restbeständen erneut.
Entsorgung + Recycling Zürich (ERZ);Gebäudeeigentum / Projektentwicklung;Entwickelt als Eigentümervertretung das Reuse-Pilotzentrum gemeinsam mit der Stadt.
GGZ@WORK Laden 2 Bauteile Zug;Bauteilhandel;Verkauft gut erhaltene gebrauchte Bauteile.
Graber Pulver;Architektur / Reuse-Planung;Entwirft das Recyclingzentrum mit wiederverwendeter Halle, Tragwerk und Fassade.
Gramazio Kohler Research;Technologieentwicklung / Angewandte Forschung;Erforscht robotische additive Fügeverfahren für wiedergewonnenen Stahl.
Grubenstrasse 29;Referenzprojekt;Nutzt Holzpfetten, Heizkörper, Dämmplatten, Fenster und Türen erneut.
Gruner ReUse;Vermittlungsplattform;Betreibt eine digitale Bauteilplattform für zirkuläres Bauen.
Historisches Bauteillager Ostschweiz (Denkmal Stiftung Thurgau);Demontage / Lagerung / Bauteilhandel;Baut historische Bauteile aus, lagert sie und gibt sie für neue Einbauten weiter.
INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton);Methodenentwicklung / Angewandte Forschung / Richtlinienentwicklung;Entwickelt einen Leitfaden zur Wiederverwendung tragender Stahl- und Betonteile.
Ingenieurbureau Heierli AG;Tragwerksplanung;Plant das Tragwerk des Reuse-Umbaus mit wiederverwendeten Stahlträgern.
Institut Konstruktives Entwerfen (IKE) / ZHAW;Methodenentwicklung / Angewandte Forschung / Lehre;Entwickelt, erforscht und lehrt Verfahren zur Wiederverwendung von Bauteilen.
Josef Kolb AG;Tragwerksplanung;Plant den Holzbau des K.118, das überwiegend mit gebrauchten Bauteilen errichtet wurde.
K.118 (Kopfbau Halle 118);Referenzprojekt;Stockt eine Bestandshalle überwiegend mit geborgenen Bauteilen aus Rückbauten auf.
K.118 Winterthur;Referenzprojekt;Erweitert eine Halle mit wiederverwendeter Stahlstruktur, Treppe und Fassadenteilen.
Kindergarten Mööslistrasse;Referenzprojekt;Nutzt Stahlträger, Holzpergola, Türen und Küchenelemente aus Rückbauten erneut.
La Ressourcerie Fribourg;Bauteilhandel;Demontiert und birgt gebrauchte Baustoffe und verkauft sie im eigenen Laden.
Lindner SE;Rücknahme / Aufarbeitung / Bauteilhandel;Nimmt gebrauchte Bodenplatten zurück, bereitet sie auf und verkauft sie erneut.
Loeliger Strub;Architektur;Plant LysP8 mit gebrauchten Ziegeln, Dachpfannen, Fassadenplatten und Küchen.
LYSP8 Basel;Referenzprojekt;Verwendet Klappläden, Dachziegel, Fassadenteile und Dämmung aus früheren Nutzungen.
Madaster;Materialpass / Bauteilkataster / Datenplattform;Erstellt Materialpässe und Katasterdaten zur Prüfung künftiger Bauteilwiederverwendung.
manoa Landschaftsarchitekten;Landschaftsarchitektur;Plant die Außenräume des Reuse-Pilotprojekts Recyclingzentrum Juch-Areal.
Matériuum;Reuse-Beratung / Bauteilinventarisierung / Weiterbildung;Berät Reuse-Projekte, inventarisiert Bauteile und bietet Schulungen zur Wiederverwendung.
Matériuum Genève Ressourcerie;Bergung;Bergt wiederverwendbare Szenografieelemente für ein zweites Leben.
Modissa Immobilien AG;Bauherrschaft;Beauftragt den Erhalt und die Aufstockung des Gewerbebaus mit zahlreichen Reuse-Teilen.
Monotti Ingegneri;Tragwerksplanung;Plant das Tragwerk aus wiederverwendeten Betonelementen des Lysbüchel-Parkhauses.
NEST Research and Innovation Platform / Empa–Eawag;Pilotierung / Angewandte Forschung;Erprobt wiederverwendbare Materialien und Technologien im NEST unter realen Bedingungen.
Nomol;Projektentwicklung / Bergung / Aufarbeitung;Entwickelt Prozesse zur Rückgewinnung und Aufarbeitung hochwertiger Baukomponenten.
Oberli Ingenieurbau AG;Tragwerksplanung;Plant das Tragwerk des K.118 mit wiederverwendeter Stahlstruktur und Außentreppe.
PARABASE;Architektur / Reuse-Planung;Entwirft Wohnbauten mit wiederverwendeten Betonbauteilen in Tragwerk und Fassade.
Pascal Flammer Architekten;Architektur / Reuse-Planung;Entwirft das Hobelwerk-Haus und integriert Bauteile aus 21 Reuse-Quellen.
PIRMIN JUNG Schweiz AG;Tragwerksplanung / Richtlinienentwicklung;Plant Reuse-Holzbauteile und entwickelt einen Leitfaden für kreislauffähigen Holzbau.
RE-WIN;Reuse-Strategie / Transport / Weitergabe;Entwickelt Reuse-Strategien und liefert gebrauchte Fenster für Reparaturen in die Ukraine.
Re:Crete footbridge;Referenzprojekt;Nutzt 25 ausgeschnittene Betonblöcke für eine neu montierte Fußgängerbrücke.
Recyclingzentrum Juch-Areal;Referenzprojekt;Verwendet eine demontierte Recyclinghalle, Betonstützen und Tunnelplatten erneut.
Ressourcerie Lausanne / Matériuum / R-UUL;Aufarbeitung / Lagerung / Bauteilhandel;Bereitet Bauteile auf, lagert sie und verkauft sie in der Ressourcerie und online.
ReUse Recycling Center Riedtwil / wiederverwendung.ch;Bauteilhandel;Verkauft wiederverwendbare Gebrauchtwaren und Baumaterialien im Zentrum und online.
REUZI;Vermittlungsplattform / Wissensvermittlung;Verbreitet über eine digitale Plattform reuse-spezifische Praxisbeispiele.
Salza;Vermittlungsplattform;Vermittelt gebrauchte Bauteile über eine Plattform zwischen Anbietenden und Käufern.
Schmidiger + Rosasco AG;Gebäudetechnikplanung;Plant die Elektrotechnik im Reuse-Umbau des Kindergartens Mööslistrasse.
Stiftung Abendrot / Vorsorgestiftung Abendrot;Bauherrschaft;Beauftragte K.118 mit Bestandserhalt und Bauteilen aus Rückbauprojekten.
Stiftung Chance BauTeile Zürich / Glattbrugg;Demontage;Demontiert Bauteile und Baumaterial ausdrücklich für ihre Wiederverwendung.
Stiftung Habitat;Gebäudeeigentum;Nutzt in einem eigenen Wohnhaus gebrauchte Bauteile und Küchen weiter.
Structural Xploration Lab (SXL) / EPFL;Technologieentwicklung / Pilotierung / Angewandte Forschung;Entwickelt und erprobt zerlegbare Tragwerksysteme für wiederholte Nutzung.
Studio Trachsler Hoffmann;Architektur / Reuse-Planung;Plant den Bestandserhalt und den Einsatz wiederverwendeter Stahlbauteile.
Syphon AG Bauteilbörse Biel-Brügg;Bauteilinventarisierung / Demontage / Bauteilhandel;Inventarisiert, demontiert und verkauft Bauteile für ihren Wiedereinsatz.
Tschudin Rückbau und Demontagen GmbH;Bauteilhandel;Lieferte wiederverwendete Bauteile für die Aufstockung Grubenstrasse 29.
UMAR Unit;Referenzprojekt;Verbaut umgenutzte Dämmstoffe in einem trennbaren Forschungsmodul.
useagain / Bauteilclick;Vermittlungsplattform;Vermittelt gebrauchte Bauteile, Materialien und Möbel über eine Plattform.
Verein RE-WIN;Reuse-Strategie / Transport;Entwickelt Reuse-Strategien und transportiert gebrauchte Fenster in die Ukraine.
Weber + Brönnimann AG;Tragwerksplanung;Plant das Tragwerk des Juch-Areals mit Hallen- und Betonbauteilen aus Rückbauten.
Wetter AG;Bauausführung;Führte den Stahlbau des K.118 mit einem wiederverwendeten Tragwerk aus.
Wick ReUse / ROTO Baumarkt;Bauteilhandel;Verkauft gebrauchte Maschinen, Werkzeuge, Materialien und Bauteile.
Zirkular;Bauteilinventarisierung;Katalogisierte Reuse-Bauteile für ein konkretes Bauprojekt.
Abfallwirtschaftsbetriebe Münster;Bauherrschaft;Beauftragte den Büro-Umbau mit gebrauchten Trennwänden, Verkleidungen und Möbeln.
ALBA Berlin;Zwischenlagerung / Transport;Stellt Fläche und Logistik für die Lagerung und Verteilung geborgener Bauteile bereit.
Arbeitsgebiet Bauliches Recycling / BTU Cottbus-Senftenberg;Umweltbewertung / Angewandte Forschung;Erforscht und bewertet die Wieder- und Weiterverwendung gebrauchter Bauteile.
AWM Münster – zirkulärer Büroumbau;Referenzprojekt;Erhält den Bürobestand und nutzt Trennwände, Möbel und Verkleidungen erneut.
Baukreisel e.V.;Reuse-Beratung / Architektur / Angewandte Forschung;Berät, plant und forscht zum Erhalt von Bestand und zur Bauteilwiederverwendung.
BauMaB Kassel / Bauteilbörse Kassel;Bauteilhandel;Lagert und handelt Bauteile vor Ort und über eine digitale Vermittlungsplattform.
Bauteilbörse Berlin-Brandenburg (Fläming Antik / Brita Marx);Bauteilhandel;Verkauft historische und jüngere gebrauchte Bauteile über zwei Onlineshops.
Bauteilbörse Bremen;Demontage / Lagerung / Vermittlung;Baut gebrauchte Bauteile aus, lagert sie und vermittelt sie für neue Nutzungen.
Bauteilbörse Bremerhaven (Förderwerk Bremerhaven);Bergung / Aufarbeitung / Wiedereinbau;Bergt, bereitet alte Bauteile auf und baut sie erneut ein.
bauteilnetz Deutschland;Reuse-Beratung / Vermittlungsplattform / Netzwerkkoordination;Berät Bauteilbörsen, vernetzt sie und betreibt einen gemeinsamen Bauteilkatalog.
Berlin-Schildow Pilot;Referenzprojekt;Nutzt demontierte Betonfertigteile erneut im Wohnungsbau.
Bundeszentrale für politische Bildung (bpb);Fördermittelvergabe;Förderte das Bildungsprogramm im Gebäude aus wiederverwendeten Betonplatten.
Circular Structural Design;Tragwerksplanung / Reuse-Audit / Potenzialbewertung;Plant Tragwerke und bewertet Bestandsbauteile für Demontage und Wiedereinbau.
CirculaTUM – TUM Mission Network Circular Economy;Angewandte Forschung;Bündelt Forschung und Lehre zu Umnutzung, Reuse und Rückbau im gebauten Umfeld.
CITYFÖRSTER;Architektur / Reuse-Beratung;Plant Reuse-Projekte und berät Bauherren zur Wiederverwendbarkeit von Bauteilen.
Claus Asam;Projektentwicklung / Pilotierung;Leitete Reuse-Piloten und erprobte den Wiedereinsatz rückgebauter Betonplatten.
Concular;Bauteilinventarisierung / Reuse-Audit / Vermittlungsplattform;Erfasst, bewertet und vermittelt Bauteile für Rückbau und Wiedereinbau.
CRCLR House;Referenzprojekt;Nutzt Stahlpfetten des Hallendachs als tragende Treppenwangen erneut.
Cubus Projekt;Fertigung mit Reuse-Material;Verarbeitet im Reallabor geborgenes Material zu Bauteilen für Tragstrukturen.
DARE GmbH;Selektiver Rückbau;Baut Materialquellen für die spätere Wiederverwendung zerstörungsarm zurück.
Deutsche Bundesstiftung Umwelt (DBU);Fördermittelvergabe;Fördert ein mobiles Bildungsgebäude aus wiederverwendeten Betonplatten.
Die Zusammenarbeiter;Architektur;Wirkt als planender Architekt an einem konkreten Reuse-Bauprojekt mit.
Faltlhauser Krapf;Tragwerksplanung;Plant das Tragwerk eines Reallabors aus wiederverwendeten Betonschalungen.
Forschungsteam Stuttgart 210 / HFT Stuttgart;Reuse-Planung / Angewandte Forschung / Wissensvermittlung;Erforscht Entwurfsoptionen und vermittelt Erkenntnisse zur Schalungswiederverwendung.
Forschungsteam Stuttgart 210 / HTWG Konstanz;Reuse-Planung / Methodenentwicklung / Angewandte Forschung;Erforscht Reuse-Entwürfe und entwickelt eine Bilanzierung für gebrauchte Schalungen.
Gemeinde Ingersheim;Bauherrschaft / Material- und Bauteilbeschaffung;Beschaffte gebrauchte Schalungselemente und setzte damit den Jugendtreff um.
GSE – Gesellschaft für Stadtentwicklung gGmbH;Wissensvermittlung;Trägt im Reallabor den Standort und das Kompetenzbildungszentrum mit.
Gundlach GmbH & Co. KG Wohnungsunternehmen;Bauherrschaft / Gebäudeeigentum;Beauftragte das Recyclinghaus und stellte Gebrauchtbauteile aus eigenem Bestand bereit.
H2A;Bauphysik;Übernahm die Bauphysik für das Recyclinghaus mit gebrauchten Bauteilen.
Haus HOS;Referenzprojekt;Besteht im Rohbau zu 75 Prozent aus gebrauchten Stahlbeton-Plattenbauteilen.
Historische Bauelemente (Marwitz);Bauteilhandel;Verkauft historische Türen, Fenster, Balken und weitere gebrauchte Bauteile.
Historische Baustoffe Ostalb (Söhnstetten);Bauteilhandel;Verkauft geborgene historische Türen, Fenster, Balken und weitere Bauteile.
Holzbau Matthé;Fertigung mit Reuse-Material;Verarbeitet im Reallabor Gebrauchtholz zu Bauteilen für neue Tragstrukturen.
Holzwerke Bullinger;Fertigung mit Reuse-Material;Verarbeitet im Reallabor Gebrauchtholz zu Bauteilen für neue Tragstrukturen.
HTR – Holz-Transporte;Transport;Transportiert geborgenes Holz innerhalb der Reuse-Wertschöpfungskette.
Impact Hub Berlin at CRCLR-House (Innenausbau);Referenzprojekt;Nutzt gebrauchte Türen, Möbel, Kabeltrassen, Sanitäranlagen und Heizungen.
Ingenieurbüro Fechner;Zustandsbewertung;Begutachtet geborgenes Material für den Wiedereinsatz in Tragstrukturen.
Jugendtreff Ingersheim;Referenzprojekt;Verwendet hölzerne Schalungselemente von Stuttgart 21 als Jugendtreff weiter.
Lehrstuhl TEAMhillebrandt / Bergische Universität Wuppertal;Lehre;Lehrt den experimentellen Entwurf mit wiederverwendeten Materialien.
LXSY Architektur;Architektur / Reuse-Planung / Materialpass;Plant Architektur mit gebrauchten Bauteilen, lösbaren Konstruktionen und Materialpässen.
Materialprüfanstalt Brandenburg;Zustandsbewertung;Begutachtet geborgenes Material für den Wiedereinsatz in Tragstrukturen.
Materialrest24;Vermittlungsplattform;Vermittelt überschüssige Baumaterialien zwischen Handwerksbetrieben.
Max Holzbau;Fertigung mit Reuse-Material;Verarbeitet im Reallabor Gebrauchtholz zu Bauteilen für neue Tragstrukturen.
Mehrow Pilot House;Referenzprojekt;Nutzt Deckenplatten und tragende Innenwände aus rückgebauten Plattenbauten erneut.
MÖWE gGmbH (Möwe Altmaterialverwendung);Aufarbeitung / Bauteilhandel / Berufliche Qualifizierung;Arbeitet gebrauchte Bauteile auf und qualifiziert Menschen für deren Wiederverkauf.
München Bauteilbörse (CirCoFin pilot);Bauteilinventarisierung / Aufarbeitung / Vermittlungsplattform;Erfasst, bereitet und vermittelt gebrauchte Bauteile physisch und digital.
Natural Building Lab;Pilotierung / Angewandte Forschung / Lehre;Erforscht, lehrt und erprobt Tragwerke und Sanierungen mit gebrauchten Bauteilen.
NBL Studio;Pilotierung / Richtlinienentwicklung;Erprobt Gebrauchtholz-Tragwerke und entwickelt einen Leitfaden für Rückbaumaterial.
Petra Jablonická;Architektur;Ist als Architektin eines konkreten Reuse-Projekts belegt.
Plattenpalast Berlin;Referenzprojekt;Nutzt Plattenbauteile und Fassadenscheiben aus rückgebauten Gebäuden erneut.
Plattenvereinigung Berlin;Referenzprojekt;Besteht aus wiederverwendeten Plattenbauteilen aus München und Frankfurt an der Oder.
Professur Nachhaltiges Bauen / KIT;Pilotierung / Angewandte Forschung / Lehre;Erforscht Reuse in Bestandssanierungen und vermittelt zirkuläres Entwerfen.
Reallabor B(e) Ware – Gebäudetragwerke aus Sekundärmaterialien Made in Berlin;Referenzprojekt;Produziert Bauteile aus Gebrauchtholz für den Einsatz in Berliner Bauvorhaben.
Recyclinghaus Berlin;Referenzprojekt;Nutzt lokal geborgene Bauteile und verbaut Materialreste nahezu vollständig.
Recyclinghaus Hannover;Referenzprojekt;Verbaut gebrauchte Fassaden, Fenster, Türen und Bauteile im Innenausbau.
ReUse and Trade;Vermittlungsplattform;Vermittelt Restbestände und Bauprodukte zur weiteren Nutzung an neue Käufer.
Seidl + Seidl Architekten;Architektur;Plant ein Haus aus wiederverwendeten Betonfertigteilen.
Stadt Kassel;Fördermittelvergabe;Fördert eine Plattform für den Kauf und Verkauf wiederverwendbarer Baustoffe.
SURAP GmbH;Umweltbewertung / Softwareentwicklung;Liefert LCA-Daten und Software-Schnittstellen für Bauteilbörsen und Reuse-Plattformen.
TOMAS;Projektentwicklung / Bestandsentwicklung / Umnutzungsplanung;Entwickelt neue Nutzungen für leer stehende Gebäude und erhält deren Bestand.
TU Berlin Fachgebiet Bauphysik und Baukonstruktionen;Angewandte Forschung / Lehre;Entwickelte das Reuse-Gebäude mit und band Studierende in Lehrbaustellen ein.
Unternehmerverband Historische Baustoffe e.V. (UHB);Wissensvermittlung / Branchenverband;Vernetzt Händler und vermittelt Wissen zum Reuse historischer Baustoffe.
Urban Mining Index;Potenzialbewertung / Wirtschaftlichkeitsbewertung / Methodenentwicklung;Bewertet Rückbau, Restwert und Reuse-Potenzial von Baukonstruktionen quantitativ.
Urselmann Interior;Innenarchitektur / Reuse-Planung / Fertigung mit Reuse-Material;Plant und fertigt Innenausbau mit geernteten und bereits gebrauchten Bauteilen.
Werner Sobek;Architektur / Reuse-Planung / Demontagegerechtes Design;Entwarf die UMAR-Einheit für Bauteilentnahme und künftige Wiederverwendung.
Wiewiorra Hopp Architekten;Architektur / Reuse-Planung;Entwarf den Plattenpalast aus Betonplatten und gebrauchten Fenstern.
ZIRKULAAR Architektur;Architektur / Reuse-Planung / Vermittlung;Plant und vermittelt gebrauchte Bauteile für wiederverwendbare Architektur.
ZRS Ingenieure;Tragwerksplanung;Plant Tragwerke mit wiederverwendeten Stahlbauteilen im CRCLR House.
2emain.be;Vermittlungsplattform;Vermittelt als Kleinanzeigenplattform gebrauchte Steinplatten für Bauprojekte.
51N4E;Architektur;Plant den Recypark um 20 geborgene Brettschichtholzbögen aus einer Reithalle.
AD VITAM MATERIAL (ehem. Plateforme Réemploi);Netzwerkkoordination;Aktives Netzwerk für baulichen Material-Reuse in Belgien.
Antiek Anresto;Bauteilhandel;Bereitet antike Bauteile auf und verkauft sie für neue Einbauten.
Antique Fireplaces First;Bauteilhandel;Restauriert und verkauft antike Kamine und organisiert ihre weltweite Lieferung.
Authentieke Bouwmaterialen Storms nv;Bauteilhandel;Bereitet alte Holz- und Steinbauteile auf, lagert und verkauft sie.
BatiTerre;Bauteilinventarisierung;Inventarisiert, demontiert und baut geborgene Bauteile in neuen Projekten ein.
BLAF Architecten;Architektur;Plant und erforscht die Demontage und Wiedererrichtung einer Passivhausstruktur.
Bois Antique;Bauteilhandel;Bereitet Altholz aus Scheunen auf und verkauft es als Bauprodukte weiter.
Brussels Environment;Programmmanagement;Koordiniert das BAMB-Programm mit Materialpässen, Pilotbauten und Partnern.
Build Reversible In Conception (B.R.I.C.);Referenzprojekt;Wird jährlich demontiert und neu montiert und integriert geborgene Baustoffe.
Buildwise;Qualitätssicherung;Entwickelt Prüfverfahren und Leitlinien zur Freigabe gebrauchter Baustoffe.
Bureau Bouwtechniek;Reuse-Beratung;Berät und erforscht technische Lösungen für die hochwertige Bauteilrückgewinnung.
Chiro d’Itterbeek;Referenzprojekt;Verbaut geborgene Ziegel, Schulfliesen, Sanitärteile, Leuchten und Spiegel erneut.
Circular Retrofit Lab;Referenzprojekt;Erprobt demontierbare und wiederverwendbare Bauteile in sanierten Wohnmodulen.
Composil;Sortierung;Sortiert, reinigt und restauriert gebrauchte Teppichfliesen für neue Projekte.
Cornermat / Retrival;Bauteilhandel;Demontiert Bauteile selektiv, birgt sie und verkauft sie für neue Projekte.
De Groene Poort;Bauteilhandel;Entwirft und fertigt Möbel aus alten Bauteilen und verkauft historische Elemente.
De Oude Dakpan;Bauteilhandel;Kauft und verkauft alte Dachziegel für den erneuten Einsatz auf Gebäuden.
Doehetzelf 2dehands bouwmarkt;Bauteilhandel;Lagert, liefert und verkauft gebrauchte Fenster und Türen für Bauprojekte.
Eeuwenhout Antoine Verhofstede;Bauteilhandel;Bereitet historisches Holz auf und verkauft es für neue Bauteilanwendungen.
Embuild;Methodenentwicklung;Entwickelt Werkzeuge und koordiniert die Bauwirtschaft für mehr Bauteilwiederverwendung.
ERDF / FEDER Brüssel-Hauptstadt;Fördermittelvergabe;Fördert den Zinneke-Umbau mit Bestandserhalt und zahlreichen gebrauchten Bauteilen.
Franck;Bergung;Birgt und verkauft wiedergewonnene Fassadenziegel für neue Bauprojekte.
Franck Bricks;Rücknahme / Aufarbeitung / Bauteilhandel;Übernimmt Fassadenziegel, reinigt sie und verkauft sie für neue Bauprojekte.
Fryns-Boret;Bauteilhandel;Verkauft antike Ziegel und Bauelemente für eine erneute Nutzung.
Gebruiktebouwmaterialen;Bauteilhandel;Sichert Bauteile aus Abbruchprojekten und verkauft sie für neue Nutzungen.
Gunter Bosmans;Bauteilhandel;Birgt, bearbeitet und verkauft gebrauchte Pflastersteine für neue Projekte.
Het arduinen hoekje;Bauteilhandel;Poliert alte Blausteine auf, passt sie an und verkauft sie zur Weiternutzung.
Heyns Recycling;Bauteilsuche;Beschafft charaktervolle Altziegel für die Fundamente eines Bestandsprojekts.
Hofman NV - SA;Bauteilhandel;Verkauft wiedergewonnene Pflastersteine, Bordsteine und Mosaiksteine.
Houtenplaten;Bauteilhandel;Lagert und verkauft altes Bauholz für neue Innen- und Außenanwendungen.
Jef Stone;Bauteilhandel;Liefert wiedergewonnene Baustoffe für neue und sanierte Wohngebäude.
Joris Van Apers;Innenarchitektur;Entwirft Innenräume und passt gelagerte Altbaustoffe in eigenen Werkstätten an.
Kaderstudio;Reuse-Strategie;Entwickelt Reuse-Strategien und plant anpassbare Transformationen von Bestandsbauten.
Kamp C;Reuse-Strategie;Entwickelt und demonstriert Strategien für demontierbare, wiederverwendbare Bauteile.
Kasseien Kindt;Bauteilhandel;Sortiert, lagert und verkauft ausgebaute Pflastersteine für neue Projekte.
Kempische Bouwmaterialen;Bauteilhandel;Lagert und verkauft alte Ziegel, Dachsteine und Böden für Bau- und Umbauprojekte.
Labeur Atelier - Labeur;Bergung;Sammelt und sortiert Restholz und fertigt daraus Produkte für neue Nutzungen.
Laboratory for Green Transformable Buildings (GTB Lab);Demontagegerechtes Design;Entwickelt, erprobt und demonstriert reversible Bausysteme für wiederholte Nutzung.
Madaster;Materialpass / Bauteilkataster / Datenplattform;Registriert Bauprodukte digital und macht Wiederverwendbarkeit und Restwert sichtbar.
Maison DnA;Referenzprojekt;Verwendet 50 Kubikmeter geprüfte Altziegel als tragende Außenfassade.
Maison Vignette;Referenzprojekt;Verbaut gebrauchte Ziegel, Fliesen, Blausteinplatten und Sanitärobjekte.
Materialenbank Leuven / Atelier Circuler;Bauteilhandel;Bereitet geborgene Baustoffe auf, lagert sie und verkauft sie für neue Projekte.
Musée de Folklore de Mouscron;Referenzprojekt;Integriert 30.000 geborgene Ziegel aus acht Abbruchorten in die Museumsfassade.
MVV Afbraakwerken Martin;Bauteilhandel;Verkauft wiedergewonnene Baustoffe aus seinem Abbruchbetrieb.
Namur Croisade pauvreté;Bauteilhandel;Birgt und verkauft Fenster, Türen, Möbel und Altsteine für Gebäuderestaurierungen.
Opalis;Vermittlungsplattform;Macht Reuse-Händler, Bauteildaten und ausgeführte Referenzen auffindbar.
OVAM (Openbare Vlaamse Afvalstoffenmaatschappij);Reuse-Strategie;Entwickelt Strategien, Werkzeuge und Richtlinien zur Wiederverwendung von Bauteilen.
Recupan bvba;Bauteilhandel;Prüft, reinigt und verkauft wiedergewonnene Dachziegel für neue Bauprojekte.
Recypark Demets;Referenzprojekt;Integriert 20 demontierte Brettschichtholzbögen eines früheren Reitzentrums.
Rotor;Reuse-Beratung;Berät Planungsteams, prüft Bestände und plant die Integration gebrauchter Bauteile.
RotorDC;Bauteilhandel;Demontiert, reinigt und verkauft wiederverwendbare Bauteile und Ausbauprodukte.
Tracimat vzw;Qualitätssicherung;Überwacht selektiven Rückbau und verfolgt Materialien bis zum ersten Verarbeiter.
Van Dijck;Bauteilhandel;Sägt gebrauchte Pflastersteine auf Maß und verkauft sie für neue Projekte.
Van Huele;Bauteilhandel;Lagert, verkauft und verbaut historische Baustoffe aus Abbruchvorhaben.
Verbiest + Karreveld;Referenzprojekt;Erhält Bestandsstrukturen und verwendet Ziegel, Fliesen und Steine weiter.
Vlaamse Instelling voor Technologisch Onderzoek (VITO);Reuse-Beratung;Berät und erforscht Methoden für demontierbare, wiederverwendbare Bauteile.
Vrije Universiteit Brussel (VUB) – Architectural Engineering;Demontagegerechtes Design / Methodenentwicklung / Angewandte Forschung;Erforscht und entwickelt reversible Lösungen zur Wiederverwendung von Bauteilen.
Zinneke;Referenzprojekt;Erhält 94 Prozent des Bestands und ergänzt den Umbau mit gebrauchten Bauteilen.
Zinneke asbl;Bauherrschaft;Beauftragt den Umbau, führt Teile selbst aus und qualifiziert Metallfachkräfte.
a:gain;Wiederaufbereitung;Bereitet Restmaterialien zu standardisierten Bauprodukten für neue Projekte auf.
Artelia;Rückbauplanung;Plant Rückbau und bewertet Bauteile für ihre Wiederverwendung in neuen Projekten.
Bango A/S;Bauteilhandel;Verkauft gebrauchte Bauteile aus Rückbauprojekten für den erneuten Einsatz.
Bolius genbrugsmaterialer directory;Wissensvermittlung;Macht Bezugsquellen für gebrauchte Baustoffe in einem Verzeichnis auffindbar.
Byggeboersen;Vermittlungsplattform;Vermittelt gebrauchte Baustoffe über Suche, Anzeigen und direkten Käuferkontakt.
