id;land;von;richtung;nach;beziehungsart;beschreibung;beziehungsprofil;evidence_url;evidence_quote
DE:K026;DE;AWM Münster – zirkulärer Büroumbau;B→A;Urselmann Interior;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;https://awm.stadt-muenster.de/aktuelles/newsdetail/moderne-arbeitswelt-aus-gebrauchten-materialien;In Zusammenarbeit mit dem Düsseldorfer Unternehmen Urselmann interior, das sich auf Innenausbau nach dem Prinzip cradle-to-cradle spezialisiert hat, ist auf 250 m2 eine moderne Arbeitswelt
DE:K027;DE;AWM Münster – zirkulärer Büroumbau;B→A;Petra Jablonická;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.jablonicka.com/work/95,6%25-circular-reconstruction-of-offices-for-awm-m%C3%BCnster-;Petra Jablonická (Architect) — 95,6% circular reconstruction of offices for AWM Münster
DE:K029;DE;AWM Münster – zirkulärer Büroumbau;B→A;Concular;Reuse-Konzept;Beschaffte Reuse-Material.;Vorhabenspezifisch / Vorhaben;https://concular.de/bueroetage-muenster/;hat urselmann interior eng mit Concular zusammengearbeit – sowohl bei der Beschaffung der zirkulären Materialien als auch bei der Auswertung
DE:K031;DE;Circular Structural Design;—;Concular;Konsortialpartner;Entwickelten Matching-Algorithmen im Green-AI-Hub.;Vorhabenspezifisch / Vorhaben;https://www.green-ai-hub.de/en/pilot-projects/pilotproject-concular;Together with its partner Circular Structural Design from Berlin, matching algorithms are being developed within the AI pilot project
DE:K033;DE;Professur Nachhaltiges Bauen / KIT;—;Baukreisel e.V.;Kooperationsvereinbarung;Starteten einen Ausbau-Stegreif am KIT.;Vorhabenspezifisch / Vorhaben;https://nb.ieb.kit.edu/index.php/ausbau-stegreif-konrad-kocher-schule-kitzingen/;Als freies Kollektiv für zirkuläres Bauen ruft der Baukreisel gemeinsam mit dem Lehrstuhl für Nachhaltiges Bauen am KIT einen Ausbau Stegreif aus.
DE:K034;DE;Urban Mining Index;B→A;Lehrstuhl TEAMhillebrandt / Bergische Universität Wuppertal;Trägerschaft;Entwickelte zur Software.;Projektübergreifend / institutionell;https://urban-mining-index.de/initiative/;"Die Bergische Universität Wuppertal hat den „UMI"" zu einer anwenderfreundlichen Software weiterentwickelt und im Urban Solar Decathlon 2021 eingesetzt."
DE:K035;DE;Concular;—;ALBA Berlin;Kooperationsvereinbarung;Betreiben Urban Mining Hub gemeinsam.;Vorhabenspezifisch / Vorhaben;https://www.alba.info/unternehmen/newsroom/pressemitteilungen/detail/urban-mining-hub-berlin-gekommen-um-zu-bleiben/;ALBA Berlin versteht sich in diesem Projekt als einer dieser starken Partner, der neben der benötigten Fläche auch effektive Logistikdienstleistungen anbietet.
DE:K036;DE;Concular;A→B;München Bauteilbörse (CirCoFin pilot);Betreiberschaft;Mitentwicklung.;Vorhabenspezifisch / Vorhaben;https://concular.de/regionale-knotenpunkte-fuer-ganz-deutschland/;Im Rahmen des europäischen CIRCOFIN-Projekts entwickelt Concular gemeinsam mit der Stadt München eine digitale und physische Bauteilbörse.
DE:K048;DE;Historische Bauelemente (Marwitz);—;Unternehmerverband Historische Baustoffe e.V. (UHB);Konsortialpartner;Nimmt als Mitglied am UHB teil.;Projektübergreifend / institutionell;https://www.historische-baustoffe.de/en/the-dealers/list-of-dealers/elias/;Historische Bauelemente - Olaf Elias e.K. ... Latest news about this member:
DE:K049;DE;Historische Baustoffe Ostalb (Söhnstetten);—;Unternehmerverband Historische Baustoffe e.V. (UHB);Konsortialpartner;Nimmt als Mitglied am UHB teil.;Projektübergreifend / institutionell;https://www.historische-baustoffe.de/en/the-dealers/list-of-dealers/hbostalb/;Historische Baustoffe Ostalb ... Latest news about this member: ... Members from this region: Baden-Wuerttemberg
DK:K001;DK;Resource Rows;B→A;Lendager;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://circularmaterialsystems.com/en/case/02_en_resource-rows/;In an intensive cooperation between the client and the team of Lendager Group, Resource Rows proves that ... upcycling ... is possible.
DK:K005;DK;Svanen;B→A;Tscherning;Rückbau;Rückbau.;Vorhabenspezifisch / Vorhaben;https://vaerdibyg.dk/case/svanen-i-gladsaxe-cirkulaer-nedrivning/;For entreprenoeren Tscherning har udfordringen vaeret, at man normalt kan nedrive meget med maskine
DK:K008;DK;Svanen;B→A;Lendager;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.troldtekt.com/references/children-and-youth/boernehuset-svanen;Architects: Lendager Arkitekter ApS / SWECO architects
DK:K010;DK;Tscherning;—;GreenDozer ApS;Zusammenarbeit, Art unklar;Vertieften ihre Zusammenarbeit.;Projektübergreifend / operativ;https://regnskaber.cvrapi.dk/34487362/amNsb3VkczovLzAzL2RkL2MxLzBjLzRlLzM1ZjUtNDdiNy1hYzYxLTU3NjA1MzRmMDQxYg.pdf;styrket samarbejdet med GreenDozer
DK:K012;DK;Thoravej 29 Copenhagen;B→A;DTU Byg – Sektion Materialer og Holdbarhed;Prüfung und Nachweis;Prüfung der Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://dac.dk/en/magazine/places/thoravej-29-what-can-be-reused-must-be-reused-376;A report from the Technical University of Denmark (DTU) on the Thoravej 29 project shows that compared to constructing an entirely new building, CO2 emissions
DK:K015;DK;TRÆ High-Rise;B→A;a:gain;Bauteillieferung;Lieferte Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://www.again.dk/da/project-references/trae;Leverede produkter til TRÆ
DK:K016;DK;TRÆ High-Rise;B→A;DOVISTA / KRONE;Bauteillieferung;Lieferte Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://dovista.com/krone-brandcase;KRONE supplied all the windows to the building, including the upcycled windows.
DK:K017;DK;TRÆ High-Rise;B→A;Artelia;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.arteliagroup.com/fr/project/trae-a-wooden-tower-at-the-highest-level/;Artelia is the engineer on TRÆ.
DK:K018;DK;TRÆ High-Rise;B→A;Lendager;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://lendager.com/project/trae;TRAE ... a 78-meter beacon of circular construction, showing that large-scale architecture can combine reused materials
DK:K019;DK;a:gain;A→B;Upcycle Studios Copenhag…;Bauteillieferung;Lieferte einen Viddø-Fensterprototyp.;Vorhabenspezifisch / Vorhaben;https://www.again.dk/project-references/upcycle-studios;In Upcycle Studios, 75% of the windows came from public housing in North Jutland
DK:K024;DK;Circue;—;GreenDozer ApS;Kooperationsvereinbarung;Verknüpften mit Revit.;Projektübergreifend / operativ;https://www.strateginetvaerket.dk/case-circue-digital-platform-baner-vejen-for-cirkulaert-byggeri-og-baeredygtig-transformation/;Den digitale materialebørs gør det muligt at eksportere genbrugsmaterialer fra markedspladser som Genbyg, J Jensen og Greendozer ind i Revit
DK:K030;DK;GreenDozer ApS;B→A;Kingo (Kingo Karlsen A/S);Konzernbindung;Investition.;Projektübergreifend / institutionell;https://greendozer.com/nyt-samarbejde-fremmer-genbrug-af-byggematerialer;Senest har tre store nedrivningsvirksomheder, P. Olesen, Kingo og Tscherning, investeret i virksomheden
DK:K031;DK;GreenDozer ApS;B→A;P. Olesen / PO Genbrug;Konzernbindung;Investition.;Projektübergreifend / institutionell;https://greendozer.com/nyt-samarbejde-fremmer-genbrug-af-byggematerialer;Senest har tre store nedrivningsvirksomheder, P. Olesen, Kingo og Tscherning, investeret i virksomheden
FI:K001;FI;Härmälänranta;B→A;A-Kruunu;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/city-of-tampere/;The building was built by Skanska for the client, affordable rental housing company A-Kruunu
FI:K002;FI;Härmälänranta;B→A;Skanska Finland;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/city-of-tampere/;The building was built by Skanska for the client, affordable rental housing company A-Kruunu
FI:K003;FI;Härmälänranta;B→A;Consolis Parma;Aufarbeitung;Aufarbeitung der Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/precast-concrete;were quality controlled and factory refurbished in Consolis Parma's factory in Kangasala
FI:K004;FI;Härmälänranta;B→A;Ramboll Finland;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/consolis-parma/;we at Ramboll developed designing the refurbishment of the reclaimed elements in collaboration with the factory
FI:K007;FI;Skanska Finland;—;Consolis Parma;Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/precast-concrete;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.
FI:K009;FI;Skanska Finland;—;Ramboll Finland;Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/precast-concrete;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.
FI:K010;FI;Skanska Finland;A→B;Lokomotion Technology Center;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;https://parma.fi/betonielementtien-uudelleenkayttoa-koeponnistettu-onnistuneesti-recreate-hankkeen-minipiloteissa/;In the ReCreate research project, companies have participated in Skanska's building projects, which serve as the study's minipilots.
FI:K011;FI;Skanska Finland;—;Tampereen kaupunki (City of Tampere);Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/precast-concrete;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.
FI:K013;FI;Consolis Parma;—;Ramboll Finland;Konsortialpartner;Bestimmte die Aufarbeitung Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/consolis-parma/;Consolis Parma used Ramboll's help determine suitable refurbishment measures
FI:K014;FI;Consolis Parma;A→B;Lokomotion Technology Center;Aufarbeitung;Aufarbeitung der Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://parma.fi/betonielementtien-uudelleenkayttoa-koeponnistettu-onnistuneesti-recreate-hankkeen-minipiloteissa/;In the ReCreate research project, companies have participated in Skanska's building projects, which serve as the study's minipilots.
FI:K015;FI;Consolis Parma;A→B;Melkinlaituri Primary School and Daycare Centre;Aufarbeitung;Aufarbeitung der Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/consolis-parma/;Slabs were transported to Consolis Parma's Nummela factory, where the refurbishment of the elements could begin
FI:K016;FI;Consolis Parma;—;Peikko Finland;Konsortialpartner;Erprobten demontierbare Betonverbindungen.;Vorhabenspezifisch / Vorhaben;https://www.peikko.com/blog/pilot-project-proves-that-the-dismount-and-reuse-of-concrete-elements-is-realistic-and-economical/;We implemented a pilot project at the end of 2021...to prove that the connecting technology between load-bearing structures enables easy dismantling and reassembly.
FI:K017;FI;Consolis Parma;—;Tampereen kaupunki (City of Tampere);Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/precast-concrete;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.
FI:K021;FI;Ramboll Finland;A→B;Lokomotion Technology Center;Fachplanung;Fachplanung.;Vorhabenspezifisch / Vorhaben;https://parma.fi/betonielementtien-uudelleenkayttoa-koeponnistettu-onnistuneesti-recreate-hankkeen-minipiloteissa/;In the ReCreate research project, companies have participated in Skanska's building projects, which serve as the study's minipilots.
FI:K022;FI;Ramboll Finland;A→B;Melkinlaituri Primary School and Daycare Centre;Prüfung und Nachweis;Prüfung der Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/consolis-parma/;Consolis Parma used Ramboll's help determine suitable refurbishment measures
FI:K024;FI;Ramboll Finland;—;Tampereen kaupunki (City of Tampere);Konsortialpartner;Arbeiteten im ReCreate-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/tag/precast-concrete;ReCreate's Finnish cluster is formed by Tampere University, Skanska, Consolis Parma, Ramboll Finland, Umacon, LIIKE architects, and the City of Tampere.
FI:K026;FI;Lokomotion Technology Center;B→A;ReCreate-Koordination / Faculty of Built Environment / Tampere University;Forschungsbegleitung;Forschungsbegleitung.;Vorhabenspezifisch / Vorhaben;https://recreate-project.eu/2026/02/24/second-reuse-mini-pilot-successful-in-finland/;The Finnish ReCreate cluster and Lokomotion Technology completed the second reuse mini-pilot.
FI:K027;FI;Melkinlaituri Primary School and Daycare Centre;B→A;Urban Environment Division / City of Helsinki;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://paatokset.hel.fi/fi/asia/hel-2024-003973;Melkinlaiturin peruskoulu ... Helsingin kaupunki
FI:K028;FI;Melkinlaituri Primary School and Daycare Centre;B→A;YIT;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;https://sustera.com/melkinlaituri-primary-school-and-day-care-centre-pilot-project-for-the-reuse-of-hollow-core-slabs/;YIT is delivering the Melkinlaituri school and day care centre for the City of Helsinki as a life-cycle project.
FI:K029;FI;Urban Environment Division / City of Helsinki;—;Kiilto Family;Gemeinsames Bauvorhaben;Erprobten wiederlösbare Fliesen.;Vorhabenspezifisch / Vorhaben;https://www.kiilto.fi/uutishuone/rakennusmateriaalit-jotka-elavat-useamman-kerran/;pilottihanke Forum Virium Helsingin ja Business Helsingin ARKI 135 kiertotaloushubin kanssa tarjoaa mahdollisuuden testata ja demonstroida teknologian toimivuutta
FI:K030;FI;ReCreate-Koordination / Faculty of Built Environment / Tampere University;—;SÄILÖ: Purusta säilöön ja kiertoon;Konsortialpartner;Verbundpartnerschaft.;Vorhabenspezifisch / Vorhaben;https://ekokumppanit.fi/hankkeet/sailo/;SÄILÖ-hanke toteutetaan yhteistyössä Oriveden kaupungin, Nokian kaupungin ja Tampereen yliopiston kanssa.
FI:K031;FI;ReCreate-Koordination / Faculty of Built Environment / Tampere University;—;Tampereen kaupunki (City of Tampere);Kooperationsvereinbarung;Stärken als Bildungs- und Wissenschaftsstandort.;Projektübergreifend / strategisch;https://www.tampere.fi/en/current/2026/02/19/strategic-partnership-between-tampere-universities-and-city-tampere;Strategic partnership between Tampere Universities and the City of Tampere
FI:K032;FI;Housing Design / Department of Architecture / Aalto University;—;VTT – Circularity in the Built Environment;Kooperationsvereinbarung;Forschen zur grünen und digitalen Transformation.;Projektübergreifend / strategisch;https://www.aalto.fi/en/corporate-collaboration/strategic-research-institute-partner-vtt;Aalto University and VTT have signed a strategic partnership agreement.
FI:K036;FI;Ekokumppanit (Kiertotalous Pirkanmaa);A→B;SÄILÖ: Purusta säilöön ja kiertoon;Trägerschaft;Trägt das federführend.;Vorhabenspezifisch / Vorhaben;https://ekokumppanit.fi/hankkeet/sailo/;Hankkeen päätoteuttajana toimii Ekokumppanien operoima Kiertotalous Pirkanmaa
FI:K038;FI;KIELO-Projektteam / Xamk;—;Mikkelin Kehitysyhtiö Miksei Oy;Konsortialpartner;Verbundpartnerschaft.;Vorhabenspezifisch / Vorhaben;https://mikseimikkeli.fi/hankkeet/kielo/;KIELO – Kiertotalousloikka rakennusmateriaalien uudelleenkäytön parantamiseksi Mikkelissä on Mikkelin kehitysyhtiö Miksei Oy:n ja Kaakkois-Suomen ammattikorkeakoulun yhteinen ryhmähanke.
FI:K039;FI;Mikkelin Kehitysyhtiö Miksei Oy;B→A;Purkupiha;Dienstleistungsbeziehung;Führte Rückbau im KIELO-Piloten aus.;Vorhabenspezifisch / Leistung;https://arkisto.mikseimikkeli.fi/hiilineutraalit-terasportaat-onnistunut-purkumateriaalien-uudelleenkayttokokeilu-mikkelissa/;Purkatyö toteutettiin yhteistyössä paikallisen rakennusliike OW-Yhtiöt Oy:n ja kohteen purku-urakoitsijaksi valikoituneen Purkupiha Oy:n kanssa.
FI:K040;FI;Purkutori.fi;B→A;Purkupiha;Betreiberschaft;Betreibt Marktplatz.;Projektübergreifend / institutionell;https://www.purkutori.fi/tietoja-meista;Purkutori.fi-palvelun tarjoaa Purkupiha Oy – yksi Suomen suurimmista purkuliikkeistä ja johtava suomalaisomisteinen rakennusten ja teollisuuden purkaja Suomessa.
FR:K006;FR;Cycle Up;—;ORAK;Kooperationsvereinbarung;Entwickelten eine Reuse-Lösung für Teppichfliesen.;Projektübergreifend / strategisch;https://site.cycle-up.fr/annonceur-plus-orak/;Aujourd'hui Orak propose, en partenariat avec Cycle Up, une solution globale pour dalles textiles neuves ou réemployées
FR:K008;FR;Cycle Up;—;TEXTIFLOOR;Kooperationsvereinbarung;Verbessern gemeinsam Bodenbelag-Reuse.;Projektübergreifend / strategisch;https://site.cycle-up.fr/textifloor-annonceurplus/;le partenariat Cycle Up X Textifloor a pour objectif de contribuer à l'amélioration de la chaine de valeur
FR:K010;FR;Réempro;A→B;CD2E;Mitgliedschaft;Mitgliedschaft im Netzwerk.;Projektübergreifend / institutionell;https://cd2e.com/portraits-adherents/reempro-cd2e-portraits-adherents/;Grâce à la notoriété du CD2E, nous avons pu bénéficier d'un grand réseau d'acteurs du réemploi et ainsi améliorer notre expertise sur le sujet.
FR:K015;FR;Circular Pavilion Paris;B→A;Encore Heureux;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://encoreheureux.org/en/projects/pavillon-circulaire;ENCORE HEUREUX ARCHITECTES (mandataires)
FR:K016;FR;Ferme du Rail Paris;B→A;Travail & Vie;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;https://www.ekopolis.fr/operations-batiment/la-ferme-du-rail;Dans les entreprises : Apijbat et Travail et Vie
FR:K017;FR;Ferme du Rail Paris;B→A;Réhabail;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://www.ekopolis.fr/operations-batiment/la-ferme-du-rail;La maîtrise d'ouvrage privée Réhabail a été un acteur moteur et volontaire dans la démarche de réemploi
FR:K018;FR;Ferme du Rail Paris;B→A;Pouget Consultants;Fachplanung;Fachplanung.;Vorhabenspezifisch / Vorhaben;https://grandhuit.eu/projet/ferme-du-rail/;Grand Huit avec Albert et cie (AMO), Scoping (BET TCE), Gamba (BET acoustique) et Toreana, Pouget (BE thermique), Mélanie Drevet paysagiste
FR:K020;FR;Ferme du Rail Paris;B→A;Albert & Co;Fachplanung;Fachplanung.;Vorhabenspezifisch / Vorhaben;https://grandhuit.eu/projet/ferme-du-rail/;rand huit avec albert et cie (amo), scoping (bet tce), gamba (bet acoustique) et toreana, pouget (be thermique), melanie drevet paysagi
FR:K021;FR;Grande Halle de Colombelles;B→A;Le WIP;Betrieb;Betrieb.;Vorhabenspezifisch / Vorhaben;https://www.ekopolis.fr/operations-batiment/grande-halle-de-colombelles;Le WIP, actuel exploitant du bâtiment, a été titulaire de ce lot Réemploi
FR:K022;FR;Maison des Canaux, Paris;B→A;Les Canaux;Betrieb;Betrieb.;Vorhabenspezifisch / Vorhaben;https://www.paris.fr/pages/les-canaux-une-maison-des-economies-solidaires-et-innovantes-4133;la Maison des Canaux, gérée par l'association Les Canaux
FR:K023;FR;Maison des Canaux, Paris;B→A;Ville de Paris;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://www.paris.fr/pages/l-economie-circulaire-au-coeur-du-chantier-de-la-maison-des-canaux-16966;La Ville de Paris a décidé d'en faire un chantier de travaux exemplaire, sur le plan environnemental, notamment en économie circulaire, et solidaire.
FR:K024;FR;Ville de Paris;A→B;Plateforme de réemploi des matériaux de voirie de la Ville de Paris;Betreiberschaft;Betreibt das Straßenbau-Depot.;Projektübergreifend / institutionell;https://www.paris.fr/pages/le-pave-parisien-a-l-epreuve-du-temps-7511;Tous les chantiers de voirie parisiens ont leur réserve de granit au cœur d'un immense dépôt de la Direction de la voirie et des déplacements à Bonneuil sur Marne.
FR:K025;FR;Résilience;B→A;Novaedia / Novædia;Betrieb;Betrieb.;Vorhabenspezifisch / Vorhaben;http://materiauxreemploi.com/visite-de-chantier-resilience-la-ferme-des-possibles-a-stains/;Le bâtiment accueillera en mars 2020 le siège social et les ateliers de Novaedia, coopérative à but d'insertion sociale
FR:K026;FR;Résilience;B→A;SOCOTEC;Prüfung und Nachweis;Prüfung der Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://topophile.net/faire/la-ferme-des-possibles-ou-de-la-serendipite/;contrôleur technique : SOCOTEC
FR:K027;FR;Résilience;B→A;Depuis 1920;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;http://materiauxreemploi.com/visite-de-chantier-resilience-la-ferme-des-possibles-a-stains/;Les châssis ont été déposés, transportés et retravaillés dans les ateliers de l'entreprise de menuiseries Depuis1920
FR:K028;FR;Résilience;B→A;Association Réavie;Bauteillieferung;Lieferte Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;http://materiauxreemploi.com/visite-de-chantier-resilience-la-ferme-des-possibles-a-stains/;L'association Réavie a préparé et livré des éléments tels que des WC, des luminaires, des poignées de portes, des mitigeurs
FR:K030;FR;Résilience;B→A;Archipel zéro;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;http://materiauxreemploi.com/visite-de-chantier-resilience-la-ferme-des-possibles-a-stains/;Conçu par l'agence d'architecture Frédéric Denise – Archipel Zéro, le projet illustre l'engagement de la maîtrise d'ouvrage
FR:K031;FR;La Fab Bordeaux;B→A;Collectif CANCAN;Dienstleistungsbeziehung;Arbeitete im Auftrag.;Vorhabenspezifisch / Leistung;https://www.collectifcancan.fr/project/promenade/;Commanditaire : La Fab
FR:K032;FR;Encore Heureux;A→B;REMIX / matériaux réemploi;Gründung;Mitgründung des Reuse-Büros.;Projektübergreifend / institutionell;https://encoreheureux.org/en/news/creation-d-un-bureau-d-etudes-dedie-au-reemploi;Encore Heureux Architectes et Morgan Moinet décident de fonder REMIX, un bureau d'études
FR:K033;FR;Mobius Réemploi;—;CSTB;Konsortialpartner;Arbeiteten im SPIROU-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi;le projet de recherche SPIROU (Sécuriser les Pratiques Innovantes de Réemploi via une Offre Unifiée) co-financé par l'ADEME, le CSTB et ses partenaires Mobius réemploi, le Booster du Réemploi / A4MT et Qualiconsult
FR:K034;FR;CANCAN Architecture;—;REFAIR Bordeaux;Zusammenarbeit, Art unklar;Begleitete beim Reuse-Vorhaben.;Vorhabenspezifisch / Leistung;https://refair-bm.fr/le-reemploi-cest-la-base/;REFAIR accompagne CANCAN Architecture sur le réemploi.
FR:K035;FR;CSTB;—;Bellastock;Konsortialpartner;Arbeiteten im FCRBE-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://lecho-circulaire.com/le-projet-fcrbe-facilite-le-reemploi-dans-la-construction/;Bellastock et le CSTB en France, Bruxelles-Environnement, Belgian Building Research Institute (BBRI) et la Confédération de la Construction en Belgique, la School of Architecture and Design de l'Université de Brighton et l'opérateur
FR:K038;FR;CSTB;—;Institut National de l'Économie Circulaire (INEC);Konsortialpartner;Arbeiteten im LIFE-Waste2Build-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://www.cstb.fr/toutes-les-actualites/economie-circulaire-batiment;Le CSTB a rejoint le consortium ... avec l'Institut National de l'Économie Circulaire.
FR:K039;FR;CSTB;—;Booster du Réemploi (A4MT);Konsortialpartner;Arbeiteten im SPIROU-Verbund zusammen.;Vorhabenspezifisch / Vorhaben;https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi;le projet de recherche SPIROU (Sécuriser les Pratiques Innovantes de Réemploi via une Offre Unifiée) co-financé par l'ADEME, le CSTB et ses partenaires Mobius réemploi, le Booster du Réemploi / A4MT et Qualiconsult
FR:K041;FR;Lascombes Matériaux Anciens;A→B;Lascombes Matériaux Anciens Sud-Ouest;Konzernbindung;Führt Sud- als Regionaldepot.;Projektübergreifend / institutionell;https://www.lascombes-sud-ouest.fr/p-infos-pratiques_fr.htm;Lascombes Sud-Ouest est le dépôt régional secondaire de l'entreprise.
FR:K044;FR;Booster du Réemploi (A4MT);—;CD2E;Kooperationsvereinbarung;Organisieren lokalen Reuse- gemeinsam.;Vorhabenspezifisch / Vorhaben;https://cd2e.com/domaines-dexpertise/economie-circulaire/booster-du-reemploi/;le CD2E et Action for Market Transformation – A4MT joignent leurs forces pour organiser un nouveau Booster du Réemploi local
GB:K002;GB;Gardiner & Theobald;A→B;BedZED;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://en.wikipedia.org/wiki/BedZED;led by the Peabody Trust in partnership with Bill Dunster Architects, Ellis & Moore Consulting Engineers, BioRegional, Arup and the cost consultants Gardiner and Theobald
GB:K003;GB;Gardiner & Theobald;A→B;55 Great Suffolk Street;Fachplanung;Fachplanung.;Vorhabenspezifisch / Vorhaben;https://asbp.org.uk/case-studies/55-great-suffolk-street;Gardiner & Theobald (Project Manager – reclaimed steel initiative)
GB:K016;GB;CascadeUp;B→A;UCL Circular Economy Lab;Forschungsbegleitung;Forschungsbegleitung.;Vorhabenspezifisch / Vorhaben;https://www.ucl.ac.uk/circular-economy-lab/research/reusing-wood-demolition-mass-timber-products;The pilot, known as CascadeUp, brings our bio-based, circular economy research to life.
GB:K017;GB;CascadeUp;B→A;UK CLT;Bauteillieferung;Lieferte Reuse-Holz.;Vorhabenspezifisch / Vorhaben;https://ukclt.com/;This pilot modular building uses glulamST for its structural frame, and CLST as wall and floor panels.
GB:K026;GB;Whitby Wood;A→B;The Engineers Reuse Collective (TERC);Gründung;Gründung als Mitgründerin.;Projektübergreifend / institutionell;https://terc.org.uk/news_launch/;The group has been founded by Buro Happold, Civic Engineers, Elliott Wood, Heyne Tillett Steel, Webb Yates Engineers and Whitby Wood, and is supported by The Institution of Structural Engineers.
GB:K030;GB;Brighton Waste House;B→A;Studierende, Schulkinder und Freiwillige;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;https://www.brighton.ac.uk/mrm/building-the-future/index.aspx;70 students worked on the Waste House in their workshops and over 250 students helped in total
GB:K038;GB;Hastings Pier Visitor Centre;B→A;National Lottery Heritage Fund;Förderung;Förderung.;Vorhabenspezifisch / Vorhaben;http://drmmstudio.com/project/hastings-pier/;Funding: Heritage Lottery Fund (£11.4 million grant)
GB:K041;GB;Holbein Gardens, London;B→A;Heyne Tillett Steel / HTS;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://asbp.org.uk/case-studies/holbein-gardens;Engineers and consultants: TFT (Sustainability Consultant) HTS (Structural Engineer)
GB:K042;GB;Holbein Gardens, London;B→A;Cleveland Steel & Tubes;Bauteillieferung;Lieferte Reuse-Stahl.;Vorhabenspezifisch / Vorhaben;https://terc.org.uk/54-2/;Steel supplier: Cleveland Steel & Tubes
GB:K044;GB;Holbein Gardens, London;B→A;TFT Consultants;Reuse-Konzept;Reuse-Konzept.;Vorhabenspezifisch / Vorhaben;https://asbp.org.uk/case-studies/holbein-gardens;Engineers and consultants: TFT (Sustainability Consultant)
GB:K046;GB;Heyne Tillett Steel / HTS;B→A;Cleveland Steel & Tubes;Lieferbeziehung;Liefert Reuse-Stahl.;Projektübergreifend / operativ;https://hts.uk.com/news-views/the-future-of-steel-reuse/;We work closely with Cleveland Steel & Tubes.
GB:K047;GB;Heyne Tillett Steel / HTS;A→B;The Engineers Reuse Collective (TERC);Gründung;Gründung als Mitgründerin.;Projektübergreifend / institutionell;https://hts.uk.com/news-views/introducing-the-engineers-reuse-collective/;Founding members include Heyne Tillett Steel.
