"fallstudie","relation","legacy_path","akteur_candidate","beziehung","vertrauensgrad"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__003__manoa_Landschaftsarchitekten","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","manoa Landschaftsarchitekten","Landschaft","belegt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__004__Weber_Br_nnimann_AG","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Weber + Brönnimann AG","Bauingenieurwesen","belegt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__005__EK_Energiekonzepte","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","EK Energiekonzepte","Bauphysik, Nachhaltigkeit und Haustechnik-Konzept im Wettbewerbsteam","teilweise belegt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Stiftung Abendrot / Vorsorgestiftung Abendrot","Bauherr / Eigentümer","belegt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","baubüro in situ","Architektur","belegt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Zirkular GmbH","Fachplanung Bauteilwiederverwendung / spätere Gründung","belegt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","ZHAW IKE","Forschung / Dokumentation","belegt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Oberli Ingenieurbau AG","Bauingenieur / Civil engineer","teilweise belegt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Josef Kolb AG","Holzbauingenieur","teilweise belegt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Wetter AG","Stahlbau","teilweise belegt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__001__Entra_MAD_FutureBuilt_Asplan_Viak_Insenti_Scenar","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Entra, MAD, FutureBuilt, Asplan Viak, Insenti, Scenario Interiørarkitekter, IWG/Spaces","Beteiligte Akteure","belegt"
"Kamikatsu_Zero_Waste_Center_Hotel_WHY","Kamikatsu_Zero_Waste_Center_Hotel_WHY__001__Hiroshi_Nakamura_NAP","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","Hiroshi Nakamura & NAP","Architektur","belegt"
"Kamikatsu_Zero_Waste_Center_Hotel_WHY","Kamikatsu_Zero_Waste_Center_Hotel_WHY__002__Yamada_Noriaki_Structural_Design_Office","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","Yamada Noriaki Structural Design Office","Tragwerksplanung","belegt"
"Kamikatsu_Zero_Waste_Center_Hotel_WHY","Kamikatsu_Zero_Waste_Center_Hotel_WHY__003__Kitajima_Corporation","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","Kitajima Corporation","Main contractor","belegt"
"Kamikatsu_Zero_Waste_Center_Hotel_WHY","Kamikatsu_Zero_Waste_Center_Hotel_WHY__004__Kamikatsu_Town_lokale_Einwohner","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","Kamikatsu Town / lokale Einwohner","Spender und Betreiberkontext","belegt"
"Kindergarten_Moeoeslistrasse_Manegg_Zuerich","Kindergarten_Moeoeslistrasse_Manegg_Zuerich__001__Stadt_Z_rich_Amt_f_r_Hochbauten_Immobilien_Stadt","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","Stadt Zürich, Amt für Hochbauten, Immobilien Stadt Zürich, Bischof Föhn Architektur, Zirkular GmbH, Meili Partner, Heierli, Haerter + Partner, Schmidiger + Rosasco, aik","Projektakteure","belegt"
"Liander_Alliander_HQ_Duiven","Liander_Alliander_HQ_Duiven__001__Alliander_Liander","Gebäude\Liander_Alliander_HQ_Duiven.md","Alliander / Liander","Bauherr / Nutzer","belegt"
"Lo_Reninge_Town_Hall_Facade","Lo_Reninge_Town_Hall_Facade__001__noAarchitecten","Gebäude\Lo_Reninge_Town_Hall_Facade.md","noAarchitecten","Architekturbüro","belegt"
"Lo_Reninge_Town_Hall_Facade","Lo_Reninge_Town_Hall_Facade__002__Dexia_Lo_Reninge_town_council","Gebäude\Lo_Reninge_Town_Hall_Facade.md","Dexia / Lo-Reninge town council","Auftraggeber / Nutzer","belegt"
"Lokomotion_Technology_Centre_mini_pilot_Tampere","Lokomotion_Technology_Centre_mini_pilot_Tampere__001__Satu_Huuhka_Tampere_University","Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","Satu Huuhka / Tampere University","ReCreate-Koordinatorin/Finnish cluster lead","belegt"
"Lokomotion_Technology_Centre_mini_pilot_Tampere","Lokomotion_Technology_Centre_mini_pilot_Tampere__002__Skanska_Finland","Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","Skanska Finland","Bauausführung / Contractor","belegt"
"Lokomotion_Technology_Centre_mini_pilot_Tampere","Lokomotion_Technology_Centre_mini_pilot_Tampere__003__Ramboll_Finland","Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","Ramboll Finland","Tragwerksplanung und Dokumentation für standortspezifische Zulassung","belegt"
"Lokomotion_Technology_Centre_mini_pilot_Tampere","Lokomotion_Technology_Centre_mini_pilot_Tampere__004__Consolis_Parma","Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","Consolis Parma","Aufbereitung der Hohlkörperdecken","belegt"
"Lokomotion_Technology_Centre_mini_pilot_Tampere","Lokomotion_Technology_Centre_mini_pilot_Tampere__005__Umacon","Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","Umacon","Rückbaupartner","teilweise belegt"
"Lycee_Michel_Lucius_Conversion_Luxembourg","Lycee_Michel_Lucius_Conversion_Luxembourg__001__Administration_des_b_timents_publics","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md","Administration des bâtiments publics","Bauherr / öffentlicher Auftraggeber","belegt"
"Lycee_Michel_Lucius_Conversion_Luxembourg","Lycee_Michel_Lucius_Conversion_Luxembourg__002__Schmets_architectes","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md","Schmets architectes","Architekt","belegt"
"Lycee_Michel_Lucius_Conversion_Luxembourg","Lycee_Michel_Lucius_Conversion_Luxembourg__003__Daedalus_Engineering","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md","Daedalus Engineering","Ingenieur / Projektbeteiligter","belegt"
"Maison_des_Canaux_Paris","Maison_des_Canaux_Paris__001__Les_Canaux_Ville_de_Paris_beteiligte_Sozialunter","Gebäude\Maison_des_Canaux_Paris.md","Les Canaux / Ville de Paris / beteiligte Sozialunternehmen","Akteure im Projektumfeld","teilweise belegt"
"Maison_DnA_Asse","Maison_DnA_Asse__001__BLAF_Architecten","Gebäude\Maison_DnA_Asse.md","BLAF Architecten","Architekt","belegt"
"Maison_DnA_Asse","Maison_DnA_Asse__002__Privat","Gebäude\Maison_DnA_Asse.md","Privat","Bauherr","teilweise belegt"
"Maison_Vignette_Auderghem","Maison_Vignette_Auderghem__001__Karbon_architecture_urbanisme","Gebäude\Maison_Vignette_Auderghem.md","Karbon’ architecture & urbanisme","Architekt","belegt"
"Maison_Vignette_Auderghem","Maison_Vignette_Auderghem__002__Pierre_Stoffel_BESP_Stoffel_Partners_Sofiane_Bou","Gebäude\Maison_Vignette_Auderghem.md","Pierre Stoffel / BESP Stoffel & Partners; Sofiane Boudahri","Tragwerks-/Engineering-Unterstützung","belegt"
"Mehrow_Pilot_House","Mehrow_Pilot_House__001__Herv_Biele_Conclus","Gebäude\Mehrow_Pilot_House.md","Hervé Biele / Conclus","Architekt/Planung im Pressekontext","teilweise belegt"
"Mehrow_Pilot_House","Mehrow_Pilot_House__002__Claus_Asam_IEMB","Gebäude\Mehrow_Pilot_House.md","Claus Asam / IEMB","Bauingenieur/Forschung im Pressekontext","teilweise belegt"
"Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__001__YIT","Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","YIT","Projektseite / Bauausführung im Lebenszyklusmodell","belegt"
"Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__002__Umacon","Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","Umacon","Rückbau Donor","belegt"
"Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__003__Ramboll_Finland","Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","Ramboll Finland","Vorbereitung Rückbau, technische Reusability, Nachweise","belegt"
"Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__004__Consolis_Parma","Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","Consolis Parma","Prüfung, Refurbishment, Produkt-Redesign","belegt"
"Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","Melkinlaituri_Primary_School_Daycare_Centre_Helsinki__005__ReCreate_Finnish_cluster","Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","ReCreate Finnish cluster","Prozess- und QA-Grundlage","belegt"
"Montessori_Maassluis","Montessori_Maassluis__001__Kraaijvanger_Architects","Gebäude\Montessori_Maassluis.md","Kraaijvanger Architects","Architektur","belegt"
"Montessori_Maassluis","Montessori_Maassluis__002__IMd_Raadgevende_Ingenieurs","Gebäude\Montessori_Maassluis.md","IMd Raadgevende Ingenieurs","Design team / Tragwerksbezug","belegt"
"Montessori_Maassluis","Montessori_Maassluis__003__Vintis_installatieadviseurs","Gebäude\Montessori_Maassluis.md","Vintis installatieadviseurs","TGA/Installationsberatung","belegt"
"Montessori_Maassluis","Montessori_Maassluis__004__VIA_Landscape","Gebäude\Montessori_Maassluis.md","VIA Landscape","Landschaftsplanung","belegt"
"Montessori_Maassluis","Montessori_Maassluis__005__Van_Dijk_Maasland_B_V","Gebäude\Montessori_Maassluis.md","Van Dijk Maasland B.V.","Bauunternehmen / Partner","belegt"
"Montessori_Maassluis","Montessori_Maassluis__006__A_de_Jong_Groep","Gebäude\Montessori_Maassluis.md","A. de Jong Groep","Projektpartner","belegt"
"Multi_Brussels_Reuse_in_MULTI","Multi_Brussels_Reuse_in_MULTI__001__Whitewood_Immobel_CONIX_RDBM_Cordeel_Rotor_Rotor","Gebäude\Multi_Brussels_Reuse_in_MULTI.md","Whitewood, Immobel, CONIX RDBM, Cordeel, Rotor, RotorDC, Madaster/EPEA","Bauherr/Entwickler, Architektur, Ausführung, Reuse-Beratung, Materialpass","belegt"
"Musee_de_Folklore_Mouscron","Musee_de_Folklore_Mouscron__001__V_Projectiles","Gebäude\Musee_de_Folklore_Mouscron.md","V+ / Projectiles","Architekt / Szenografie","belegt"
"Musee_de_Folklore_Mouscron","Musee_de_Folklore_Mouscron__002__Simon_Boudvin","Gebäude\Musee_de_Folklore_Mouscron.md","Simon Boudvin","Künstler / Reuse-Konzept","belegt"
"Musee_de_Folklore_Mouscron","Musee_de_Folklore_Mouscron__003__Bureau_Bouwtechniek_Greisch_Daidalos_Peutz_Takty","Gebäude\Musee_de_Folklore_Mouscron.md","Bureau Bouwtechniek, Greisch, Daidalos Peutz, Taktyk","Partner / Ingenieurwesen / Landschaft","belegt"
"Peoples_Pavilion_Eindhoven","Peoples_Pavilion_Eindhoven__001__bureau_SLA","Gebäude\Peoples_Pavilion_Eindhoven.md","bureau SLA","Entwurf","belegt"
"Peoples_Pavilion_Eindhoven","Peoples_Pavilion_Eindhoven__002__Overtreders_W","Gebäude\Peoples_Pavilion_Eindhoven.md","Overtreders W","Entwurf","belegt"
"Peoples_Pavilion_Eindhoven","Peoples_Pavilion_Eindhoven__003__Dutch_Design_Foundation","Gebäude\Peoples_Pavilion_Eindhoven.md","Dutch Design Foundation","Auftraggeber","belegt"
"Peoples_Pavilion_Eindhoven","Peoples_Pavilion_Eindhoven__004__Arup","Gebäude\Peoples_Pavilion_Eindhoven.md","Arup","structural engineering","belegt"
"Peoples_Pavilion_Eindhoven","Peoples_Pavilion_Eindhoven__005__Ham_Sybesma","Gebäude\Peoples_Pavilion_Eindhoven.md","Ham & Sybesma","main builder","belegt"
"Peoples_Pavilion_Eindhoven","Peoples_Pavilion_Eindhoven__006__New_Horizon","Gebäude\Peoples_Pavilion_Eindhoven.md","New Horizon","urban mining advice","belegt"
"Plattenpalast_Berlin","Plattenpalast_Berlin__001__Anna_Hopp_Carsten_Wiewiorra_Wiewiorra_Hopp_Archi","Gebäude\Plattenpalast_Berlin.md","Anna Hopp, Carsten Wiewiorra / Wiewiorra Hopp Architekten","Architekt:innen / Initiator:innen","belegt"
"PLP_London_HQ_Circular_Studio_Fitout","PLP_London_HQ_Circular_Studio_Fitout__001__PLP_Architecture","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","PLP Architecture","Bauherr / Nutzer / Entwurf","belegt"
"PLP_London_HQ_Circular_Studio_Fitout","PLP_London_HQ_Circular_Studio_Fitout__002__Method","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","Method","Contractor","belegt"
"PLP_London_HQ_Circular_Studio_Fitout","PLP_London_HQ_Circular_Studio_Fitout__003__Maconda","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","Maconda","Material passporting / reuse data","belegt"
"PLP_London_HQ_Circular_Studio_Fitout","PLP_London_HQ_Circular_Studio_Fitout__004__Contrax_Furniture","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","Contrax Furniture","Joinery/Furniture","belegt"
"PLP_London_HQ_Circular_Studio_Fitout","PLP_London_HQ_Circular_Studio_Fitout__005__Solus","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","Solus","Terrazzo Feature","belegt"
"PLP_London_HQ_Circular_Studio_Fitout","PLP_London_HQ_Circular_Studio_Fitout__006__Grants_of_Shoreditch","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","Grants of Shoreditch","reclaimed marble","belegt"
"ReCrete_footbridge_reused_concrete_blocks","ReCrete_footbridge_reused_concrete_blocks__001__Julie_Dev_nes_Jan_Br_tting_C_lia_K_pfer_Mal_na_B","Gebäude\ReCrete_footbridge_reused_concrete_blocks.md","Julie Devènes, Jan Brütting, Célia Küpfer, Maléna Bastien-Masse, Corentin Fivet","Autor:innen / Projektteam im Forschungskontext","belegt"
"Recyclinghaus_Hannover","Recyclinghaus_Hannover__001__Nils_Nolting_CITYF_RSTER","Gebäude\Recyclinghaus_Hannover.md","Nils Nolting / CITYFÖRSTER","Architektur/Projektkommunikation","teilweise belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__001__Bruxelles_Propret_Net_Brussel","Gebäude\Recypark_Demets_Anderlecht.md","Bruxelles-Propreté / Net Brussel","Bauherr / öffentlicher Auftraggeber","belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__002__51N4E","Gebäude\Recypark_Demets_Anderlecht.md","51N4E","Architekt / Designteam","belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__003__Witteveen_Bos","Gebäude\Recypark_Demets_Anderlecht.md","Witteveen+Bos","Structural engineer / Team","belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__004__Rotor_asbl","Gebäude\Recypark_Demets_Anderlecht.md","Rotor asbl","Reuse-Expertise / Design assistance","belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__005__Bureau_Greisch","Gebäude\Recypark_Demets_Anderlecht.md","Bureau Greisch","Engineer reused arches / Holzexpertise","belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__006__D_tang","Gebäude\Recypark_Demets_Anderlecht.md","Détang","technischer Ingenieur","belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__007__SecuriSan","Gebäude\Recypark_Demets_Anderlecht.md","SecuriSan","Sicherheitskoordination","belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__008__Les_Marneurs_Janne_Saario","Gebäude\Recypark_Demets_Anderlecht.md","Les Marneurs / Janne Saario","Skatepark-Design","belegt"
"Recypark_Demets_Anderlecht","Recypark_Demets_Anderlecht__009__Art_Valens","Gebäude\Recypark_Demets_Anderlecht.md","Art Valens","Builder","teilweise belegt"
"Resilience_La_Ferme_des_Possibles_Stains","Resilience_La_Ferme_des_Possibles_Stains__001__Novaedia_Nov_dia","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","Novaedia / Novædia","Bauherr / Nutzer","belegt"
"Resilience_La_Ferme_des_Possibles_Stains","Resilience_La_Ferme_des_Possibles_Stains__002__Fr_d_ric_Denise_Archipel_Z_ro","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","Frédéric Denise / Archipel Zéro","Architekt","belegt"
"Resilience_La_Ferme_des_Possibles_Stains","Resilience_La_Ferme_des_Possibles_Stains__003__Bellastock","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","Bellastock","AMO Reuse + MOE Reuse-Lose","belegt"
"Resilience_La_Ferme_des_Possibles_Stains","Resilience_La_Ferme_des_Possibles_Stains__004__SOCOTEC","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","SOCOTEC","technischer Kontrolleur","belegt"
"Resilience_La_Ferme_des_Possibles_Stains","Resilience_La_Ferme_des_Possibles_Stains__005__Depuis_1920","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","Depuis 1920","Reuse-Fenster / Prototyping und Montage","belegt"
"Resilience_La_Ferme_des_Possibles_Stains","Resilience_La_Ferme_des_Possibles_Stains__006__Terraterre","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","Terraterre","BTC","belegt"
"Resource_Rows_Copenhagen","Resource_Rows_Copenhagen__001__Lendager_Group_Lendager_Architects","Gebäude\Resource_Rows_Copenhagen.md","Lendager Group / Lendager Architects","Architektur / Circular Design","belegt"
"Saxum_Vineyard_Equipment_Barn_Paso_Robles","Saxum_Vineyard_Equipment_Barn_Paso_Robles__001__Saxum_Vineyards","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md","Saxum Vineyards","Bauherr / Betreiber","belegt"
"Saxum_Vineyard_Equipment_Barn_Paso_Robles","Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Clayton_Little_Clayton_Korte","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md","Clayton & Little / Clayton Korte","Architekt","belegt"
"Saxum_Vineyard_Equipment_Barn_Paso_Robles","Saxum_Vineyard_Equipment_Barn_Paso_Robles__003__SSG_Structural_Engineers","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md","SSG Structural Engineers","Tragwerksplanung","belegt"
"Saxum_Vineyard_Equipment_Barn_Paso_Robles","Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Rarig_Construction","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md","Rarig Construction","General Contractor","belegt"
"Superlocal_Expogebouw_Bleijerheide","Superlocal_Expogebouw_Bleijerheide__001__Maurer_United","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","Maurer United","Architekt / Entwurf","belegt"
"Superlocal_Expogebouw_Bleijerheide","Superlocal_Expogebouw_Bleijerheide__002__HEEMwonen","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","HEEMwonen","Auftraggeber / Partner","belegt"
"Superlocal_Expogebouw_Bleijerheide","Superlocal_Expogebouw_Bleijerheide__003__Gemeinde_Kerkrade_IBA_Parkstad","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","Gemeinde Kerkrade, IBA Parkstad","Partner / Koordination","belegt"
"Superlocal_Expogebouw_Bleijerheide","Superlocal_Expogebouw_Bleijerheide__004__Volantis","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","Volantis","Konstrukteur","belegt"
"Superlocal_Expogebouw_Bleijerheide","Superlocal_Expogebouw_Bleijerheide__005__Dusseldorp","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","Dusseldorp","Rückbauunternehmen / Materiallieferant","belegt"
"Superlocal_Expogebouw_Bleijerheide","Superlocal_Expogebouw_Bleijerheide__006__Bouwbedrijven_Jongen","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","Bouwbedrijven Jongen","Bauunternehmen","belegt"
"Svanen_Kindergarten_Gladsaxe","Svanen_Kindergarten_Gladsaxe__001__Gladsaxe_Municipality_Gladsaxe_Kommune","Gebäude\Svanen_Kindergarten_Gladsaxe.md","Gladsaxe Municipality / Gladsaxe Kommune","Bauherr / Kommune","belegt"
"Svanen_Kindergarten_Gladsaxe","Svanen_Kindergarten_Gladsaxe__002__Lendager","Gebäude\Svanen_Kindergarten_Gladsaxe.md","Lendager","Architekturberatung, Nachhaltigkeitsberatung, Demolition tender","belegt"
"Svanen_Kindergarten_Gladsaxe","Svanen_Kindergarten_Gladsaxe__003__Sweco_Sweco_Architects","Gebäude\Svanen_Kindergarten_Gladsaxe.md","Sweco / Sweco Architects","Kollaborateur / Architekt","belegt"
"Svanen_Kindergarten_Gladsaxe","Svanen_Kindergarten_Gladsaxe__004__NIRAS","Gebäude\Svanen_Kindergarten_Gladsaxe.md","NIRAS","Kollaborateur","belegt"
"Svanen_Kindergarten_Gladsaxe","Svanen_Kindergarten_Gladsaxe__005__Tscherning_Ason_A_S_Aksel_V_Jensen","Gebäude\Svanen_Kindergarten_Gladsaxe.md","Tscherning, Ason A/S, Aksel V. Jensen","Projektteam laut Troldtekt","teilweise belegt"
"The_Green_House_Utrecht","The_Green_House_Utrecht__001__cepezed","Gebäude\The_Green_House_Utrecht.md","cepezed","Architektur","belegt"
"The_Green_House_Utrecht","The_Green_House_Utrecht__002__Rijksvastgoedbedrijf_Central_Government_Real_Est","Gebäude\The_Green_House_Utrecht.md","Rijksvastgoedbedrijf / Central Government Real Estate Agency","Primärer Auftraggeber","belegt"
"The_Green_House_Utrecht","The_Green_House_Utrecht__003__R_Creators","Gebäude\The_Green_House_Utrecht.md","R Creators","Konsortium / Vertragsauftraggeber","belegt"
"The_Green_House_Utrecht","The_Green_House_Utrecht__004__Pieters_Bouwtechniek","Gebäude\The_Green_House_Utrecht.md","Pieters Bouwtechniek","Tragwerksplanung","belegt"
"The_Green_House_Utrecht","The_Green_House_Utrecht__005__Strukton_Worksphere","Gebäude\The_Green_House_Utrecht.md","Strukton Worksphere","Gebäudetechnik","belegt"
"The_Green_House_Utrecht","The_Green_House_Utrecht__006__Ballast_Nedam","Gebäude\The_Green_House_Utrecht.md","Ballast Nedam","Hauptauftragnehmer","belegt"
"The_Green_House_Utrecht","The_Green_House_Utrecht__007__Kampstaal","Gebäude\The_Green_House_Utrecht.md","Kampstaal","Stahlbau","belegt"
"The_Green_House_Utrecht","The_Green_House_Utrecht__008__De_Groot_Visser","Gebäude\The_Green_House_Utrecht.md","De Groot & Visser","Fassaden","belegt"
"Thoravej_29_Copenhagen","Thoravej_29_Copenhagen__001__Bikubenfonden_Pihlmann_Architects_Hoffmann_A_S_A","Gebäude\Thoravej_29_Copenhagen.md","Bikubenfonden; Pihlmann Architects; Hoffmann A/S; ABC Rådgivende Ingeniører; Sara Martinsen; DTU Kristoffer Negendahl/Negeldahl","Akteure","teilweise belegt"
"Timber_Square_London","Timber_Square_London__001__Landsec_Bennetts_Associates_HTS_Mace_Hoare_Lea_A","Gebäude\Timber_Square_London.md","Landsec, Bennetts Associates, HTS, Mace, Hoare Lea, Alinea/T+T Alinea, Opera, Stora Enso, Hybrid Structures, Cleveland Steel & Tubes","Projektteam / Lieferkette","belegt/teilweise"
"TRAE_High_Rise_Aarhus","TRAE_High_Rise_Aarhus__001__Lendager","Gebäude\TRAE_High_Rise_Aarhus.md","Lendager","Architekt / zirkuläres Design","belegt"
"TRAE_High_Rise_Aarhus","TRAE_High_Rise_Aarhus__002__Artelia_Group","Gebäude\TRAE_High_Rise_Aarhus.md","Artelia Group","Tragwerk, TGA, Brandschutz, Barrierefreiheit","belegt"
"Upcycle_Studios_Copenhagen","Upcycle_Studios_Copenhagen__001__NREP_AG_Gruppen_Lendager_MOE_Artelia_BOGL","Gebäude\Upcycle_Studios_Copenhagen.md","NREP, AG Gruppen, Lendager, MOE, Artelia, BOGL","Beteiligte","teilweise belegt"
"Verbiest_Karreveld_Brussels","Verbiest_Karreveld_Brussels__001__AgwA","Gebäude\Verbiest_Karreveld_Brussels.md","AgwA","Architektur beider Projekte","belegt"
"Verbiest_Karreveld_Brussels","Verbiest_Karreveld_Brussels__002__Evelia_Macal","Gebäude\Verbiest_Karreveld_Brussels.md","Evelia Macal","Mitwirkend bei Verbiest","belegt"
"Verbiest_Karreveld_Brussels","Verbiest_Karreveld_Brussels__003__JZH_Partners","Gebäude\Verbiest_Karreveld_Brussels.md","JZH & Partners","Tragwerksplanung / Subcontractor","belegt"
"Verbiest_Karreveld_Brussels","Verbiest_Karreveld_Brussels__004__Daidalos_Peutz_Sixco","Gebäude\Verbiest_Karreveld_Brussels.md","Daidalos Peutz, Sixco","Subcontractors Karreveld 1","belegt"
"Verbiest_Karreveld_Brussels","Verbiest_Karreveld_Brussels__005__Kahle_Acoustics_Denis_Dujardin","Gebäude\Verbiest_Karreveld_Brussels.md","Kahle Acoustics, Denis Dujardin","Subcontractors Karreveld 2","belegt"
"Verbiest_Karreveld_Brussels","Verbiest_Karreveld_Brussels__006__Pouvoir_Organisateur_Pluriel_POP","Gebäude\Verbiest_Karreveld_Brussels.md","Pouvoir Organisateur Pluriel / POP","Schulträger / Bauherr-Kontext Karreveld","belegt"
"Villa_Welpeloo_Enschede","Villa_Welpeloo_Enschede__001__Jan_Jongert_Jeroen_Bergsma_Team_Superuse_2012Arc","Gebäude\Villa_Welpeloo_Enschede.md","Jan Jongert, Jeroen Bergsma, Team Superuse/2012Architecten","Entwurf und Materialstrategie","belegt"
"Woongroep_Boschgaard_Den_Bosch","Woongroep_Boschgaard_Den_Bosch__001__Bewohnerinitiative_Zayaz_Superuse_Studios_Bouwbe","Gebäude\Woongroep_Boschgaard_Den_Bosch.md","Bewohnerinitiative, Zayaz, Superuse Studios, Bouwbedrijf Versteegden, Transfarmers, VanNimwegen","Projektakteure","teilweise belegt"
"Zinneke_Feder_Masui4ever_Brussels","Zinneke_Feder_Masui4ever_Brussels__001__Zinneke_asbl","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","Zinneke asbl","Nutzerin / Bauherrin bzw. Auftraggeberin","belegt"
"Zinneke_Feder_Masui4ever_Brussels","Zinneke_Feder_Masui4ever_Brussels__002__Rotor","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","Rotor","Reuse-Expertise / Projektbeteiligte","belegt"
