"source","relation","target","raw_label","legacy_path","proposed_action","proposed_target","proposed_relation","proposal_confidence","reviewer_note"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__007__Sanit_r_Waschbecken_Toiletten","has_huerde","huerde/Performance_Nachweis","Hygiene/Gewährleistung","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","approve_move","huerde/Hygieneanforderung","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","Hygiene is an explicit requirement/barrier."
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__006__T_ren","has_huerde","huerde/Performance_Nachweis","Leistungsnachweis","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","approve_move","huerde/Technische_Freigabe","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","The barrier is missing/uncertain proof or approval."
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__004__Fenster","has_huerde","huerde/Performance_Nachweis","Leistungsnachweis","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","approve_move","huerde/Technische_Freigabe","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","The barrier is missing/uncertain proof or approval."
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__006__EPS_D_mmung","has_huerde","huerde/Performance_Nachweis","Leistungsnachweis","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","approve_move","huerde/Technische_Freigabe","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","The barrier is missing/uncertain proof or approval."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__009__Office_fronts_Innenverglasung","has_huerde","huerde/Performance_Nachweis","Maße/Performance","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","approve_move","huerde/Technische_Freigabe","has_huerde","REVIEW","Likely technical approval/proof barrier, but verify whether a pruefung_nachweis edge is better."
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__011__D_mmplatten","has_huerde","huerde/Performance_Nachweis","Material- und Leistungsnachweis","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","approve_move","huerde/Technische_Freigabe","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","The barrier is missing/uncertain proof or approval."
"reuse_einsatz/Musee_de_Folklore_Mouscron__002__Neue_Ziegel","has_huerde","huerde/Performance_Nachweis","nötig zur Begrenzung von Tests/Stabilitätsaufwand","Gebäude\Musee_de_Folklore_Mouscron.md","approve_move","huerde/Technische_Freigabe","has_huerde","REVIEW","Likely technical approval/proof barrier, but verify whether a pruefung_nachweis edge is better."
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__002__Fensterrahmen","has_huerde","huerde/Performance_Nachweis","Performance alter Fenster","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","approve_move","huerde/Technische_Freigabe","has_huerde","REVIEW","Likely technical approval/proof barrier, but verify whether a pruefung_nachweis edge is better."
"reuse_einsatz/Musee_de_Folklore_Mouscron__001__Fassadenziegel","has_huerde","huerde/Performance_Nachweis","Test-/Stabilitätsaufwand; Quellenabweichung Menge","Gebäude\Musee_de_Folklore_Mouscron.md","approve_move","huerde/Technische_Freigabe","has_huerde","REVIEW","Likely technical approval/proof barrier, but verify whether a pruefung_nachweis edge is better."
"reuse_einsatz/Maison_DnA_Asse__009__D_mmung","has_huerde","huerde/Performance_Nachweis","unbekannte Werte","Gebäude\Maison_DnA_Asse.md","approve_move","huerde/Technische_Freigabe","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","The barrier is missing/uncertain proof or approval."
"reuse_einsatz/Plattenpalast_Berlin__002__Fenster_inkl_Rahmen","has_huerde","huerde/Performance_Nachweis","Alter, Leistung, Dichtheit","Gebäude\Plattenpalast_Berlin.md","approve_split","huerde/Dauerhaftigkeit_Restlebensdauer; leistungsanforderung/Feuchteschutz","has_huerde; has_leistungsanforderung","REVIEW","Potential durability/fitness issue; check exact source context."
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__003__Holz_Alu_Fenster_Au_enfenster","has_huerde","huerde/Performance_Nachweis","Brandschutz/Energieanforderungen komplizierter als Sanitär","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","approve_split","huerde/Brandschutzkonflikt; leistungsanforderung/Brandschutz","has_huerde; has_leistungsanforderung","REVIEW","Separate the barrier from the performance requirement."
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__002__Dachbleche","has_huerde","huerde/Performance_Nachweis","Dichtheit, Befestigung","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","approve_split","huerde/Dauerhaftigkeit_Restlebensdauer; leistungsanforderung/Feuchteschutz","has_huerde; has_leistungsanforderung","REVIEW","Potential durability/fitness issue; check exact source context."
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__004__Stahltr_ger_und_Trapezbleche_Dach","has_huerde","huerde/Performance_Nachweis","Korrosion, Dichtheit","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","approve_split","huerde/Dauerhaftigkeit_Restlebensdauer; leistungsanforderung/Feuchteschutz","has_huerde; has_leistungsanforderung","REVIEW","Potential durability/fitness issue; check exact source context."
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","has_huerde","huerde/Performance_Nachweis","Akzeptanz Installateur, Gewährleistung","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__009__Sanit_rapparate_Lavabos_Toiletten","has_huerde","huerde/Performance_Nachweis","Aufbereitung, Gewährleistung","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Maison_DnA_Asse__003__innere_Box","has_huerde","huerde/Performance_Nachweis","Energieanforderungen","Gebäude\Maison_DnA_Asse.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__010__Sanit_rapparate","has_huerde","huerde/Performance_Nachweis","Gewährleistung","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Recyclinghaus_Hannover__010__Waschbecken_Sanit_r","has_huerde","huerde/Performance_Nachweis","Gewährleistung","Gebäude\Recyclinghaus_Hannover.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__010__WC_und_Handwaschbecken","has_huerde","huerde/Performance_Nachweis","Gewährleistung","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/TRAE_High_Rise_Aarhus__004__wiederverwendete_upgecycelte_Fenster","has_huerde","huerde/Performance_Nachweis","Gewährleistung","Gebäude\TRAE_High_Rise_Aarhus.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__007__WC_Sanit_r","has_huerde","huerde/Performance_Nachweis","Gewährleistung","Gebäude\Woongroep_Boschgaard_Den_Bosch.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__007__Heizk_rper","has_huerde","huerde/Performance_Nachweis","Gewährleistung / Hydraulik","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__002__Aluminium_Fassadensystem","has_huerde","huerde/Performance_Nachweis","Maßanpassung, Gestaltung, Gewährleistung","Gebäude\Woongroep_Boschgaard_Den_Bosch.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__009__K_che_K_chenunit","has_huerde","huerde/Performance_Nachweis","nicht als loses Möbel werten","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/Upcycle_Studios_Copenhagen__001__Fenster_Doppelverglasung","has_huerde","huerde/Performance_Nachweis","Produktdaten, Maße, Gewährleistung","Gebäude\Upcycle_Studios_Copenhagen.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__006__Radiatoren","has_huerde","huerde/Performance_Nachweis","technische Gewährleistung","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","keep_review","","","REVIEW_REQUIRED","Unclear proof/performance barrier; review manually."
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","uses_material","material/Metall","Stahl/Metall","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","approve_move","material/Stahl","uses_material","CONFIDENT_IF_SOURCE_CLEAR","Use Stahl when the raw source names steel; keep Metall only if steel is merely an example."
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__005__Stahlfassadenelemente_facade_panels","uses_material","material/Metall","Stahl/Metall","Gebäude\Svanen_Kindergarten_Gladsaxe.md","approve_move","material/Stahl","uses_material","CONFIDENT_IF_SOURCE_CLEAR","Use Stahl when the raw source names steel; keep Metall only if steel is merely an example."
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__002__Dachbleche","uses_material","material/Metall","Metall/Aluminium/Stahl unbekannt","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","approve_split","material/Aluminium; material/Stahl","uses_material","REVIEW","Exact metals appear, but the source is mixed/uncertain; verify whether both should be linked."
"reuse_einsatz/TRAE_High_Rise_Aarhus__004__wiederverwendete_upgecycelte_Fenster","uses_material","material/Metall","Glas/Holz/Metall","Gebäude\TRAE_High_Rise_Aarhus.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__001__Fassadenfenster","uses_material","material/Metall","Glas/Holz/Metall, gemischt","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__007__Glast_ren","uses_material","material/Metall","Glas/Metall/Holz","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__007__Fenster","uses_material","material/Metall","Glas/Metall/Holz unbekannt","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__004__Fenster","uses_material","material/Metall","Glas/Metall/Holz unbekannt","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__009__Feste_Ausstattung_Garderobe","uses_material","material/Metall","Holz/Metall","Gebäude\Woongroep_Boschgaard_Den_Bosch.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__008__T_ren_inkl_Brandschutzt_ren","uses_material","material/Metall","Holz/Metall, unbekannt","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__005__T_ren_Schiebet_ren","uses_material","material/Metall","Holz/Metall/Glas","Gebäude\Woongroep_Boschgaard_Den_Bosch.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","uses_material","material/Metall","Holz/Metall/Glas unbekannt","Gebäude\BedZED_London_Hackbridge.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__008__T_ren","uses_material","material/Metall","Holz/Metall/Glas unbekannt","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__010__T_ren","uses_material","material/Metall","Holz/Metall/Glas unbekannt","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__007__T_ren_W_nde_Einbauten","uses_material","material/Metall","Holz/Metall/sonstige","Gebäude\Multi_Brussels_Reuse_in_MULTI.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Maison_des_Canaux_Paris__003__Sanit_rkeramik_Sanit_rteile","uses_material","material/Metall","Keramik / Metall","Gebäude\Maison_des_Canaux_Paris.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__008__Sanit_robjekte","uses_material","material/Metall","Keramik/Metall","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Grande_Halle_de_Colombelles__003__Waschbecken_Sanit_r","uses_material","material/Metall","Keramik/Metall","Gebäude\Grande_Halle_de_Colombelles.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__007__Sanit_r_Waschbecken_Toiletten","uses_material","material/Metall","Keramik/Metall","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__009__Sanit_rapparate_Lavabos_Toiletten","uses_material","material/Metall","Keramik/Metall","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Recyclinghaus_Hannover__010__Waschbecken_Sanit_r","uses_material","material/Metall","Keramik/Metall","Gebäude\Recyclinghaus_Hannover.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Recyclinghaus_Hannover__011__Fliesen_Kronkorken_Mosaik","uses_material","material/Metall","Keramik/Metall","Gebäude\Recyclinghaus_Hannover.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__010__WC_und_Handwaschbecken","uses_material","material/Metall","Keramik/Metall","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__007__WC_Sanit_r","uses_material","material/Metall","Keramik/Metall","Gebäude\Woongroep_Boschgaard_Den_Bosch.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale","uses_material","material/Metall","Metall","Gebäude\AWM_Muenster_Circular_Office.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Ferme_du_Rail_Paris__009__Metallteile","uses_material","material/Metall","Metall","Gebäude\Ferme_du_Rail_Paris.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__009__Heizk_rper_Radiatoren","uses_material","material/Metall","Metall","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Jeugdkliniek_Ithaka_Emergis_Kloetinge__008__Hang_und_Schlie_werk","uses_material","material/Metall","Metall","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__005__Fassadenbleche_Profilbleche","uses_material","material/Metall","Metall","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__006__Radiatoren","uses_material","material/Metall","Metall","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__005__Gel_nder_Br_stungsgel_nder","uses_material","material/Metall","Metall","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__005__Metall_Deckenpaneele","uses_material","material/Metall","Metall","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Recyclinghaus_Hannover__005__Wellblech","uses_material","material/Metall","Metall","Gebäude\Recyclinghaus_Hannover.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__003__Heizk_rper_Radiatoren","uses_material","material/Metall","Metall","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__007__Gel_nder","uses_material","material/Metall","Metall","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__006__Aufzugsmotoren","uses_material","material/Metall","Metall / Technik","Gebäude\Multi_Brussels_Reuse_in_MULTI.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","uses_material","material/Metall","Metall / unbekannt","Gebäude\BlueCity_Offices_Rotterdam.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","uses_material","material/Metall","Metall, Elektrokomponenten","Gebäude\AWM_Muenster_Circular_Office.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__008__Leuchten","uses_material","material/Metall","Metall/Elektrik","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","keep_review","","","REVIEW_REQUIRED","Raw label says only Metall; approve only if you accept Metall as a deliberate fallback."
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__005__Vorhangfassadenelemente_Blech_Glas","uses_material","material/Metall","Metall/Glas","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","uses_material","material/Metall","Metall/Glas unbekannt","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Verbiest_Karreveld_Brussels__008__Verbiest_Gel_nder","uses_material","material/Metall","Metall/Holz unbekannt","Gebäude\Verbiest_Karreveld_Brussels.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__008__L_ftungskan_le_ducts_and_pipes","uses_material","material/Metall","Metall/Kunststoff","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Villa_Welpeloo_Enschede__006__Regenschirmrippen_Leuchten","uses_material","material/Metall","Metall/Kunststoff","Gebäude\Villa_Welpeloo_Enschede.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__008__Kabelgoten_Notbeleuchtung","uses_material","material/Metall","Metall/Kunststoff/Elektro","Gebäude\Woongroep_Boschgaard_Den_Bosch.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
"reuse_einsatz/Boulder_Fire_Station_3__005__PV_Dach_gro_e_Dachfl_che","uses_material","material/Metall","Photovoltaik/Metall","Gebäude\Boulder_Fire_Station_3.md","keep_review","","","REVIEW_REQUIRED","Mixed or unknown material bundle; do not create broad material/Metall edge automatically."
