"fallstudie","reuse_einsatz","legacy_path","bauteil","material","herkunft","menge_umfang"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__001__Wandplatten","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Wandplatten","Stahlbetonfertigteil / P2","Massenwohnungsbau","26 Stück"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Deckenplatten","Stahlbetonfertigteil / P2","Massenwohnungsbau","50 Stück"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__003__Fassaden_Au_enwandanteile","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Fassaden-/Außenwandanteile","Stahlbetonfertigteil?","P2-Platten","unbekannt"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__004__Fenster","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Fenster","unbekannt","unbekannt","unbekannt"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__005__T_ren","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Türen","unbekannt","unbekannt","unbekannt"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__006__Dach","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Dach","unbekannt","unbekannt","unbekannt"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__007__Treppen","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Treppen","unbekannt","unbekannt","unbekannt"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__008__TGA","Gebäude\Broethen_Twin_House_Hoyerswerda.md","TGA","unbekannt","unbekannt","unbekannt"
"CascadeUp_London_secondary_timber_glulam_demonstrator","CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md","Tragwerksrahmen / Balken / Stützen","glued-laminated secondary timber (glulamST) aus Abbruchholz","Rückbauholz aus Demolition-Waste-Streams; genaue Donorgebäude unbekannt","unbekannt"
"CascadeUp_London_secondary_timber_glulam_demonstrator","CascadeUp_London_secondary_timber_glulam_demonstrator__002__Wandpaneele","Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md","Wandpaneele","cross-laminated secondary timber (CLST)","Rückbauholz aus Demolition-Waste-Streams; genaue Donorgebäude unbekannt","unbekannt"
"CascadeUp_London_secondary_timber_glulam_demonstrator","CascadeUp_London_secondary_timber_glulam_demonstrator__003__Bodenpaneele","Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md","Bodenpaneele","CLST","Rückbauholz","unbekannt"
"CascadeUp_London_secondary_timber_glulam_demonstrator","CascadeUp_London_secondary_timber_glulam_demonstrator__004__Dach_Abdichtung_TGA_Sanit_r","Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md","Dach / Abdichtung / TGA / Sanitär","unbekannt","unbekannt","unbekannt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__001__Bodenpflaster_Bruseleye_tiles","Gebäude\Charles_Malis_Molenbeek.md","Bodenpflaster / Bruseleye tiles","Stein/Fliese, genaues Material unbekannt","Reuse-Bestand, Quelle nicht präzisiert","unbekannt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__002__Leuchten","Gebäude\Charles_Malis_Molenbeek.md","Leuchten","unbekannt","ROTOR","unbekannt"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__003__Betonst_tzen_balken_Binder","Gebäude\Charles_Malis_Molenbeek.md","Betonstützen/-balken/-Binder","Beton","bestehendes Gebäude","Bestand"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__004__Ornamentale_Fassade","Gebäude\Charles_Malis_Molenbeek.md","Ornamentale Fassade","Ziegel / Blaustein","bestehendes Gebäude","Bestand"
"Charles_Malis_Molenbeek","Charles_Malis_Molenbeek__005__Schalter_Counter","Gebäude\Charles_Malis_Molenbeek.md","Schalter/Counter","unbekannt","unbekannt","12 Schalter"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__001__Fassadenziegel","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Fassadenziegel","Ziegel, 3 Typen: gelber industrieller Ziegel + Feldbrandziegel klassisch/dünn","Franck / Opalis-Händler","30 m²; Adokin auch 2,7 m³"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__002__Au_enst_rze","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Außenstürze","Stahl-U-Profile","Gebruiktebouwmaterialen / Opalis-Händler","5 lfm; 2 U-Profile"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__003__Dachziegel","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Dachziegel","Dachziegel","Rest einer Brüsseler Villenrenovierung / Spende","20 m²"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__004__Au_ent_ren","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Außentüren","Holz","Namur Croisade pauvreté / Gebruiktebouwmaterialen","2 Stück"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__005__Holzfenster","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Holzfenster","Holz/Glas","Namur Croisade pauvreté / Gebruiktebouwmaterialen","2 Stück"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__006__Bodenfliesen","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Bodenfliesen","Keramik, aus ehemaliger Grundschule Everheide, 1930er","RotorDC","14 m²"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__007__Wandfliesen","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Wandfliesen","Keramik","RotorDC","11 m²"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__008__Sanit_robjekte","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Sanitärobjekte","Keramik/Metall","RotorDC","4 WCs, 2 Duravit-Urinale, 3 Art-déco-Waschbecken, 1 Urinaltrenner"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__009__Leuchten","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Leuchten","unbekannt","RotorDC","5 Stück"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__010__D_mmung_Boden_Wand","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Dämmung Boden/Wand","Dämmmaterial","Surplus/End-of-stock/B-Qualität via Gebruiktebouwmaterialen/Bouwstocks","43,3 m²"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__011__D_mmung_Decke","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Dämmung Decke","Dämmmaterial","Bouwstocks Surplus","18 m²"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__012__Betonbl_cke","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Betonblöcke","Beton","Bouwstocks Surplus/B-Qualität","48 m²; Adokin 6,7 m³"
"Chiro_d_Itterbeek_Dilbeek","Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","Holzrahmen / Dachtragwerk","Holz","Bouwstocks Surplus/Restposten","49,2 lfm"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","Gebäude\Christ_Pavilion_Volkenroda.md","gesamtes Pavillonensemble","Stahl, Sichtbeton, Glas, Marmor","EXPO 2000 Hannover","BGF 2.004 m²; BRI 18.548 m³"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","Gebäude\Christ_Pavilion_Volkenroda.md","Dachtragwerk Christusraum","beschichteter Stahl","EXPO 2000","Dach über ca. 24×24 m Raum"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__003__neun_kreuzf_rmige_St_tzen","Gebäude\Christ_Pavilion_Volkenroda.md","neun kreuzförmige Stützen","Stahl","EXPO 2000","9 Stück"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","Gebäude\Christ_Pavilion_Volkenroda.md","Marmor-Glas-Wand Christusraum","Marmor + Glas","EXPO 2000","einschalige Fläche; genaue Anzahl Tafeln unbekannt"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__005__Kreuzgang","Gebäude\Christ_Pavilion_Volkenroda.md","Kreuzgang","Stahl-Glas-Konstruktion","EXPO 2000","ca. 70×30×6,8 m laut Felger-Quelle"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__006__Glasfassade_Vitrinen","Gebäude\Christ_Pavilion_Volkenroda.md","Glasfassade/Vitrinen","Glas, Stahl, Füllungen verschiedener Herkunft","EXPO 2000","großformatige Vitrinen; genaue Anzahl unbekannt"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__007__Sichtbetonteile","Gebäude\Christ_Pavilion_Volkenroda.md","Sichtbetonteile","Beton","EXPO 2000","unbekannt"
"Christ_Pavilion_Volkenroda","Christ_Pavilion_Volkenroda__008__Krypta_Kolonnade_Wasserbecken","Gebäude\Christ_Pavilion_Volkenroda.md","Krypta, Kolonnade, Wasserbecken","unbekannt","EXPO 2000","nicht wiederverwendet als Teil des Volkenroda-Komplexes"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__001__Hohlk_rperdecken_kanaalplaatvloeren","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","Hohlkörperdecken / kanaalplaatvloeren","Spannbeton/Fertigbeton","Prinsenhof A, Arnhem","Teil von 550 Bodenelementen; genaue CCN-Menge unbekannt"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__002__Prefab_Fassadenelemente","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","Prefab-Fassadenelemente","Fertigbeton/Sandwich- oder Fassadenelemente, genaue Schichten unbekannt","Prinsenhof A","350 Fassadenelemente demontiert; genaue CCN-Menge unbekannt"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__003__Br_stungen_parapets","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","Brüstungen / parapets","Fertigbeton","Prinsenhof A Fassaden","unbekannt"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__004__sonstige_Materialien","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","sonstige Materialien","verschiedene","Prinsenhof A","17.000 t Material, 12.000 t Beton laut Lagemaat"
"Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__005__Fenster_TGA_Sanit_r","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","Fenster/TGA/Sanitär","unbekannt","Prinsenhof A","unbekannt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__001__Holzt_ren","Gebäude\Circular_Pavilion_Paris.md","Holztüren","Holz","Sanierung eines Wohngebäudes in Paris 19e","180 Stück"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__002__Mineral_Steinwolle","Gebäude\Circular_Pavilion_Paris.md","Mineral-/Steinwolle","Mineralwolle","Dach eines Supermarkts","unbekannt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__003__Holzstruktur","Gebäude\Circular_Pavilion_Paris.md","Holzstruktur","Holz","Restmaterial Baustelle Altenheim","unbekannt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__004__ehemalige_Ausstellungspaneele","Gebäude\Circular_Pavilion_Paris.md","ehemalige Ausstellungspaneele","Holz/Plattenmaterial unbekannt","Ausstellungsbau","unbekannt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__005__Terrassen_Caillebotis","Gebäude\Circular_Pavilion_Paris.md","Terrassen-Caillebotis","Holz / unbekannt","Paris-Plage-Operation","unbekannt"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__006__vier_gro_e_Leuchten","Gebäude\Circular_Pavilion_Paris.md","vier große Leuchten","unbekannt","Lager öffentlicher Beleuchtung","4 Stück"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__007__50_St_hle","Gebäude\Circular_Pavilion_Paris.md","50 Stühle","Holz","Pariser Wertstoffhöfe","50 Stück"
"Circular_Pavilion_Paris","Circular_Pavilion_Paris__008__Abdichtung","Gebäude\Circular_Pavilion_Paris.md","Abdichtung","unbekannt","unbekannt","unbekannt"
"CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin__001__Stahlpfetten_I_Tr_ger","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","Stahlpfetten / I-Träger","Baustahl","Bestandsdach der Halle","120 Träger bis 18 m laut BauNetz Wissen; installierter Anteil unbekannt"
"CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin__002__Stahlfachwerktr_ger","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","Stahlfachwerkträger","Baustahl","Bestandsdach der Halle","unbekannt"
"CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin__003__Holz_Alu_Fenster_Au_enfenster","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","Holz-Alu-Fenster / Außenfenster","Holz-Alu/Glas","demontierte Fenster aus Versicherungsschaden / externe Quelle","unbekannt"
"CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin__004__Sanit_robjekte_Duschtassen","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","Sanitärobjekte / Duschtassen","Keramik/Sanitärmaterial","Standardisierte Rückbauware","unbekannt"
"CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin__005__Vorhangfassadenelemente_Blech_Glas","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","Vorhangfassadenelemente, Blech, Glas","Metall/Glas","Rückbau/Bestand","unbekannt"
"CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","Holzgalerie / Innenausbau","Holz, teils Reststücke/wiederverwendet","Abrissbaustellen, Messen, Museen, Lagerbestände, Schreinereireste","ca. 70 % reused/recycled/upcycled laut CMS; direkte Reuse-Anteile unbekannt"
"CRCLR_House_Impact_Hub_Berlin","CRCLR_House_Impact_Hub_Berlin__007__TGA_sichtbar_gef_hrt","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","TGA sichtbar geführt","diverse","neu/Bestand unbekannt","unbekannt"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__001__Holzrahmen_Fassade","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Holzrahmen-Fassade","Holzrahmen + diverse Reuse-Komponenten","Rückbauten Basel, Lagerbestände, Bestands-/Arealmaterial","ca. 1.000 m²; 90 m lang und 10 m hoch laut HUSNER"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__002__Aluminium_Trapezblech","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Aluminium-Trapezblech","Aluminium","ehemaliges Getränkelager / Dachaufbauten auf Areal","unbekannt"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Fenster","Glas/Rahmenmaterial unbekannt","Lagerrestbestände","200 Stück"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__004__Holz_aus_R_ckbauten_Dachst_hlen","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Holz aus Rückbauten / Dachstühlen","Altholz","Rückbauten im Raum Basel / abgebauten Dachstühlen","unbekannt"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__005__Steinwolled_mmung","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Steinwolledämmung","Mineralwolle/Steinwolle","Restposten / Baustellenabfälle","fast vollständig aus Restposten laut DBZ; Menge unbekannt"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Gitterroste / Brüstungsgitter","Stahl/Metall","vormalige Großbäckerei im Gebäude","unbekannt"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Garagentor","Metall/Glas unbekannt","Bestand","1 erwähnt"
"ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel__008__Betonhallen_Tragstruktur","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","Betonhallen / Tragstruktur","Beton","Bestand Coop-Verteilzentrum","20.000/25.000 m² Gebäudemaßstab je Quelle"
"Europa_Building_Brussels","Europa_Building_Brussels__001__Holzfensterrahmen","Gebäude\Europa_Building_Brussels.md","Holzfensterrahmen","Eiche/ähnliche Holzarten","Renovierungs- oder Abbruchstellen aus allen EU-Ländern","3.750 Fensterrahmen"
"Europa_Building_Brussels","Europa_Building_Brussels__002__Glas_Stahlw_rfel","Gebäude\Europa_Building_Brussels.md","Glas-/Stahlwürfel","Glas/Stahl","neu","unbekannt"
"Europa_Building_Brussels","Europa_Building_Brussels__003__Residence_Palace_Bestand","Gebäude\Europa_Building_Brussels.md","Residence Palace Bestand","Mauerwerk/Stein/Stahlbeton unbekannt","Bestand 1922–1927","unbekannt"
"Europa_Building_Brussels","Europa_Building_Brussels__004__LED_Lichttubes","Gebäude\Europa_Building_Brussels.md","LED-Lichttubes","unbekannt","neu","374"
"Europa_Building_Brussels","Europa_Building_Brussels__005__Photovoltaik","Gebäude\Europa_Building_Brussels.md","Photovoltaik","unbekannt","neu","636 Paneele"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__001__Holzfensterrahmen_Ch_ssis_bois","Gebäude\Ferme_du_Rail_Paris.md","Holzfensterrahmen / Châssis bois","Holz/Glas","Pariser Sozial-/Bestandsfenster, genaue Quelle unbekannt","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__002__Holzfensterrahmen","Gebäude\Ferme_du_Rail_Paris.md","Holzfensterrahmen","Holz","s.o.","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__003__Granitbordsteine","Gebäude\Ferme_du_Rail_Paris.md","Granitbordsteine","Granit","Pariser öffentliche Raum-/Straßenbau-Baustellen","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__004__Bitumen_Betonbl_cke","Gebäude\Ferme_du_Rail_Paris.md","Bitumen-/Betonblöcke","Bitumen/Beton","Rückbauten","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__005__Steinplatten_von_Dachterrassen_B_ro_Fu_bodenplat","Gebäude\Ferme_du_Rail_Paris.md","Steinplatten von Dachterrassen / Büro-Fußbodenplatten","Stein","Renovierung Bürogebäude La Défense / Büro-Fußböden","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__006__Fliesen_Fayence","Gebäude\Ferme_du_Rail_Paris.md","Fliesen / Fayence","Keramik","Restbestand eines Handwerkers","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__007__Holz_f_r_Schr_nke","Gebäude\Ferme_du_Rail_Paris.md","Holz für Schränke","Holz","wiederverwendet, Herkunft unbekannt","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__008__textile_rezyklierte_Fasern","Gebäude\Ferme_du_Rail_Paris.md","textile / rezyklierte Fasern","Fasern","recycelt / reused nach Tissage","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__009__Metallteile","Gebäude\Ferme_du_Rail_Paris.md","Metallteile","Metall","unbekannt","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__010__Dallettes_pr_fabriqu_es","Gebäude\Ferme_du_Rail_Paris.md","Dallettes préfabriquées","Beton","unbekannt","unbekannt"
"Ferme_du_Rail_Paris","Ferme_du_Rail_Paris__011__Holz_Strohbau","Gebäude\Ferme_du_Rail_Paris.md","Holz-/Strohbau","Holz/Stroh","regionale Bio-Materialien","Hauptkonstruktion"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__001__gekr_mmte_Au_enwand_Schale","Gebäude\gjG_House_Gentbrugge.md","gekrümmte Außenwand / Schale","wiederverwendete Ziegel","unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__002__Dach","Gebäude\gjG_House_Gentbrugge.md","Dach","Material unbekannt","unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__003__Infill_Struktur","Gebäude\gjG_House_Gentbrugge.md","Infill-Struktur","Stahl und Holzrahmen","neu / unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__004__Innenoberfl_chen_der_Schale","Gebäude\gjG_House_Gentbrugge.md","Innenoberflächen der Schale","gleiche wiederverwendete Ziegel","unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__005__Fenster_ffnungen","Gebäude\gjG_House_Gentbrugge.md","Fenster / Öffnungen","unbekannt","unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__006__T_ren","Gebäude\gjG_House_Gentbrugge.md","Türen","unbekannt","unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__007__Treppen","Gebäude\gjG_House_Gentbrugge.md","Treppen","unbekannt","unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__008__Gel_nder","Gebäude\gjG_House_Gentbrugge.md","Geländer","unbekannt","unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__009__Innenw_nde","Gebäude\gjG_House_Gentbrugge.md","Innenwände","Stahl-/Holzrahmen / unbekannt","neu / unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__010__D_mmung","Gebäude\gjG_House_Gentbrugge.md","Dämmung","unbekannt","unbekannt","unbekannt"
"gjG_House_Gentbrugge","gjG_House_Gentbrugge__011__TGA","Gebäude\gjG_House_Gentbrugge.md","TGA","unbekannt","unbekannt","unbekannt"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__001__Mineralwolle_D_mmung","Gebäude\Grande_Halle_de_Colombelles.md","Mineralwolle-Dämmung","Stein-/Mineralwolle","Rückbau-/Sanierungsbaustellen Region Caen","430 m² nach Construction21/FCRBE; 200 m² nach WIP/Ekopolis"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__002__Radiatoren","Gebäude\Grande_Halle_de_Colombelles.md","Radiatoren","Guss/Stahl","regionale Rückbau-/Sanierungsbaustellen","49 nach C21; 52 nach Ekopolis; 59 nach WIP"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__003__Waschbecken_Sanit_r","Gebäude\Grande_Halle_de_Colombelles.md","Waschbecken / Sanitär","Keramik/Metall","Rückbau","20–30 Sanitärteile je Quelle"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__004__WC","Gebäude\Grande_Halle_de_Colombelles.md","WC","Keramik","Rückbau","11 oder 12; davon Quelle Ekopolis 7 PMR"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__005__Urinale","Gebäude\Grande_Halle_de_Colombelles.md","Urinale","Keramik","Rückbau","5"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__006__T_ren_massiv_Brandschutzt_ren","Gebäude\Grande_Halle_de_Colombelles.md","Türen massiv / Brandschutztüren","Holz, teils Brandschutz","Wohnungs-/Sanierungsbaustellen Region Caen","10, 18, 33 oder 50 je Quelle; mind. teils 2 Brandschutztüren"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__007__Au_enfenster_Au_enschreinerei","Gebäude\Grande_Halle_de_Colombelles.md","Außenfenster / Außenschreinerei","Aluminium/Glas nach C21","Büroabbruch nahe Grande Halle","1 eingebaut; 21 identifiziert, aber vor Reuse gestohlen"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__008__Holzpfetten_Holzst_cke","Gebäude\Grande_Halle_de_Colombelles.md","Holzpfetten / Holzstücke","Holz","Rückbau","21 Pfetten/63 ml nach C21; FCRBE nennt 21 Geländerstücke + 45 Treppenstücke"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__009__Fliesen_Fayence","Gebäude\Grande_Halle_de_Colombelles.md","Fliesen / Fayence","Keramik","Rückbau/Bestände","190–200 m²"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__010__Metalltr_ger_Poutres_m_talliques","Gebäude\Grande_Halle_de_Colombelles.md","Metallträger / Poutres métalliques","Stahl","unbekannt","„des poutres métalliques“"
"Grande_Halle_de_Colombelles","Grande_Halle_de_Colombelles__011__Bestand_Betonstruktur","Gebäude\Grande_Halle_de_Colombelles.md","Bestand-Betonstruktur","Beton/Stahlbeton","in situ","Gebäudehauptstruktur"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__001__Fassadenbleche_blau","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Fassadenbleche, blau","Stahlblech","externe Industriehalle / Rückbauprojekt","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__002__Dachbleche","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Dachbleche","Metall/Aluminium/Stahl unbekannt","Rückbauprojekte","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__003__Stahlbauteile_Laubeng_nge","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Stahlbauteile Laubengänge","Stahl","externe Objekte/Rückbau","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__004__Treppent_rme_Au_entreppe","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Treppentürme / Außentreppe","Stahl","externe Objekte; Espazium zeigt wiederverwendete Außentreppe","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__005__Gel_nder","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Geländer","Stahl","u. a. Garagenrampe laut Werkhof29","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__006__Gitterroste","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Gitterroste","Stahl","externe Objekte","unbekannt"
