"source","relation","old_target","new_target","decision","raw_label","note"
"reuse_einsatz/Lokomotion_Technology_Centre_mini_pilot_Tampere__001__Hohlk_rperdecken","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Integration in Montagefolge/Logistik",""
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__006__Stra_enpflasterplatten","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Logistik",""
"reuse_einsatz/Mehrow_Pilot_House__002__Deckenplatten","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Transportgewicht, Montage",""
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__003__Granitboden","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Logistik",""
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__012__Granitpflaster","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Logistik Gewicht",""
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Risse beim Kran-/Trailertransport, Maßhaltigkeit",""
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__010__Pflaster_Bodenplatten_au_en","has_huerde","huerde/Logistikproblem","huerde/Fehlende_Lagerflaeche","split","Logistik/Lagerung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__006__T_ren","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Leistungsnachweis",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Akzeptanz Installateur, Gewährleistung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Eignung als Baufolie",""
"reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","experimentelle Eignung",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__001__Stahlpfetten_I_Tr_ger","has_huerde","huerde/Performance_Nachweis","huerde/Datenluecke","split","fehlendes Werkszeugnis; Gewährleistung; Zeit/Kosten",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__003__Holz_Alu_Fenster_Au_enfenster","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Brandschutz/Energieanforderungen komplizierter als Sanitär",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__002__Dachbleche","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Dichtheit, Befestigung",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__010__Sanit_rapparate","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Gewährleistung",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__011__D_mmplatten","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Material- und Leistungsnachweis",""
"reuse_einsatz/Institut_de_Botanique_ULg_Liege__001__Fassadenbekleidung_Holzfassade","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Herkunft und Leistung nicht belegt",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__004__Stahltr_ger_und_Trapezbleche_Dach","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Korrosion, Dichtheit",""
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__004__Fenster","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Leistungsnachweis",""
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__006__EPS_D_mmung","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Leistungsnachweis",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__006__Radiatoren","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","technische Gewährleistung",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__007__Sanit_r_Waschbecken_Toiletten","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Hygiene/Gewährleistung",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__009__Office_fronts_Innenverglasung","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Maße/Performance",""
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__009__Sanit_rapparate_Lavabos_Toiletten","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Aufbereitung, Gewährleistung",""
"reuse_einsatz/Maison_des_Canaux_Paris__003__Sanit_rkeramik_Sanit_rteile","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Gewährleistung / Hygiene",""
"reuse_einsatz/Maison_DnA_Asse__003__innere_Box","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Energieanforderungen",""
"reuse_einsatz/Maison_DnA_Asse__009__D_mmung","has_huerde","huerde/Performance_Nachweis","huerde/Datenluecke","split","unbekannte Werte",""
"reuse_einsatz/Musee_de_Folklore_Mouscron__001__Fassadenziegel","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Test-/Stabilitätsaufwand; Quellenabweichung Menge",""
"reuse_einsatz/Musee_de_Folklore_Mouscron__002__Neue_Ziegel","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","nötig zur Begrenzung von Tests/Stabilitätsaufwand",""
"reuse_einsatz/Plattenpalast_Berlin__002__Fenster_inkl_Rahmen","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Alter, Leistung, Dichtheit",""
"reuse_einsatz/Recyclinghaus_Hannover__010__Waschbecken_Sanit_r","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Gewährleistung",""
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__010__WC_und_Handwaschbecken","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Gewährleistung",""
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__009__K_che_K_chenunit","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","nicht als loses Möbel werten",""
"reuse_einsatz/Thoravej_29_Copenhagen__002__Fassaden_Ziegel_berschuss","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Eignung als Boden",""
"reuse_einsatz/TRAE_High_Rise_Aarhus__004__wiederverwendete_upgecycelte_Fenster","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Gewährleistung",""
"reuse_einsatz/Upcycle_Studios_Copenhagen__001__Fenster_Doppelverglasung","has_huerde","huerde/Performance_Nachweis","huerde/Datenluecke","split","Produktdaten, Maße, Gewährleistung",""
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__002__Aluminium_Fassadensystem","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Maßanpassung, Gestaltung, Gewährleistung",""
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__007__WC_Sanit_r","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Gewährleistung",""
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__002__Fensterrahmen","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Performance alter Fenster",""
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__007__Heizk_rper","has_huerde","huerde/Performance_Nachweis","huerde/Technische_Freigabe","split","Gewährleistung / Hydraulik",""
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__003__BTC_Ziegel","uses_material","material/Erde","material/Lehm","move","gepresste Erde",""
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__004__ausgehobene_Erde","uses_material","material/Erde","material/Lehm","move","Erde",""
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__016__Stroh_Lehmputz","uses_material","material/Erde","material/Lehm","move","Stroh, Erde",""
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","uses_material","material/Guss","material/Gusseisen","move","Mauerwerk, Gusseisen, Holz, Stahlfenster u. a.",""
"reuse_einsatz/Grande_Halle_de_Colombelles__002__Radiatoren","uses_material","material/Guss","material/Gusseisen","move","Guss/Stahl",""
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__011__Radiatoren","uses_material","material/Guss","material/Gusseisen","move","Guss",""
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__007__Heizk_rper","uses_material","material/Guss","material/Gusseisen","move","Guss/Stahl, unbekannt",""
"reuse_einsatz/AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","uses_material","material/Metall","","delete","Metall, Elektrokomponenten","target material/Metall dropped per schema"
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","uses_material","material/Metall","","delete","Holz/Metall/Glas unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","uses_material","material/Metall","","delete","Metall / unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/Boulder_Fire_Station_3__005__PV_Dach_gro_e_Dachfl_che","uses_material","material/Metall","","delete","Photovoltaik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__008__Sanit_robjekte","uses_material","material/Metall","","delete","Keramik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__005__Vorhangfassadenelemente_Blech_Glas","uses_material","material/Metall","","delete","Metall/Glas","target material/Metall dropped per schema"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","uses_material","material/Metall","","delete","Stahl/Metall","target material/Metall dropped per schema"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","uses_material","material/Metall","","delete","Metall/Glas unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/Ferme_du_Rail_Paris__009__Metallteile","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/Grande_Halle_de_Colombelles__003__Waschbecken_Sanit_r","uses_material","material/Metall","","delete","Keramik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__002__Dachbleche","uses_material","material/Metall","","delete","Metall/Aluminium/Stahl unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__007__Fenster","uses_material","material/Metall","","delete","Glas/Metall/Holz unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__008__T_ren","uses_material","material/Metall","","delete","Holz/Metall/Glas unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__009__Heizk_rper_Radiatoren","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/Jeugdkliniek_Ithaka_Emergis_Kloetinge__008__Hang_und_Schlie_werk","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__004__Fenster","uses_material","material/Metall","","delete","Glas/Metall/Holz unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__005__Fassadenbleche_Profilbleche","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__006__Radiatoren","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__007__Sanit_r_Waschbecken_Toiletten","uses_material","material/Metall","","delete","Keramik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__008__L_ftungskan_le_ducts_and_pipes","uses_material","material/Metall","","delete","Metall/Kunststoff","target material/Metall dropped per schema"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__010__T_ren","uses_material","material/Metall","","delete","Holz/Metall/Glas unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__001__Fassadenfenster","uses_material","material/Metall","","delete","Glas/Holz/Metall, gemischt","target material/Metall dropped per schema"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__005__Gel_nder_Br_stungsgel_nder","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__009__Sanit_rapparate_Lavabos_Toiletten","uses_material","material/Metall","","delete","Keramik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__005__Metall_Deckenpaneele","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/Maison_des_Canaux_Paris__003__Sanit_rkeramik_Sanit_rteile","uses_material","material/Metall","","delete","Keramik / Metall","target material/Metall dropped per schema"
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__006__Aufzugsmotoren","uses_material","material/Metall","","delete","Metall / Technik","target material/Metall dropped per schema"
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__007__T_ren_W_nde_Einbauten","uses_material","material/Metall","","delete","Holz/Metall/sonstige","target material/Metall dropped per schema"
"reuse_einsatz/Recyclinghaus_Hannover__005__Wellblech","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/Recyclinghaus_Hannover__010__Waschbecken_Sanit_r","uses_material","material/Metall","","delete","Keramik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Recyclinghaus_Hannover__011__Fliesen_Kronkorken_Mosaik","uses_material","material/Metall","","delete","Keramik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__007__Glast_ren","uses_material","material/Metall","","delete","Glas/Metall/Holz","target material/Metall dropped per schema"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__008__Leuchten","uses_material","material/Metall","","delete","Metall/Elektrik","target material/Metall dropped per schema"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__010__WC_und_Handwaschbecken","uses_material","material/Metall","","delete","Keramik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__003__Heizk_rper_Radiatoren","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__007__Gel_nder","uses_material","material/Metall","","delete","Metall","target material/Metall dropped per schema"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__005__Stahlfassadenelemente_facade_panels","uses_material","material/Metall","","delete","Stahl/Metall","target material/Metall dropped per schema"
"reuse_einsatz/TRAE_High_Rise_Aarhus__004__wiederverwendete_upgecycelte_Fenster","uses_material","material/Metall","","delete","Glas/Holz/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Verbiest_Karreveld_Brussels__008__Verbiest_Gel_nder","uses_material","material/Metall","","delete","Metall/Holz unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/Villa_Welpeloo_Enschede__006__Regenschirmrippen_Leuchten","uses_material","material/Metall","","delete","Metall/Kunststoff","target material/Metall dropped per schema"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__005__T_ren_Schiebet_ren","uses_material","material/Metall","","delete","Holz/Metall/Glas","target material/Metall dropped per schema"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__007__WC_Sanit_r","uses_material","material/Metall","","delete","Keramik/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__008__Kabelgoten_Notbeleuchtung","uses_material","material/Metall","","delete","Metall/Kunststoff/Elektro","target material/Metall dropped per schema"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__009__Feste_Ausstattung_Garderobe","uses_material","material/Metall","","delete","Holz/Metall","target material/Metall dropped per schema"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__008__T_ren_inkl_Brandschutzt_ren","uses_material","material/Metall","","delete","Holz/Metall, unbekannt","target material/Metall dropped per schema"
"reuse_einsatz/Recyclinghaus_Hannover__014__Fundament_Bodenplatte","uses_material","material/Recyclingbeton","material/Recyclingbeton","move","Recyclingbeton",""
